,nuc,arexp,ent,ns,age,asexp,la,ld
19125,4.375,1.0,2.08342037442265,1,25.75,14.0,0,31
19142,,,,,,,,
18896,,,,,,,,
18376,7.29166666666667,0.0,1.74021495323679,1,113.75,5.0,2374,193
19184,3.76923076923077,0.0,3.91012036360884,3,28.03846153846149,0.858018395588927,155.5,205
19634,27.76666666666669,0.0,1.7152351381686002,1,40.0,16.0,355,560
20570,124.28846153846202,2666.48333333319,5.3615939589240185,1,0.25,0.0,3333,0
22227,12.423076923076902,4.0,4.2137606273656605,1,86.3461538461538,4.0,576.0,0
20249,0.0,3653.24953102429,2.43320990504501,2,22.657142857142897,0.865100861049788,1898.0,1277
19102,39.2142857142857,0.5,0.8502786128438045,1,338.428571428571,36.0,390,146
18915,90.375,4413.603968254571,5.32466572264205,3,0.0,0.0,1222.5,0
19565,4.9,2689.08333333352,1.620410147456155,2,0.0289855072463768,0.9999999544843092,789,111
21395,14.8586956521739,0.0,1.550434480467175,6,127.902173913043,0.195370271064715,1011,0
18909,12.3636363636364,5.166666666666665,1.6403297374515198,2,117.818181818182,0.992184877394992,1692,15
19236,11.6,0.0,2.1374854795925,1,144.8,0.0,23.5,60
20180,0.0,229.529148629149,2.59187894328061,4,70.0454545454545,135.0,1863,329
21934,244.461538461538,283.24999999999955,1.67502461189451,1,0.256410256410256,0.0,3667,0
21445,26.975609756097608,3.8333333333333295,5.59707049071892,6,14.4512195121951,0.166666666664918,7,195
19000,,,,,,,,
