,nuc,arexp,ent,ns,age,asexp,la,ld
18423,0.1875,1061.78333333338,1.9905091913193447,2,6.0,261.5,113.0,1
18896,7.05,314.9166666666665,1.9905091913193447,2,0.825,261.5,113.0,0
18909,12.3636363636364,4070.63315295846,1.9905091913193447,2,82.2771739130435,261.5,113.0,15
18915,90.375,314.9166666666665,1.9905091913193447,3,0.0535714285714286,261.5,113.0,0
19184,3.76923076923077,314.9166666666665,1.9905091913193447,3,28.03846153846149,261.5,113.0,205
20570,124.28846153846202,314.9166666666665,1.9905091913193447,3,0.25,261.5,113.0,0
18376,7.29166666666667,5.0,1.9905091913193447,2,82.2771739130435,471.0,113.0,193
19565,4.9,1061.78333333338,1.9905091913193447,2,4.05,261.5,113.0,111
19705,0.3529411764705879,2781.750000000189,1.9905091913193447,2,24.4736842105263,261.5,113.0,1
20180,19.27659574468089,229.529148629149,1.9905091913193447,3,70.0454545454545,261.5,113.0,329
