,nuc,aexp,nd,ns,age,la,ld
2375,295.83333333333303,108,2,3,20.5,106.0,5
2794,30.5555555555556,143,2,2,36.7142857142857,203.5,26.5
2719,139.5,110,2,3,32.75,142.0,3
2769,263.625,189,2,2,20.75,84.0,3
2546,263.625,215.5,2,2,22.6666666666667,55,3
2554,28.5555555555556,134,2,2,36.7142857142857,274.5,5
2325,0.5,171.5,2,2,7.5,42.5,4
2447,9.14285714285714,171.5,1,2,79.28571428571429,51.0,2
2701,28.285714285714302,104,1,2,1.21455938697318,84.0,5
2790,21.5,126.0,1,2,328.0,51.0,2
2891,146.0,215.5,2,2,198.125,84.0,1
2856,104.117647058824,103,2,2,15.833333333333302,183.5,5
2404,8.64179104477612,171.5,3,2,155.597014925373,17.5,90.0
2407,11.5185185185185,171.5,1,2,27.2962962962963,42.5,90.0
2541,12.0,115.0,1,2,266.864864864865,95.0,34.5
2579,8.34782608695652,115.0,4,2,36.7142857142857,274.5,702
2735,143.06818181818198,106.0,4,2,15.09375,274.5,120
2458,11.325,171.5,3,2,189.6,14.0,90.0
2853,143.06818181818198,115.0,4,2,377.609375,274.5,688
2869,29.5454545454545,57.0,3,2,36.7142857142857,274.5,12
2760,143.06818181818198,171.5,3,2,254.0,126.5,767
2402,143.06818181818198,171.5,2,3,110.7,95.0,20
2437,310.8333333333335,215.5,2,3,171.6,17.5,3
2401,15.2608695652174,115.0,1,3,139.04347826087,70.5,19.5
2483,27.857142857142897,57.0,2,3,1.21455938697318,51.0,12
2515,14.2,171.5,2,3,62.6,17.5,21.5
2346,,,,,,,
2543,143.06818181818198,136,2,3,36.7142857142857,274.5,228
2839,,,,,,,
2500,23.1818181818182,126.0,2,3,142.272727272727,14.0,19.5
2519,175.3,171.5,2,3,29.8333333333333,106.0,98
2598,15.7142857142857,57.0,2,3,7.28571428571429,274.5,21.5
2551,5.71428571428571,171.5,2,3,8.142857142857139,84.0,335.0
2566,143.06818181818198,171.5,2,3,11.272727272727304,106.0,456
2587,24.5714285714286,115.0,2,3,398.571428571429,84.0,21.5
2641,143.06818181818198,171.5,2,3,44.45454545454549,106.0,19
2739,5.0,57.0,2,3,10.4166666666667,106.0,21.5
2740,143.06818181818198,113,2,3,36.7142857142857,274.5,182
2669,249.75,171.5,2,3,17.0,106.0,26.5
2791,24.2222222222222,57.0,1,3,177.77777777777803,106.0,335.0
2611,31.6,115.0,2,3,31.2,51.0,19.5
2845,31.0,57.0,2,3,36.7142857142857,203.5,21
2752,16.1428571428571,115.0,2,3,303.285714285714,84.0,21.5
2618,87.3333333333333,57.0,2,3,64.8666666666667,98.5,9.5
2710,143.06818181818198,152,4,3,33.1666666666667,203.5,5
2863,60.8571428571429,171.5,2,3,33.8571428571429,51.0,21.5
2333,131.8035714285715,171.5,2,2,37.0,95.0,133
2336,295.83333333333303,115.0,2,2,51.75,106.0,102
2326,295.83333333333303,198,2,2,54.4,62.0,1.0
2848,16.1111111111111,57.0,2,3,213.555555555556,98.5,9.5
2337,295.83333333333303,171.5,2,2,0.0,85,21.5
2376,295.83333333333303,109,2,2,12.4285714285714,106.0,90.0
2374,39.125,171.5,2,2,4.75,17.5,21.5
2386,295.83333333333303,115.0,2,2,34.8333333333333,203.5,8
2391,1.75,57.0,2,2,36.7142857142857,47,21.5
2396,131.777777777778,149.0,2,2,18.111111111111104,274.5,21.5
2418,47.1428571428571,57.0,2,2,37.4285714285714,106.0,19.5
2422,59.8571428571429,171.5,2,2,84.8571428571429,84.0,19.5
2338,131.8035714285715,115.0,2,2,132.090909090909,98.5,200
2433,7.6,57.0,2,2,30.6,106.0,21.5
2445,353.0,115.0,2,2,36.7142857142857,94,22
2454,7.52,57.0,2,2,36.7142857142857,274.5,1069
2476,143.06818181818198,171.5,2,2,78.5,126.5,444
2481,6.857142857142861,115.0,2,2,29.8333333333333,46,21.5
2427,34.9,57.0,2,2,51.2,183.5,9.5
2530,143.06818181818198,115.0,2,2,37.3888888888889,106.0,162
2542,90.8333333333333,171.5,2,2,5.5,274.5,335.0
2528,143.06818181818198,171.5,2,2,119.710526315789,126.5,385
2552,23.6875,171.5,1,2,1.21455938697318,42.5,8
