,nuc,arexp,ent,ndev,age,asexp,la,ld
6467,11.26785714285715,0.0,2.3443980582284905,5.66666666666667,51.4444444444444,0.0,99.5,6249.0
6427,2.6,0.0,1.95588336022041,2.2,10.684210526315802,0.0,99.5,3.0
5733,4.8,0.0,3.9407838161120097,0.95,968.6875,0.0,99.5,6249.0
5879,11.26785714285715,114.5,1.55504804460971,3.5,23.1,0.0,1062.0,0.0
6679,11.26785714285715,0.0,4.19812295810562,3.55555555555556,21.86111111111111,0.0,1062.0,1.0
6647,11.26785714285715,0.0,2.13147838688818,4.875,107.5,0.0,218.0,6249.0
5870,11.26785714285715,0.0,4.39446881750831,2.41176470588235,116.411764705882,0.0,1062.0,6249.0
5710,72.6666666666667,0.0,1.26502836776269,13.666666666666698,2.05882352941176,0.0,166.0,3.0
6446,8.33333333333333,0.0,1.97129820834146,3.1666666666666696,2.05882352941176,0.0,218.0,6249.0
6527,38.0909090909091,114.5,2.7787128837442405,5.18181818181818,0.0869565217391304,1.4208993912303352,1062.0,0
6342,165.0,114.5,1.34085853937185,14.166666666666698,0.333333333333333,0.05334366197510755,218.0,0.0
5585,132.333333333333,114.5,0.888206942588996,10.5555555555556,0.0869565217391304,0.9242674895508469,99.5,0.0
6545,9.0,114.5,0.990279605549676,1.75,146.25,0.0,99.5,1.0
6026,478.25,145.88333333333298,0.689137005206303,24.0,0.0,0.3166552196508689,218.0,0
5889,37.3333333333333,114.5,0.997920504545018,10.6666666666667,2.05882352941176,8.330571417948218e-20,218.0,1.0
5619,28.0,114.5,0.0,9.0,0.0869565217391304,1.4208993912303352,107.5,0.0
6232,3.0,114.5,3.5257926787621896,1.1764705882352902,0.0869565217391304,1.4208993912303352,1062.0,0
5842,11.26785714285715,187.000000000002,3.0368127916973,1.8125,2.05882352941176,2.5804800524288e-06,1062.0,3.0
5798,335.75,114.5,0.639362771715145,24.5,0.25,1.06513330466538,1062.0,2.0
5536,8.59090909090909,114.5,3.6330787948134704,1.43181818181818,10.684210526315802,7.39442491821764e-27,1062.0,6249.0
6202,367.5,200.5,1.12941958697248,25.0,0.25,1.06513330466538,99.5,3.0
6110,5.5,100.266666666667,2.92658049970769,2.72222222222222,10.684210526315802,8.330571417948218e-20,1062.0,6249.0
6209,4.174242424242425,114.5,2.88068184124699,0.0,0.0,0.0,99.5,6249.0
6074,11.26785714285715,102.25,0.922215639790487,16.25,0.0869565217391304,1.4208993912303352,218.0,1.0
6076,11.26785714285715,103.583333333333,2.27048569312957,1.81818181818182,0.272727272727273,1.06513330466538,1062.0,6249.0
6239,7.75,114.5,2.50715965827623,2.5,10.684210526315802,9.7347829709461e-13,166.0,6249.0
5478,452.5,114.5,0.7735128075323449,25.0,0.0869565217391304,0.3166552196508689,218.0,3.0
6484,1.033333333333335,203.333333333334,0.934907767406004,0.5,10.684210526315802,0.0,99.5,6249.0
6392,4.174242424242425,114.5,0.214509833706978,0.0,0.0,0.0,107.5,6249.0
6639,11.26785714285715,114.5,2.51532096701114,1.72727272727273,221.27272727272705,2.3841857910156202e-07,218.0,6249.0
6763,20.84,114.5,3.15768747074819,1.08,968.6875,3.909051883965731e-06,218.0,6249.0
6391,11.444444444444402,114.5,2.93681638906982,2.6666666666666696,968.6875,0.0,99.5,6249.0
5551,478.25,114.5,0.783687769077269,22.75,87.0,0.010339658352337,99.5,0.0
5653,4.174242424242425,114.5,0.0,0.0,0.0,1.4208993912303352,218.0,0
5657,4.174242424242425,114.5,0.0,0.0,0.0,1.4208993912303352,1062.0,0
5630,4.174242424242425,114.5,1.9536277014624093,0.0,0.0,1.4208993912303352,218.0,0
5688,4.174242424242425,114.5,0.0,0.0,0.0,1.4208993912303352,1062.0,0
5654,4.174242424242425,114.5,0.0,0.0,0.0,1.4208993912303352,1062.0,0
5704,11.26785714285715,114.5,1.34804418764432,12.8,0.0,0.05334366197510755,1062.0,0.0
5661,4.174242424242425,114.5,0.0,0.0,0.0,1.4208993912303352,218.0,0
5659,4.174242424242425,114.5,0.0,0.0,0.0,1.4208993912303352,218.0,0
5880,8.53393665158371,200.5,0.958711882977132,2.0,61.0,401.0,107.5,0
