,nuc,aexp,age,asexp,la,ld
1171,17.6875,143,24.5625,0.328140258790058,134.0,122.5
1349,81.0,3,5.133928571428569,18.0,478,15
1169,52.25,27.5,0.5,0.5,84,1.0
1390,18.75,10,30.621428571428552,0.0293299348052042,1420,5
1201,31.6,132,1.045454545454545,0.984005906256675,137.0,5.0
1351,33.4285714285714,0,26.25,0.0,51.0,4.0
1341,56.5,15,18.8,0.3330965833738449,1.0,66
1346,38.723404255319096,128,65.44680851063829,1.3107241942966996e-12,40.5,24.5
1243,9.33333333333333,34.0,15.0,1.02903652191162,5.0,5
1166,3.53125,120,29.6666666666667,0.140869148093771,37.5,68
1163,15.8611111111111,136,34.975,0.17780976992258496,1195,165.5
1241,27.3333333333333,13,12.2,0.140625,32.0,4
1165,52.6666666666667,138,39.3333333333333,0.111263527200178,403.0,283.0
1179,5.344262295081969,153,107.018292682927,7.5,10.0,541
1182,52.0,1,7.0,12.5,27.5,3
1219,20.30194805194805,56.5,46.25,47.5,234,95
1193,32.8571428571429,128,45.71428571428571,0.50004829636507,61.5,228
1180,1.80625,154,70.3974358974359,0.124828555466513,2286,615.0
1236,12.1739130434783,21,236.5,1.0,44.5,1299.0
1235,7.180645161290325,204,3.1,0.1998505440830019,1244.0,1874
1256,6.4,231,40.2105263157895,44.5,253.0,450
1303,36.4,0,49.6666666666667,0.0,137.0,14.0
1310,36.26315789473679,283,13.7032967032967,0.15206722710811,32.0,0.0
1317,52.125,290,38.3333333333333,0.23333607597026051,189,18.0
1356,30.357142857142897,331,3.775,0.0277777777777781,45.5,18.0
1360,11.666666666666698,1269,128.769230769231,3.46869601181963e-19,37.0,9.0
1359,13.6153846153846,330.5,4.0,0.0416184533387943,53.0,96
1384,24.625,1,219.959459459459,0.0222222222222222,151.5,32.0
1411,13.833333333333302,397.0,323.714285714286,0.0056393842402072,48.0,323
1368,12.75,346,198.111111111111,0.903183717513416,66.5,31
1329,12.055555555555598,0,18.26666666666665,0.01112238075011485,279.0,1.0
1378,19.8947368421053,335.0,67.6842105263158,21.0,5.0,42.5
1294,30.5,117,0.1125,9.5,157.0,4.0
1175,36.2,0,70.6853146853147,0.0,6.0,24.5
1391,25.258241758241752,213.0,35.4285714285714,0.0714166164398193,48.0,1.0
1247,12.75,213,84.25,0.487654320955788,36.0,8.0
1168,7.0961538461538485,155.5,24.2727272727273,0.4828551056115789,17.0,34
1226,6.5454545454545485,200,16.18333333333335,10.5,32.0,421.0
1199,32.7142857142857,15,166.258620689655,0.032295044351065796,467.5,178
1207,9.44444444444444,11.5,1.55555555555556,0.0,136.0,3
1188,34.4318181818182,113.0,91.7142857142857,0.21875,44,32.0
1160,35.0,32.0,13.444444444444402,0.25,95.0,6.0
1231,11.225,19,76.14583333333334,1.375,22.5,119
1250,2.3611111111111103,22.5,63.28571428571429,14.0,47.0,18.0
1203,7.308333333333335,137.0,2.5,47.0,36.0,367
1304,29.058823529411807,314.5,38.6666666666667,29.5,1661,841.0
1273,7.1612903225806495,276.5,3.8,0.0780525458124274,170,34.5
1353,39.75,96.0,70.9090909090909,0.4691358024691355,69,21.5
1386,6.4,368,2.6666666666666696,0.661589417107951,147.5,3371
1326,4.9,132.0,5.571428571428571,0.481481481822672,2352.0,1.0
1363,31.8333333333333,304.5,5.58125,15.5,28.0,21
1387,1.9285714285714302,369,133.595588235294,0.1249811829453869,43.5,10.0
1334,48.8571428571429,43.5,57.3333333333333,0.0,36.0,41.0
1447,4.625,423,2.9285714285714297,0.032295044351065796,50.0,533
1450,23.142857142857103,430,1.5777777777777802,1.6384000000004301e-10,98.5,13.5
1369,11.2,39.0,2.28571428571429,0.0409838722553104,6929,2.5
