,nuc,arexp,ent,ndev,ns,age,asexp,la,ld
682,1.69565217391304,19.0593253968254,2.7392801224367203,1.051851851851855,1,13.9565217391304,0.361086191149594,206.0,21
678,15.78709677419355,79.0,0.16106503807413095,0.153846153846154,1,30.1538461538462,2.0,206.0,51.0
700,15.78709677419355,19.0593253968254,1.513440725643735,0.6428571428571429,2,6.33333333333333,0.5,206.0,5
718,15.78709677419355,105.833333333333,1.944269918981145,0.4583333333333329,2,8.0,0.0,54.0,52
749,15.78709677419355,6.0,2.04771001032691,0.845238095238095,7,8.0,2.27157071538321e-07,54.0,7
755,64.4166666666667,12.41666666666665,1.944269918981145,2.27777777777778,5,31.4444444444444,0.0080000049232347,71.5,2.5
760,15.78709677419355,12.41666666666665,1.7154352767391,2.4,2,12.9090909090909,0.0036802291870117,54.0,6
827,15.78709677419355,19.0593253968254,0.16106503807413095,1.1,3,94.5333333333333,0.0018289894833104,206.0,0
836,81.6666666666667,12.41666666666665,2.09949372363395,3.71428571428571,2,28.142857142857103,0.0002479567156115,26.5,29.5
797,15.78709677419355,8.88333333333333,3.84248505701486,0.8461538461538459,2,21.6538461538462,0.361086191149594,23.5,88
681,175.75,4.0,0.16106503807413095,1.6969696969697,3,14.2,4.0,77.5,106
