,nuc,aexp,nd,ns,age,asexp,la,ld
9356,1.9,136,3,2,122.8,2.50120063558115e-12,1020,2926.0
9361,0.7111111111111109,6,5,1,1.4888888888888898,4.0,3660,2926.0
9374,1.1395348837209298,1,11,3,191.744186046512,0.333333333333333,5084,2926.0
9376,1.10344827586207,32,8,3,0.482758620689655,0.5123625096688621,4656,2926.0
9397,0.549019607843137,2,11,1,3.5098039215686296,2.0,2848,2926.0
9403,0.3928571428571429,3,17,1,2.125,3.0,4595,2926.0
9430,1.16666666666667,2,4,1,104.666666666667,1.0,1041,1006.0
9431,32.1,28,5,7,193.72,0.0646159621611109,70,1095
9432,1.2564102564102602,1,16,1,3.97435897435897,1.0,2012,2926.0
9438,1.22222222222222,7,6,1,1.05555555555556,5.0,2724,2926.0
9469,0.470588235294118,8,5,2,3.23529411764706,6.0,2567,2926.0
9489,21.1904761904762,36,9,3,121.857142857143,0.340976095196137,294,1450.0
9491,1.23214285714286,6,15,1,7.196428571428571,6.0,4985,2926.0
9358,30.490000000000002,51,4,1,0.0,2.0,1576,749.0
9393,30.490000000000002,2,7,1,3.04918032786885,2.0,1821,588.0
9400,30.490000000000002,34,5,1,3.5833333333333304,4.0,2208,1450.0
9498,21.12,13,5,4,106.96,0.396139711141586,951,2926.0
9532,27.1818181818182,14,6,3,147.272727272727,0.15371665590975,748,2926.0
9541,1.33333333333333,14,6,1,14.583333333333302,14.0,1134,19
9533,1.57692307692308,9,11,1,3.11538461538462,9.0,2573,2926.0
9378,30.490000000000002,128,20,1,9.82954545454546,19.0,2178,2926.0
9550,1.85714285714286,15,9,1,2.9047619047619,15.0,3181,2926.0
9552,28.35,38,10,2,83.725,0.8121487846619859,1818,2926.0
9558,1.35,2,9,1,3.65,0.0,4189,2926.0
9561,1.21052631578947,35,14,2,30.8157894736842,1.04305217973888e-06,722,1450.0
9406,30.490000000000002,27,12,1,7.9375,3.0,1915,1513
9586,11.6818181818182,1423,3,2,99.4545454545455,4.47037500350727e-08,1778,2926.0
9579,23.357142857142897,4,5,10,212.67857142857105,0.111,408,2926.0
9370,30.490000000000002,137,11,1,15.4358974358974,1.0,2215,1006.0
9591,2.17171717171717,10,14,1,13.3737373737374,10.0,5266,2926.0
9597,25.75,212,8,7,68.5833333333333,8.49985975231409e-06,106,2926.0
9606,1.34146341463415,2,12,1,15.512195121951196,2.0,3420,2926.0
9616,3.76,41,22,2,11.84,0.6157268742094859,3690,2926.0
9465,30.490000000000002,8,6,1,2.54545454545455,8.0,1984,749.0
9630,1.23529411764706,1,5,2,6.47058823529412,0.5,924,749.0
9680,2.3454545454545497,12,18,1,12.2181818181818,12.0,5090,2926.0
9704,2.04615384615385,178,19,2,14.892307692307696,9.54228092790054e-41,2665,2926.0
9738,4.075,42,15,2,9.525,0.6157268742099399,2971,2926.0
9750,34.3793103448276,47,10,2,64.8275862068966,0.812148784668317,621,1006.0
9582,26.2727272727273,0,1,7,8.42424242424242,0.0,1651,2926.0
9779,31.7777777777778,48,6,2,1.55555555555556,1.05998281101347,514,588.0
9808,0.0,18,3,1,0.0,18.0,1515,588.0
9806,7.928571428571429,18,5,1,71.5714285714286,9.0,1342,1450.0
9781,12.5714285714286,34,5,11,7.047619047619048,1.97858181965619e-18,1423,417
9812,47.7272727272727,0,5,2,3.7272727272727297,0.0,643,588.0
9836,4.75675675675676,190,17,1,17.108108108108098,79.0,721,588.0
9685,2.2380952380952404,2,2,2,0.952380952380952,1.0,1223,1006.0
9872,0.6190476190476191,0,11,1,4.57142857142857,0.0,2709,2926.0
9942,4.46875,206,10,1,7.53125,94.0,1300,749.0
9949,1.95454545454545,1429,3,2,23.4545454545455,4.47037500350727e-08,1505,2926.0
9862,22.67307692307689,49,4,7,8.846153846153848,0.166258846584701,613,2926.0
9977,32.1428571428571,128,8,1,9.75,27.0,1082,588.0
9979,3.9583333333333295,196,19,1,19.5833333333333,55.0,507,588.0
10017,2.61666666666667,16,20,1,19.8166666666667,13.0,1471,2926.0
10029,37.4117647058824,1335,5,2,99.7647058823529,2.6045142923439913e-08,954,2926.0
10054,29.755102040816308,25,15,5,241.91836734693905,0.240336085188929,943,2926.0
9496,30.490000000000002,11,8,1,12.8,11.0,2164,1006.0
9617,2.57142857142857,1,8,1,9.0,0.5,1396,445.0
9950,7.28571428571429,1,8,2,6.28571428571429,1.0,1066,1006.0
10093,4.34615384615385,74,10,1,8.23076923076923,21.0,2428,2926.0
10105,0.181818181818182,21,7,1,2.45454545454545,3.0,3004,2926.0
10064,2.68965517241379,205,1,2,3.68965517241379,9.542280927900942e-41,1067,1450.0
9911,1.47826086956522,0,10,1,4.73913043478261,0.0,1537,588.0
10143,18.1875,25,5,4,1.15625,0.0833323039153173,2800,2926.0
10163,3.38461538461538,0,5,1,177.07692307692295,0.0,1317,2926.0
10192,3.59090909090909,77,12,1,2.2727272727272703,24.0,3762,2926.0
10193,3.63636363636364,4,13,1,18.772727272727305,4.0,1156,336.0
10201,21.1538461538462,100,4,1,9.69230769230769,65.0,1807,1006.0
10210,35.625,1,6,4,108.75,0.25,185,1006.0
10217,6.48571428571429,30,11,2,11.0571428571429,0.9999999916180968,2981,2926.0
9523,30.490000000000002,8,9,1,4.15384615384615,1.0,2302,749.0
9564,30.490000000000002,38,21,2,22.46428571428569,1.04309219750576e-06,2299,2926.0
10258,6.325,29,18,2,11.725,0.374505935236812,612,1006.0
10319,3.93333333333333,7,9,1,2.2666666666666697,7.0,1373,336.0
10325,1.6,2,5,1,63.9333333333333,0.0,1122,1006.0
10327,34.25,9,5,4,20.0,0.4586982727050779,101,749.0
10380,4.56,30,14,3,15.6,0.166647119101405,3012,2926.0
10401,24.8181818181818,10,5,3,10.1818181818182,0.724533861708073,277,749.0
10257,9.44444444444444,0,5,2,86.5,0.0,2955,2926.0
10403,26.6923076923077,67,10,3,20.61538461538461,0.3780150138777311,103,749.0
10470,19.0294117647059,10,7,2,0.0294117647058824,0.0,1446,1006.0
10483,6.22222222222222,5,6,4,56.8888888888889,0.3330078125,354,2926.0
10490,0.5957446808510639,72,18,1,6.4893617021276615,10.0,2766,2926.0
10499,2.10714285714286,249,7,2,37.4285714285714,0.509766101917835,655,2926.0
10550,13.4852941176471,64,5,11,239.04411764705893,0.0909091422249027,60,295
10753,22.25,0,4,3,67.375,0.0,321,1006.0
10783,17.304347826087,108,5,2,125.695652173913,1.00852999347482,674,1450.0
10818,20.514285714285705,61,12,2,16.1142857142857,5.84351086181791e-11,1633,1006.0
10006,30.490000000000002,201,5,2,20.6276595744681,9.542280927900942e-41,2474,2926.0
10893,15.0,28,5,5,51.53846153846151,0.370092917766555,184,2926.0
10900,11.75,68,6,6,126.2,0.111372480389228,528,2926.0
10958,8.80952380952381,239,7,1,42.5238095238095,91.0,862,749.0
10092,30.490000000000002,22,6,1,5.13333333333333,13.0,2208,1006.0
10959,7.71428571428571,90,17,2,35.028571428571404,0.9958695031965992,447,1006.0
11022,18.0434782608696,74,7,5,77.0434782608696,0.08064,406,2926.0
11156,2.63333333333333,22,16,1,21.4333333333333,21.0,1120,749.0
11249,5.857142857142861,824,5,1,42.1428571428571,4.0,322,51.5
