,nuc,aexp,nd,ns,age,asexp,la,ld
9498,,,,,,,,
9552,,,,,,,,
9597,,,,,,,,
10064,,,,,,,,
9738,,,,,,,,
9806,,,,,,,,
10112,,,,,,,,
10225,,,,,,,,
10092,,,,,,,,
9862,,,,,,,,
10017,,,,,,,,
9523,,,,,,,,
9949,,,,,,,,
9541,1.33333333333333,0,6,1,14.583333333333302,14.0,1134,19
9704,,,,,,,,
9836,,,,,,,,
11022,,,,,,,,
9977,,,,,,,,
11156,,,,,,,,
9750,34.3793103448276,47,10,2,64.8275862068966,0.812148784668317,1,293
10054,29.755102040816308,25,15,5,241.91836734693905,0.240336085188929,1,551
9586,,,,,,,,
10192,3.59090909090909,77,12,1,2.2727272727272703,24.0,1,73
10327,34.25,9,5,4,20.0,0.4586982727050779,1,82
11159,3.69491525423729,18,18,1,28.084745762711897,13.0,1,216
10550,,,,,,,,
11304,1.87719298245614,23,14,1,21.0877192982456,22.0,1,1364
9400,1.6666666666666698,34,5,1,3.5833333333333304,4.0,2,56
11334,,,,,,,,
9550,,,,,,,,
10006,,,,,,,,
10029,37.4117647058824,1335,5,2,99.7647058823529,2.6045142923439913e-08,2,373
11370,10.5833333333333,20,8,2,15.166666666666698,1.74989223480225,2,62
11475,,,,,,,,
9979,3.9583333333333295,196,19,1,19.5833333333333,55.0,1,0
10093,4.34615384615385,74,10,1,8.23076923076923,21.0,1,0
10959,7.71428571428571,90,17,2,35.028571428571404,0.9958695031965992,1,0
11578,9.57894736842105,39,9,3,83.4736842105263,8.907960197187472e-17,1,0
10499,2.10714285714286,0,7,2,37.4285714285714,0.509766101917835,2,734
10900,11.75,68,6,6,126.2,0.111372480389228,2,0
10403,26.6923076923077,1,10,3,20.61538461538461,0.3780150138777311,1,287
9374,,,,,,,,
9376,,,,,,,,
9378,,,,,,,,
9430,,,,,,,,
9465,,,,,,,,
9393,,,,,,,,
9685,,,,,,,,
9808,,,,,,,,
10258,6.325,29,18,2,11.725,0.0051312456198502,3,417
10401,24.8181818181818,1,5,3,10.1818181818182,0.724533861708073,1,0
10958,8.80952380952381,239,7,1,42.5238095238095,0.0051312456198502,1,0
10783,17.304347826087,1,5,2,125.695652173913,1.00852999347482,1,0
9489,0.0,36,9,3,199.052631578947,0.340976095196137,294,85
10325,,,,,,,,
9950,,,,,,,,
10089,,,,,,,,
10916,,,,,,,,
11258,,,,,,,,
9496,1.72,11,17.0,1,12.8,11.0,1,99
9616,3.76,41,22,2,11.84,0.6157268742094859,1,1656.0
11249,5.857142857142861,824,5,1,42.1428571428571,329.0,1,315
10105,0.181818181818182,0,7,1,2.45454545454545,3.0,7,0
10380,4.56,30,14,3,15.6,19.5,2,13
9617,,,,,,,,
10490,,,,,,,,
10893,,,,,,,,
10257,,,,,,,,
11271,0.0,261,7,3,44.23529411764712,42.0,1,94
10483,,,,,,,,
10470,19.0294117647059,1,7,2,0.0294117647058824,0.0,1446,1006.0
10740,2.46666666666667,56,1,3,154.91666666666652,2.89780591466001e-16,2,46
9406,2.664102564102565,1,12,1,7.9375,3.0,1,1513
9431,,,,,,,,
10818,118.333333333333,61,12,4,16.1142857142857,5.84351086181791e-11,1,87
10201,32.2105263157895,1,4,1,9.69230769230769,65.0,1,161
9942,4.46875,1,10,14.5,7.53125,94.0,1300,0
9532,,,,,,,,
9491,1.23214285714286,75.5,15,1,7.196428571428571,692.0,4985,198
11386,,,,,,,,
9781,99.5,1,22,11,7.047619047619048,1.97858181965619e-18,1,417
11346,,,,,,,,
9606,92.33333333333334,0,12,1,15.512195121951196,2.0,3420,680
10163,3.38461538461538,69.0,5,1,249.8170731707315,0.0,1317,215
9872,0.6190476190476191,72.0,11,1,4.57142857142857,0.0,2709,2926.0
10210,0.65,74.0,6,4,108.75,0.25,185,32
10193,3.63636363636364,0,13,1,400.3243243243245,4.0,1156,111
10319,3.93333333333333,1,9,1,304.8333333333335,7.0,1373,45
10217,6.48571428571429,30,1,2,2.5,0.9999999916180968,5,165
11435,0.882352941176471,3,7,1,30.1176470588235,145.0,1,48.5
9911,1.47826086956522,73.0,10,2,4.73913043478261,323.0,1537,149
11301,111.5,262,5,4,68.6,0.140625002153683,946.5,2
10108,1.58823529411765,2,4,1,99.0588235294118,0.5862427949905401,4,173
9356,3.0166666666666697,136,3,2,122.8,2.50120063558115e-12,5613.0,0
9564,0.111111111111111,0,21,2,22.46428571428569,1.04309219750576e-06,8174.5,1588
9680,34.32291666666665,12,18,1,97.83333333333334,12.0,1,993
9361,,,,,,,,
9779,50.05555555555555,48,6,2,1.55555555555556,24.0,2,101
9561,3.0,35,14,2,30.8157894736842,0.5862427949905401,3,620
9469,,,,,,,,
9432,,,,,,,,
9358,1.77777777777778,51,4,1,0.0,2.0,5,47.5
9558,1.35,71.0,9,1,0.222222222222222,0.0,5,27
9533,0.37037037037037,1,11,1,3.11538461538462,9.0,8,1
9397,77.5,72.0,11,1,3.5098039215686296,239.0,2848,142
9591,,,,,,,,
9403,2.3157894736842097,72.0,17,1,2.125,3.0,4595,3327.0
9630,,,,,,,,
11390,1.7692307692307698,91,1,1,3.6666666666666696,78.0,3,48.5
9438,1.22222222222222,0,6,1,0.369318181818182,472.0,2724,108
10143,18.1875,25,19,4,4.769230769230768,555.5,1,4
9582,26.2727272727273,344.0,16,7,94.0,0.0,2,1
10753,22.25,73.0,4,3,210.0,0.0,408.5,32
9579,0.3117408906882595,756.5,16,10,212.67857142857105,0.111,1,45
9370,2.136666666666665,137,11,1,53.1366459627329,0.015625,8174.5,880
9812,,,,,,,,
