,nuc,arexp,nd,ns,age,la,ld
7192,1.36931818181818,354.49999999999915,3,1,4.66666666666667,0,555
7575,0.8854166666666665,605.119802419838,4,1,13.125,0,51
7097,1.77777777777778,1.5,2,1,43.0,856,254
6699,1.3636363636363602,2.0,2,1,165.0,117,31
6836,0.96875,2.0,2,1,202.0,113,6
6672,0.641025641025641,1.0,4,1,98.0,0,118
6984,,,,,,,
6928,0.641025641025641,2.0,2,1,22.75,0,394
6625,2.354166666666665,2.5,4,1,93.8,0,0
7963,2.23611111111111,87.5,1,1,5.0,0,0
7389,2.4,0.333333333333333,2,1,7.0,11.0,0
7639,0.25,19.5,2,1,84.0,0,0
7162,0.641025641025641,6.5,2,2,67.0,113.5,52
7153,0.96875,337.833333333332,4,1,358.0,4,0
7968,3.4,1.5,1,1,2.0,370.5,0
7014,0.641025641025641,1.5,21,1,5.14285714285714,2,102
6636,0.615384615384615,0.333333333333333,2,1,3.85714285714286,0,1
6789,1.8666666666666696,1.5,4,1,10.35416666666665,67.0,1
6554,0.641025641025641,1.5,4,1,65.0,20.5,16.0
