test_idx,candidate_id,nuc,aexp,nd,ns,age,la,ld,proba0,proba1,num_features_changed,dist_unit_l2
2325,0,0.5,337.0,2.084228515625,2.0,7.5,4.0,5.0,0.5000209316883053,0.49997906831169464,3,1000000000000.0
2326,0,442.4,198.0,2.46728515625,2.0,54.4,224.0,61.0,0.5000296211858644,0.4999703788141356,2,1000000000000.0
2328,0,1215.0,45.0,3.0,1.593017578125,27.3333333333333,47.0,12.0,0.5000375513475444,0.49996244865245565,1,593017578125.0
2329,0,1216.0,200.0,2.0,1.72705078125,102.0,26.0,8.0,0.5000618361191694,0.49993816388083057,1,727050781250.0
2331,0,174.92857142857102,201.0,2.174560546875,2.0,106.535714285714,5.64208984375,232.0,0.5000306943789639,0.4999693056210361,2,10.614450358576525
2332,0,297.66666666666697,140.84375,3.0,2.0,36.0,120.0,125.0,0.5000357279601952,0.4999642720398047,2,1000000000000.0
2333,0,462.875,313.17447078227997,2.0,2.0,37.0,270.0,133.0,0.5000122947701919,0.49998770522980807,3,1000000000000.0
2334,0,492.625,206.4968602657318,2.0,2.0,89.125,350.0,122.0,0.5000106389029286,0.4999893610970714,3,1000000000000.0
2335,0,1826.5,8.0,2.0,1.0689905881881714,19.5,37.0,14.0,0.5000021967543195,0.49999780324568055,1,68990588188.17139
2336,0,339.25,92.0,2.94189453125,2.0,51.75,255.0,102.0,0.5000387011484124,0.49996129885158763,2,1000000000000.0
2337,0,354.571428571429,387.0,2.0966796875,2.0,0.0,85.0,82.0,0.5000439147126022,0.49995608528739777,2,1000000000000.0
2338,0,357.545454545455,94.0,2.217529296875,2.0,132.090909090909,297.0,200.0,0.5000627452737869,0.49993725472621303,2,1000000000000.0
2339,0,636.0,263.0,2.0,1.689208984375,0.25,4.263671875,0.0,0.5000409830194212,0.49995901698057876,2,689208984375.0
2340,0,658.666666666667,49.0,3.0,1.8310546875,54.8333333333333,107.0,12.0,0.5000033647063912,0.4999966352936088,1,831054687500.0
2341,0,643.333333333333,37.0,2.0,1.5735903978347778,67.5,152.0,19.0,0.5000429097269994,0.4999570902730006,1,573590397834.7778
2343,0,618.166666666667,38.0,2.0,1.789306640625,147.166666666667,153.0,29.0,0.5000828169996581,0.499917183000342,1,789306640625.0
2344,0,166.612903225806,244.0,2.23046875,1.99951171875,94.4516129032258,4.0,589.0,0.5000162439007769,0.499983756099223,3,999511718750.0
2345,0,294.1875,0.0,3.669921875,1.999755859375,19.3125,330.0,299.0,0.5000034490195859,0.49999655098041407,2,999755859375.0
2346,0,770.4,195.0,3.3102270364761353,2.0,10.8,95.0,23.0,0.5000208239254151,0.4999791760745848,2,1000000000000.0
2348,0,1249.66666666667,403.0,2.0,1.834716796875,27.3333333333333,19.0,13.0,0.5000603239219359,0.4999396760780641,1,834716796875.0
2349,0,639.666666666667,95.0,2.0,1.62890625,46.8333333333333,285.0,279.0,0.5000384389602731,0.4999615610397269,1,628906250000.0
2350,0,853.0,372.0,2.0,1.904296875,6.0,224.0,81.0,0.500094334048526,0.49990566595147407,1,904296875000.0
2352,0,627.666666666667,4.0,3.11279296875,2.0,104.0,286.0,66.0,0.5000325365673108,0.4999674634326891,2,1000000000000.0
2353,0,523.5,99.0,2.0,1.5333170294761658,22.875,47.0,39.0,0.5000118929487463,0.4999881070512538,1,533317029476.1658
2354,0,1844.5,265.0,2.0,1.523797869682312,0.0,289.0,0.0,0.5000519595046733,0.4999480404953267,1,523797869682.312
2355,0,621.666666666667,101.0,2.0,1.5133023858070374,20.6666666666667,72.0,69.0,0.5000031091241839,0.4999968908758161,1,513302385807.03735
2358,0,1290.0,199.0,2.0,1.9990234375,215.0,12.0,3.0,0.5000813118775369,0.49991868812246304,1,999023437500.0
2359,0,639.428571428571,200.0,2.9853515625,2.0,42.7142857142857,31.0,23.0,0.5000961174687757,0.49990388253122425,2,1000000000000.0
2360,0,1851.0,30.0,2.0,1.311279296875,99.5,42.0,2.0,0.5000396449576598,0.4999603550423402,1,311279296875.0
2361,0,505.25,66.939453125,3.0,2.0,69.25,291.0,100.0,0.5000540175364382,0.4999459824635618,1,2.509650136022281
2363,0,1256.33333333333,202.0,2.0,1.72607421875,99.6666666666667,51.0,1.0,0.5000149201892976,0.4999850798107024,1,726074218750.0
2365,0,310.153846153846,232.0,2.6083984375,2.0,40.1538461538462,4.03515625,20.0,0.5000192253278203,0.4999807746721797,2,7.250237596062144
2366,0,347.166666666667,168.40469980239868,2.0,2.0,88.1666666666667,388.0,53.0,0.5000281503912622,0.4999718496087377,3,1000000000000.0
