,nuc,arexp,nd,ns,age,la,ld
9629,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9632,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9636,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9644,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9651,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9659,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9663,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9680,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9687,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9688,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9691,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9695,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9710,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9729,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9744,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9755,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9787,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9788,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9803,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9804,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9810,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9821,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9825,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9829,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9836,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9839,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9851,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9857,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9862,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9869,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9870,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9871,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9872,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9878,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9886,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9887,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9888,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9890,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9896,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9904,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9906,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9917,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9922,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9924,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9932,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9944,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9965,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9966,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
9977,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10006,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10047,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10080,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10107,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10117,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10120,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10121,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10137,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10138,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10180,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10199,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10202,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10213,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10219,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10228,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10232,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10238,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10245,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10247,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10256,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10257,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10259,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10265,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10274,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10277,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10282,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10283,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10285,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10286,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10287,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10297,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10310,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10320,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10321,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10323,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10327,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10340,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10353,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10359,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10367,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10368,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10372,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10374,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10375,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10379,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10380,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10386,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10392,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10404,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10405,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10407,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10408,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10410,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10411,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10414,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10415,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10419,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10422,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10423,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10425,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10428,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10435,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10438,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10446,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10452,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10454,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10457,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10464,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10478,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10480,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10482,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10485,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10486,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10494,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10498,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10501,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10506,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10509,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10521,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10523,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10525,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10526,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10528,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10534,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10538,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10540,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10548,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10552,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
10556,16.071428571428598,776.0833333333414,6,3,0.7272727272727271,281.0,34.0
