,nuc,aexp,age,asexp,la,ld
1165,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1163,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1160,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1166,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1179,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1168,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1169,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1171,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1175,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1188,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1180,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1193,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1182,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1201,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1199,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1207,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1226,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1203,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1204,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1219,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1231,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1235,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1241,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1243,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1236,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1247,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1250,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1256,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1303,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1273,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1294,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1304,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1310,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1334,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1317,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1329,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1326,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1341,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1346,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1353,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1349,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1351,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1356,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1359,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1363,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1360,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1368,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1369,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1378,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1384,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1390,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1386,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1387,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1411,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1450,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1391,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
1447,10.4545454545455,853.0,3.5,0.45679012345679,62.5,6.5
