,nuc,aexp,age,asexp,la,ld
1171,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1163,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1173,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1169,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1172,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1166,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1165,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1175,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1180,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1188,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1193,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1203,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1207,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1215,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1211,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1219,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1226,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1235,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1231,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1236,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1247,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1250,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1256,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1260,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1294,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1303,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1304,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1310,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1317,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1326,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1329,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1332,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1334,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1337,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1341,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1346,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1351,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1353,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1356,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1359,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1360,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1362,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1363,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1368,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1369,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1378,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1381,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1386,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1387,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1390,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1391,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1447,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
1450,7.31666666666667,853.0,3.5,0.032295044351065796,62.5,1299.5
