,nuc,aexp,nd,ns,age,asexp,la,ld
9356,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,281
9361,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,130
9370,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,880
9374,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,117
9376,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,130
9378,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,2055
9384,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,256
9393,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,131
9396,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,20
9397,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,142
9400,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,56
9403,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,155
9406,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,1513
9417,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,7
9430,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,46
9432,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,22
9438,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,108
9445,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,104
9450,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,6
9465,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,2
9473,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,218
9489,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,85
9491,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,198
9498,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,908
9513,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,639
9532,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,66
9533,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,21
9536,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,321
9551,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,356
9552,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,1060
9557,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,152
9558,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,27
9561,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,620
9564,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,1588
9579,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,45
9582,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,1
9586,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,1807
9597,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,36
9606,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,680
9616,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,911
9617,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,203
9630,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,342
9655,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,161
9680,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,993
9685,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,45
9704,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,971
9711,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,95
9719,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,120
9750,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,293
9753,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,436
9763,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,209
9781,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,417
9812,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,2
9822,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,13
9824,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,723
9836,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,411
9844,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,182
9862,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,610
9872,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,0
9877,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,745
9892,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,121
9900,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,3
9909,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,39
9910,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,5
9911,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,149
9942,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,454
9949,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,365
9963,7.941176470588241,97.5,3,2.5,37.225,135.5,224.0,14
