,nuc,aexp,nd,ns,age,asexp,la,ld
9685,2.2380952380952404,2,3,2,0.952380952380952,1.0,1223,45
10006,,,,,,,,
10916,,,,,,,,
11389,11.25,17,1,2,131.833333333333,12.0,442,102
9489,,,,,,,,
10470,,,,,,,,
10109,,,,,,,,
10143,,,,,,,,
10893,,,,,,,,
9680,,,,,,,,
9361,0.7111111111111109,6,5,1,1.4888888888888898,74.0,3660,130
9370,,,,,,,,
9376,1.10344827586207,32,8,3,0.482758620689655,41.0,4656,130
9384,0.306451612903226,52,15,1,1.5645161290322598,3.0,9742,318.0
9393,,,,,,,,
9396,34.1428571428571,1213.5,5,4,144.571428571429,9.36177583372475e-10,302,20
9397,,,,,,,,
9406,14.7913043478261,27,12,1,7.9375,3.0,1915,1513
9465,,,,,,,,
9491,,,,,,,,
9532,,,,,,,,
9561,,,,,,,,
9606,,,,,,,,
9616,3.76,41,22,2,11.84,0.6157268742094859,864.5,911
9617,2.57142857142857,333.5,8,2,9.0,0.5,1396,203
9630,1.23529411764706,1,5,2,9.57738095238095,0.5,924,342
9704,2.04615384615385,178,19,2,14.892307692307696,535.5,2665,971
9711,31.125,96,10,5,206.4375,22.0,510,95
9750,,,,,,,,
9763,3.14285714285714,9,9,1,18.1428571428571,37.0,802,209
9836,,,,,,,,
9909,,,,,,,,
9963,5.22222222222222,0,4,2,4.33333333333333,0.8959397503430424,208,14
9979,,,,,,,,
10029,,,,,,,,
10064,,,,,,,,
10089,13.7586206896552,234,7,4,103.761904761905,0.520590008959613,1760,166
10092,,,,,,,,
10093,,,,,,,,
10118,3.75,2,5,1,25.875,97.5,532,383
10193,,,,,,,,
10196,91.0,1340,1,1,0.253076923076923,78.0,197,50
10201,0.375,100,4,1,9.69230769230769,65.0,1807,161
10209,,,,,,,,
10210,,,,,,,,
10217,6.48571428571429,145.5,11,2,11.0571428571429,0.9999999916180968,2981,165
10257,,,,,,,,
10327,34.25,9,5,4,20.0,0.4586982727050779,264.0,82
10403,26.6923076923077,67,10,3,20.61538461538461,0.3780150138777311,103,20.0
10490,0.5957446808510639,72,18,1,6.4893617021276615,26.0,2766,220
10577,,,,,,,,
10740,,,,,,,,
10753,,,,,,,,
11022,,,,,,,,
11104,9.14285714285714,28,7,2,14.5652173913043,1.20751759037375,411,136
11148,,,,,,,,
11151,,,,,,,,
11159,,,,,,,,
11268,8.368421052631579,2,6,1,64.8421052631579,28.5,933,844
11301,,,,,,,,
