,nuc,aexp,nd,ns,age,la,ld
1064,,,,,,,
1084,,,,,,,
1113,,,,,,,
1108,450.333333333333,122,2,2,93.3333333333333,32,0
1129,,,,,,,
1167,,,,,,,
1222,,,,,,,
1237,,,,,,,
1306,76.5,39,1,2,108.0,105,0
1151,713.5,59,3,2,140.5,8,3
1103,,,,,,,
1164,323.0,160,2,2,118.6,345,87
1240,,,,,,,
1266,643.0,196,2,2,90.0,11,5
1227,75.2916666666667,128,3,2,140.75,393,374
1166,497.333333333333,163,1,2,46.6666666666667,163,14
1280,,,,,,,
1086,424.333333333333,68,2,2,56.0,5,2
1297,,,,,,,
1096,256.4,101,2,2,0.0,607,0
1218,,,,,,,
1083,,,,,,,
1097,353.75,117,3,2,32.5,197,0
1115,415.0,141,3,2,46.0,111,53
1155,1.81818181818182,1,2,2,0.545454545454545,348,321
1172,259.16666666666697,49,3,2,178.333333333333,247,16
1168,,,,,,,
1305,2.0,148,1,2,32.0,101,2
1067,,,,,,,
1179,311.0,29,3,2,127.0,257,14
1224,,,,,,,
1248,,,,,,,
1128,,,,,,,
1271,1.33333333333333,0,3,2,99.1666666666667,237,576
1193,43.2820512820513,10,4,1,479.333333333333,49,49
1199,,,,,,,
1062,,,,,,,
1182,,,,,,,
1221,,,,,,,
1319,,,,,,,
1286,,,,,,,
1145,,,,,,,
1090,,,,,,,
1063,,,,,,,
1085,,,,,,,
1095,,,,,,,
1092,,,,,,,
1123,,,,,,,
1138,,,,,,,
1134,,,,,,,
1126,,,,,,,
1141,,,,,,,
1153,,,,,,,
1154,,,,,,,
1212,,,,,,,
1169,,,,,,,
1219,,,,,,,
1116,,,,,,,
1121,287.6,109,2,2,34.2,65,47
1117,,,,,,,
1220,,,,,,,
1296,,,,,,,
1158,238.14285714285705,71,2,2,68.71428571428571,277,59
1252,,,,,,,
1205,6.0,141,2,2,0.0,1,2
1176,282.0,13,2,2,48.1666666666667,312,64
1304,,,,,,,
1232,273.0,110,2,2,16.571428571428598,69,13
1299,5.0,55,2,2,6.0,492,92
1301,60.8,127,2,2,0.0,81,0
1118,352.5,103,3,2,0.0,277,13
1125,153.0,125,4,2,36.7,224,35
1074,613.5,3,5.0,2,50.5,13,12
1316,,,,,,,
1173,330.0,51,4,2,85.8,8,18
1139,,,,,,,
1217,572.666666666667,17,5.0,2,31.3333333333333,6,3
1262,,,,,,,
1080,,,,,,,
1178,,,,,,,
1144,702.5,202.0,2,2,16.0,29,0
1275,,,,,,,
1071,,,,,,,
1258,,,,,,,
1198,416.0,180.0,2,2,4.25,370,309
1089,,,,,,,
1204,420.0,138,2,2,0.666666666666667,24,1
1241,601.666666666667,121,2,2,37.4814814814815,293,16
1094,,,,,,,
1311,10.6666666666667,155,1,2,24.285714285714302,78,32
1070,203.833333333333,73,2,2,36.1666666666667,271,90
1112,,,,,,,
1201,563.333333333333,79,3,2,10.0,65,0
1114,,,,,,,
1185,167.0,108,4,3,12.0,328,39
1110,356.5,98,2,2,70.0,64,1
1268,,,,,,,
1277,,,,,,,
1186,221.125,95,5,2,89.5,178,4
1087,633.0,92,3,2,14.666666666666698,9,5
1282,,,,,,,
1066,112.090909090909,70,5,3,21.8181818181818,262,24
1133,727.5,131,3,2,7.0,5,5.5
1165,490.333333333333,161,3,2,129.333333333333,59,4.5
1209,423.0,67,3,2,82.6666666666667,74,35
1302,,,,,,,
1233,634.666666666667,112,3,2,20.6666666666667,29,5.5
1234,593.666666666667,47.5,3,2,124.333333333333,106,1
1259,618.666666666667,92,3,2,0.6095238095238096,65,10
1082,425.666666666667,89,2,2,9.0,131,6
1060,423.666666666667,62,3,2,10.6666666666667,15,4.5
1065,260.2,69,4,2,5.6,211,11.5
1100,356.0,106,4,2,33.875,102,7
1091,184.75,91.0,6,3,33.375,279,13
1102,185.57142857142892,77,3,2,0.0,1376,1.0
1106,436.333333333333,46,2,2,3.625,31,34
1157,145.9,74.0,3,2,119.4,269,18
1152,187.0,149,5,3,26.61904761904765,203,21
1163,266.9166666666665,45,3,2,70.8333333333333,319,16
1183,232.42857142857105,88,5,2,66.4285714285714,691,8
1191,237.75,2.5,5,2,41.875,252,68
1196,178.333333333333,1,2,2,12.35897435897435,255,4
1197,313.33333333333303,58,4,2,42.0,363,16.0
1180,,,,,,,
1206,438.75,9,2,2,6.18181818181818,177,4
1223,260.0,36.0,5,2,45.125,226,18
1278,15.5,202,1,2,7.38288288288288,346,14
1287,28.857142857142897,72,4,2,0.6190476190476191,634,10
1285,,,,,,,
1130,457.666666666667,137.5,3,2,142.333333333333,74,1
1072,408.666666666667,113,3,2,53.3333333333333,203,6
1136,,,,,,,
1056,312.25,112,3,2,0.75,76,17.0
1109,87.3333333333333,53,6,2,93.1764705882353,575,25
1160,378.0,33,2,2,22.75,194,0
1076,614.5,12,5.0,2,3.28571428571429,12,7
1105,292.0,114,3,2,11.25,23,1
