,nuc,arexp,ent,ndev,age,asexp,la,ld
6638,,,,,,,,
6555,302.91666666666697,37.0,0.150633715078446,5.705882352941179,2.3333333333333304,1.38764997489117,64.5,0
6532,,,,,,,,
6551,302.91666666666697,893.400000000027,1.05315009849382,5.705882352941179,2.25,1.25720880955949,64.5,0
6672,,,,,,,,
6550,,,,,,,,
6581,,,,,,,,
6604,,,,,,,,
6598,,,,,,,,
6643,67.75,283.0,4.02920029353342,4.76,2.4,0.53210557535794,64.5,0
6611,,,,,,,,
6644,,,,,,,,
6639,,,,,,,,
6547,67.75,344.5,1.38704188079212,5.6,0.4,0.227547918446589,16.0,33.0
6646,,,,,,,,
6559,,,,,,,,
6546,,,,,,,,
6582,,,,,,,,
6675,,,,,,,,
6691,,,,,,,,
6728,302.91666666666697,115.0,0.297221332343726,5.705882352941179,1.6,1.48209948469796,64.5,0
6659,,,,,,,,
6778,,,,,,,,
6784,,,,,,,,
6802,,,,,,,,
6765,,,,,,,,
6829,,,,,,,,
6834,,,,,,,,
6807,93.58333333333334,27.0,0.5660906530347479,6.0,5.845238095238096,1.91098755598068,64.5,0
6853,67.75,149.0,1.24907273952084,6.2,5.845238095238096,0.982099487410273,64.5,0
6898,,,,,,,,
6843,302.91666666666697,0.0,0.233213189357623,5.705882352941179,0.333333333333333,0.0,16.0,33.0
6913,,,,,,,,
6927,,,,,,,,
6907,302.91666666666697,5.0,0.484954389527546,5.705882352941179,0.0,0.912208504801097,64.5,0
6936,,,,,,,,
6937,,,,,,,,
7015,,,,,,,,
6975,,,,,,,,
6999,,,,,,,,
7045,,,,,,,,
7074,,,,,,,,
7123,,,,,,,,
7011,,,,,,,,
7051,,,,,,,,
7052,,,,,,,,
7081,,,,,,,,
7151,,,,,,,,
6989,,,,,,,,
7130,,,,,,,,
7137,,,,,,,,
7179,,,,,,,,
7182,302.91666666666697,103.5,0.2049709381239939,5.705882352941179,1.33333333333333,1.72361189698143,64.5,0
7135,,,,,,,,
7136,,,,,,,,
7202,,,,,,,,
7166,,,,,,,,
7212,,,,,,,,
7194,,,,,,,,
7201,,,,,,,,
7266,,,,,,,,
7263,,,,,,,,
7210,,,,,,,,
7328,,,,,,,,
7193,302.91666666666697,65.5,1.77679004869901,5.705882352941179,5.0,1.0250560999813,64.5,0
7362,,,,,,,,
