,nuc,aexp,nd,ns,age,asexp,la,ld
9374,,,,,,,,
9430,1.16666666666667,97.5,4,2.5,104.666666666667,0.2322067492728804,224.0,18.0
9400,4.02,34,5,2.5,3.5833333333333304,0.2322067492728804,224.0,18.0
9358,4.02,51,4,2.5,3.88888888888889,0.2322067492728804,224.0,0
9371,4.02,97.5,2,2.5,0.4,0.8528025673134925,224.0,0
9378,4.02,218.0,20,2.5,9.82954545454546,19.0,224.0,89.0
9397,4.02,97.5,11,2.5,3.5098039215686296,0.2322067492728804,224.0,142
9384,,,,,,,,
9356,4.02,136,3,2.5,122.8,0.8528025673134925,224.0,89.0
9370,4.02,137,11,2.5,11.295031055900651,0.2322067492728804,224.0,880
9438,1.22222222222222,97.5,6,2.5,3.88888888888889,0.2322067492728804,224.0,108
9465,4.02,97.5,6,2.5,2.54545454545455,0.2322067492728804,224.0,2
9450,3.375,97.5,6,2.5,0.9226190476190481,0.2322067492728804,224.0,6
9393,4.02,97.5,7,2.5,3.04918032786885,0.2322067492728804,224.0,131
9406,4.02,97.5,12,2.5,7.9375,0.2322067492728804,224.0,1513
9432,1.2564102564102602,97.5,16,2.5,3.97435897435897,0.2322067492728804,224.0,18.0
9445,4.02,97.5,20,2.5,3.24657534246575,0.2322067492728804,224.0,104
9491,4.02,97.5,15,2.5,7.196428571428571,0.2322067492728804,224.0,198
9469,0.470588235294118,97.5,4,2.5,3.23529411764706,0.2322067492728804,224.0,18.0
9489,,,,,,,,
9473,1.19047619047619,97.5,22,2.5,3.89285714285714,0.8528025673134925,224.0,89.0
9537,,,,,,,,
9536,1.46153846153846,97.5,5,2.5,11.295031055900651,0.2322067492728804,224.0,321
9550,,,,,,,,
9533,,,,,,,,
9496,1.72,97.5,8,2.5,11.295031055900651,0.2322067492728804,224.0,99
9551,,,,,,,,
9532,14.3636363636364,97.5,6,3,147.272727272727,0.15313347115686599,224.0,18.0
9523,4.02,97.5,9,2.5,4.15384615384615,0.2322067492728804,224.0,306
9552,,,,,,,,
9557,,,,,,,,
9563,,,,,,,,
9562,4.02,36,1,2.5,2.5,0.2322067492728804,224.0,89.0
9561,4.02,35,14,2.5,11.295031055900651,0.8528025673134925,224.0,620
9579,14.3636363636364,97.5,16,10,212.67857142857105,0.8528025673134925,224.0,18.0
9558,1.35,97.5,9,2.5,3.65,0.8528025673134925,224.0,18.0
9582,14.3636363636364,97.5,16,7,0.9226190476190481,0.8528025673134925,224.0,1
9616,3.76,218.0,22,2.5,11.84,0.2322067492728804,224.0,89.0
9564,4.02,38,21,2.5,11.295031055900651,0.8528025673134925,224.0,1588
9617,4.02,97.5,8,2.5,9.0,0.2322067492728804,224.0,203
9586,11.6818181818182,446.0,3,2.5,99.4545454545455,0.8528025673134925,224.0,89.0
9597,14.3636363636364,212,8,1,68.5833333333333,0.8528025673134925,59.5,18.0
9685,2.2380952380952404,97.5,4,2.5,3.88888888888889,0.2322067492728804,224.0,45
9606,1.34146341463415,97.5,12,2.5,11.295031055900651,0.2322067492728804,224.0,680
9723,,,,,,,,
9738,4.075,218.0,15,2.5,9.525,0.2322067492728804,224.0,89.0
9704,4.02,178,19,2.5,11.295031055900651,0.8528025673134925,224.0,971
9655,4.02,97.5,2,2.5,4.8,0.2322067492728804,224.0,161
9720,14.3636363636364,41,7,1,88.52941176470591,0.2322067492728804,59.5,89.0
9680,2.3454545454545497,97.5,18,2.5,11.295031055900651,0.2322067492728804,224.0,993
9719,39.2,40,3,2.5,0.9226190476190481,0.2322067492728804,59.5,89.0
9753,4.2222222222222205,97.5,2,2.5,2.0,0.8528025673134925,224.0,89.0
9777,2.46341463414634,97.5,14,2.5,11.295031055900651,0.2322067492728804,224.0,276
9781,12.5714285714286,218.0,22,11,0.9226190476190481,0.8528025673134925,224.0,89.0
9763,3.14285714285714,97.5,9,2.5,11.295031055900651,0.2322067492728804,224.0,209
9822,2.5,97.5,3,2.5,3.88888888888889,0.2322067492728804,224.0,13
9750,,,,,,,,
9806,7.928571428571429,97.5,5,2.5,71.5714285714286,0.2322067492728804,224.0,18.0
9836,4.75675675675676,150.0,17,2.5,11.295031055900651,79.0,224.0,89.0
9827,4.02,97.5,9,2.5,2.80952380952381,0.2322067492728804,224.0,17
9862,,,,,,,,
9812,14.3636363636364,97.5,5,2.5,3.7272727272727297,0.8528025673134925,224.0,2
9824,4.02,150.0,12,2.5,9.0,44.0,224.0,89.0
9864,14.3636363636364,60,6,2.5,57.0909090909091,0.2322067492728804,59.5,18.0
9877,4.02,150.0,7,2.5,1.7857142857142905,47.0,224.0,89.0
9873,4.02,150.0,7,2.5,51.5833333333333,82.0,59.5,18.0
9900,9.0,150.0,3,2.5,0.9226190476190481,0.8528025673134925,59.5,3
9844,4.02,35,2,2.5,1.375,0.8528025673134925,224.0,89.0
9872,4.02,97.5,11,2.5,4.57142857142857,0.8528025673134925,224.0,0
9892,4.16666666666667,97.5,2,2.5,6.33333333333333,0.2322067492728804,59.5,89.0
9911,1.47826086956522,97.5,10,2.5,4.73913043478261,0.8528025673134925,224.0,89.0
9949,1.95454545454545,446.0,3,2.5,11.295031055900651,0.8528025673134925,224.0,365
9938,5.07142857142857,205,10,2.5,11.295031055900651,79.0,59.5,18.0
9909,1.3913043478260902,97.5,14,2.5,9.82608695652174,0.8528025673134925,224.0,18.0
9979,3.9583333333333295,150.0,19,2.5,11.295031055900651,55.0,224.0,89.0
9950,,,,,,,,
9942,4.46875,150.0,10,2.5,7.53125,79.0,224.0,89.0
9957,,,,,,,,
10008,8.58333333333333,133,5,2.5,11.295031055900651,0.2322067492728804,224.0,18.0
10017,2.61666666666667,97.5,20,2.5,11.295031055900651,0.2322067492728804,224.0,1060
9982,4.375,97.5,12,2.5,5.03571428571429,0.8528025673134925,224.0,89.0
10027,3.2,97.5,3,2.5,6.6,0.2322067492728804,224.0,18.0
9977,14.3636363636364,218.0,8,2.5,9.75,27.0,224.0,89.0
10029,14.3636363636364,446.0,5,2.5,99.7647058823529,0.8528025673134925,224.0,373
10006,4.02,201,29,2.5,11.295031055900651,0.8528025673134925,224.0,1167
10018,,,,,,,,
