,nuc,arexp,ent,ndev,age,asexp,la,ld
5858,,,,,,,,
5829,,,,,,,,
5889,,,,,,,,
5474,,,,,,,,
5475,,,,,,,,
5842,,,,,,,,
5478,,,,,,,,
5589,,,,,,,,
5484,,,,,,,,
5477,,,,,,,,
5480,,,,,,,,
5482,,,,,,,,
5494,,,,,,,,
5495,,,,,,,,
5486,,,,,,,,
5498,,,,,,,,
5491,,,,,,,,
5485,,,,,,,,
5502,,,,,,,,
5505,,,,,,,,
5499,,,,,,,,
5516,,,,,,,,
5511,,,,,,,,
5515,,,,,,,,
5507,12.0,51.5,0.0,5.16666666666667,0.0,76.5,80.5,63.5
5518,,,,,,,,
5514,,,,,,,,
5521,,,,,,,,
5525,,,,,,,,
5530,,,,,,,,
5527,,,,,,,,
5532,,,,,,,,
5546,,,,,,,,
5531,,,,,,,,
5519,,,,,,,,
5523,,,,,,,,
5549,,,,,,,,
5547,,,,,,,,
5524,,,,,,,,
5554,,,,,,,,
5558,,,,,,,,
5561,,,,,,,,
5560,,,,,,,,
5557,,,,,,,,
5536,,,,,,,,
5551,,,,,,,,
5571,,,,,,,,
5564,,,,,,,,
5553,,,,,,,,
5574,,,,,,,,
5573,,,,,,,,
5577,,,,,,,,
5568,,,,,,,,
5575,,,,,,,,
5584,,,,,,,,
5579,,,,,,,,
5586,,,,,,,,
5578,,,,,,,,
5583,,,,,,,,
5588,,,,,,,,
5593,,,,,,,,
5587,,,,,,,,
5611,,,,,,,,
5585,,,,,,,,
5598,,,,,,,,
5597,,,,,,,,
5612,,,,,,,,
5600,,,,,,,,
5614,,,,,,,,
5615,,,,,,,,
5602,,,,,,,,
5616,,,,,,,,
5596,,,,,,,,
5621,,,,,,,,
5618,,,,,,,,
5630,,,,,,,,
5619,,,,,,,,
5635,,,,,,,,
5627,,,,,,,,
5633,,,,,,,,
5637,,,,,,,,
5641,,,,,,,,
5642,,,,,,,,
5648,,,,,,,,
5625,,,,,,,,
5643,,,,,,,,
5645,,,,,,,,
5652,,,,,,,,
5651,,,,,,,,
5644,,,,,,,,
5655,,,,,,,,
5658,,,,,,,,
5654,10.5,107.9166666666665,0.0,1.27619047619048,0.0,14.0,348.0,37.0
5657,10.5,107.9166666666665,0.0,1.27619047619048,0.0,16.0,348.0,37.0
5656,,,,,,,,
5653,10.5,107.9166666666665,0.0,1.27619047619048,0.0,11.0,348.0,37.0
5659,10.5,107.9166666666665,0.0,1.27619047619048,0.0,17.0,348.0,37.0
5664,,,,,,,,
5663,,,,,,,,
5671,,,,,,,,
5661,10.5,107.9166666666665,0.0,1.27619047619048,0.0,19.0,348.0,37.0
5672,,,,,,,,
5665,,,,,,,,
5668,,,,,,,,
5676,,,,,,,,
5679,,,,,,,,
5680,,,,,,,,
5675,,,,,,,,
5677,,,,,,,,
5673,,,,,,,,
5687,,,,,,,,
5685,,,,,,,,
5688,10.5,91.5,0.0,1.27619047619048,0.0,76.5,348.0,37.0
5696,,,,,,,,
5684,,,,,,,,
5699,,,,,,,,
5704,,,,,,,,
5678,,,,,,,,
5710,,,,,,,,
5692,,,,,,,,
5705,,,,,,,,
5708,,,,,,,,
5720,,,,,,,,
5711,,,,,,,,
5714,,,,,,,,
5726,,,,,,,,
5727,,,,,,,,
5713,,,,,,,,
5730,,,,,,,,
5728,,,,,,,,
5729,,,,,,,,
5731,,,,,,,,
5738,,,,,,,,
5723,,,,,,,,
5756,,,,,,,,
5740,,,,,,,,
5739,,,,,,,,
5758,,,,,,,,
5755,,,,,,,,
5762,,,,,,,,
5742,,,,,,,,
5767,,,,,,,,
5777,,,,,,,,
5778,,,,,,,,
5776,,,,,,,,
5757,,,,,,,,
5781,,,,,,,,
5787,,,,,,,,
5780,,,,,,,,
5789,12.05,51.5,2.85447951583326,0.935483870967742,5.428571428571429,0.577864622697234,80.5,14.0
5766,,,,,,,,
5793,,,,,,,,
5759,,,,,,,,
5794,,,,,,,,
5796,,,,,,,,
5791,,,,,,,,
5782,,,,,,,,
5799,,,,,,,,
5806,,,,,,,,
5797,,,,,,,,
5808,,,,,,,,
5811,,,,,,,,
5809,,,,,,,,
5815,,,,,,,,
5804,,,,,,,,
5798,,,,,,,,
5817,,,,,,,,
5839,,,,,,,,
5820,,,,,,,,
5823,,,,,,,,
5807,,,,,,,,
5818,,,,,,,,
5833,,,,,,,,
5843,,,,,,,,
5847,,,,,,,,
5865,,,,,,,,
5848,,,,,,,,
5846,,,,,,,,
5853,,,,,,,,
5863,,,,,,,,
5828,,,,,,,,
5867,,,,,,,,
5864,,,,,,,,
5849,10.5,51.5,1.3169070409435202,1.27619047619048,0.0,0.96484375,80.5,3
5866,,,,,,,,
5870,,,,,,,,
5873,,,,,,,,
5885,,,,,,,,
5882,,,,,,,,
5884,,,,,,,,
5869,,,,,,,,
5879,,,,,,,,
5880,,,,,,,,
5890,,,,,,,,
5892,,,,,,,,
5894,,,,,,,,
5887,,,,,,,,
5891,,,,,,,,
5897,,,,,,,,
5893,,,,,,,,
5899,,,,,,,,
5895,,,,,,,,
5902,,,,,,,,
5908,,,,,,,,
5916,,,,,,,,
5903,,,,,,,,
5932,,,,,,,,
5910,,,,,,,,
5928,,,,,,,,
5923,,,,,,,,
5911,,,,,,,,
5951,,,,,,,,
5913,,,,,,,,
5954,,,,,,,,
5956,,,,,,,,
5942,,,,,,,,
5949,,,,,,,,
5968,,,,,,,,
5971,,,,,,,,
5969,,,,,,,,
5970,,,,,,,,
5938,,,,,,,,
5972,,,,,,,,
5983,,,,,,,,
5991,,,,,,,,
5993,,,,,,,,
5981,,,,,,,,
5989,,,,,,,,
5997,,,,,,,,
6005,,,,,,,,
6006,,,,,,,,
6000,,,,,,,,
5996,,,,,,,,
5988,,,,,,,,
6002,,,,,,,,
6008,,,,,,,,
6003,,,,,,,,
6011,,,,,,,,
6024,,,,,,,,
6019,,,,,,,,
6033,,,,,,,,
6028,,,,,,,,
6032,,,,,,,,
6036,,,,,,,,
6042,,,,,,,,
6043,,,,,,,,
6026,,,,,,,,
6029,,,,,,,,
6046,,,,,,,,
6041,,,,,,,,
6047,,,,,,,,
6039,,,,,,,,
6049,,,,,,,,
6050,,,,,,,,
6056,,,,,,,,
6060,,,,,,,,
6072,,,,,,,,
6051,,,,,,,,
6057,,,,,,,,
6071,,,,,,,,
6080,,,,,,,,
6077,,,,,,,,
6076,,,,,,,,
6100,,,,,,,,
6086,,,,,,,,
6074,,,,,,,,
6091,,,,,,,,
6106,,,,,,,,
6103,29.25,107.9166666666665,2.9046030638158102,2.3421052631578902,5.428571428571429,0.179696949988177,80.5,14.0
6097,,,,,,,,
6126,,,,,,,,
6110,,,,,,,,
6090,,,,,,,,
6115,,,,,,,,
6143,,,,,,,,
6134,,,,,,,,
6141,,,,,,,,
6137,,,,,,,,
6116,,,,,,,,
6132,,,,,,,,
6149,,,,,,,,
6145,,,,,,,,
6156,,,,,,,,
6152,,,,,,,,
6144,,,,,,,,
6139,,,,,,,,
6155,,,,,,,,
6160,,,,,,,,
6159,,,,,,,,
6162,53.075,107.9166666666665,3.11279258182292,5.16666666666667,30.9090909090909,0.281255739088792,80.5,3
6174,,,,,,,,
6133,,,,,,,,
6182,,,,,,,,
6176,,,,,,,,
6179,,,,,,,,
6184,,,,,,,,
6188,10.5,107.9166666666665,0.995399162147793,1.27619047619048,3.0,76.5,348.0,513
6165,,,,,,,,
6189,,,,,,,,
6197,,,,,,,,
6195,,,,,,,,
6166,,,,,,,,
6170,,,,,,,,
6206,,,,,,,,
6209,10.5,51.5,2.88068184124699,1.27619047619048,0.0,0.0,80.5,14.0
6202,,,,,,,,
6208,,,,,,,,
6222,,,,,,,,
6212,,,,,,,,
6213,,,,,,,,
6216,,,,,,,,
6228,,,,,,,,
6207,,,,,,,,
6220,,,,,,,,
6231,,,,,,,,
6235,,,,,,,,
6232,,,,,,,,
6237,,,,,,,,
6241,,,,,,,,
6250,,,,,,,,
6239,,,,,,,,
6252,,,,,,,,
6244,,,,,,,,
6274,,,,,,,,
6273,,,,,,,,
6275,,,,,,,,
6262,,,,,,,,
6272,,,,,,,,
6278,,,,,,,,
6276,,,,,,,,
6245,,,,,,,,
6281,,,,,,,,
6290,,,,,,,,
6282,,,,,,,,
6279,,,,,,,,
6292,,,,,,,,
6296,,,,,,,,
6295,,,,,,,,
6288,,,,,,,,
6309,,,,,,,,
6294,,,,,,,,
6305,,,,,,,,
6328,,,,,,,,
6312,,,,,,,,
6329,,,,,,,,
6321,,,,,,,,
6332,,,,,,,,
6310,,,,,,,,
6336,,,,,,,,
6342,,,,,,,,
6343,,,,,,,,
6313,,,,,,,,
6337,,,,,,,,
6347,,,,,,,,
6341,,,,,,,,
6351,,,,,,,,
6345,,,,,,,,
6346,,,,,,,,
6356,,,,,,,,
6355,,,,,,,,
6349,,,,,,,,
6350,,,,,,,,
6352,,,,,,,,
6361,,,,,,,,
6353,,,,,,,,
6354,,,,,,,,
6362,,,,,,,,
6358,,,,,,,,
6360,,,,,,,,
6369,,,,,,,,
6378,,,,,,,,
6391,,,,,,,,
6365,,,,,,,,
6385,,,,,,,,
6357,,,,,,,,
6376,,,,,,,,
6392,,,,,,,,
6403,,,,,,,,
6383,,,,,,,,
6402,,,,,,,,
6407,,,,,,,,
6422,,,,,,,,
6409,,,,,,,,
6425,,,,,,,,
6431,,,,,,,,
6446,,,,,,,,
6427,,,,,,,,
6421,,,,,,,,
6437,,,,,,,,
6448,,,,,,,,
6449,,,,,,,,
6467,,,,,,,,
6470,,,,,,,,
6462,,,,,,,,
6477,,,,,,,,
6479,,,,,,,,
6461,,,,,,,,
6465,,,,,,,,
6484,,,,,,,,
6509,,,,,,,,
6459,,,,,,,,
6513,,,,,,,,
6516,,,,,,,,
6526,,,,,,,,
6510,,,,,,,,
6505,,,,,,,,
6542,,,,,,,,
6538,,,,,,,,
6525,,,,,,,,
6496,,,,,,,,
6527,,,,,,,,
6554,,,,,,,,
6579,,,,,,,,
6556,,,,,,,,
6578,,,,,,,,
6545,,,,,,,,
6584,,,,,,,,
6583,,,,,,,,
6593,,,,,,,,
6580,,,,,,,,
6597,,,,,,,,
6603,,,,,,,,
6632,,,,,,,,
6560,,,,,,,,
6639,,,,,,,,
6646,,,,,,,,
6647,,,,,,,,
6642,,,,,,,,
6611,,,,,,,,
6655,,,,,,,,
6665,,,,,,,,
6625,,,,,,,,
6673,,,,,,,,
6681,,,,,,,,
6670,,,,,,,,
6679,,,,,,,,
6688,,,,,,,,
6694,,,,,,,,
6692,,,,,,,,
6718,,,,,,,,
6676,,,,,,,,
6682,,,,,,,,
6703,,,,,,,,
6730,,,,,,,,
6741,,,,,,,,
6754,,,,,,,,
6740,10.5,25.5,2.23805629971033,1.27619047619048,5.428571428571429,0.3979519562785021,348.0,520
6753,,,,,,,,
6770,,,,,,,,
