,nuc,arexp,nd,ns,age,la,ld
10626,11.266666666666698,222.5,9,3,10.16025641025645,71.0,37.0
10404,11.2,108.5,3,2,65.3968253968254,71.0,9
10213,28.92307692307689,222.5,5,2,10.16025641025645,71.0,630
10619,5.592682926829271,222.5,7,2,5.35294117647059,71.0,37.0
9710,11.2,222.5,30,3,30.3866666666667,71.0,37.0
10652,11.2,222.5,12,2,34.5714285714286,71.0,37.0
10812,5.592682926829271,493.0,6,3,53.9,71.0,37.0
9932,,,,,,,
10788,28.92307692307689,222.5,27,2,10.16025641025645,71.0,60
10669,,,,,,,
10908,5.592682926829271,222.5,5,2,1.0,71.0,9
10958,5.592682926829271,222.5,6,2,10.16025641025645,71.0,3
11134,11.2,222.5,13,2,12.166666666666698,71.0,37.0
11089,5.18181818181818,222.5,3,2,19.25,71.0,37.0
11030,5.592682926829271,222.5,3,2,54.36,71.0,3
11165,5.592682926829271,222.5,11,2,6.76923076923077,71.0,37.0
11177,13.5454545454545,7.0,3,2,20.9347826086957,71.0,37.0
11101,5.592682926829271,222.5,7,2,9.47826086956522,71.0,37.0
11209,5.592682926829271,222.5,5,2,18.8,71.0,9
11322,5.125,222.5,16,2,10.16025641025645,71.0,37.0
11187,5.24242424242424,222.5,3,2,14.6060606060606,71.0,37.0
11429,5.592682926829271,20.0,3,2,1.28571428571429,71.0,9
11882,11.2,9.0,3,2,14.0819672131148,71.0,37.0
11183,5.592682926829271,222.5,12,2,5.0,71.0,37.0
11202,11.2,222.5,19,2,377.073170731707,71.0,37.0
11473,11.2,81.0,3,2,98.3333333333333,71.0,37.0
9632,28.92307692307689,776.0833333333414,7,2,10.16025641025645,71.0,344
11898,28.92307692307689,47.5,3,2,73.0,71.0,37.0
9631,28.92307692307689,493.0,3,2,2.771867612293145,71.0,73
9644,11.2,405.5,3,2,12.904761904761951,71.0,31
9629,11.2,222.5,5,1,1.535885167464115,71.0,42.5
11396,5.592682926829271,16.0,3,2,4.62222222222222,71.0,9
11410,28.92307692307689,66.3333333333335,3,3,61.8928571428571,71.0,37.0
9659,11.2,776.0833333333414,7,2,9.2,71.0,37.0
9636,69.23076923076921,776.0833333333414,2,2,10.16025641025645,71.0,37.0
9688,11.2,1.0,3,2,111.486111111111,71.0,37.0
9680,28.92307692307689,222.5,3,1,38.5,71.0,37.0
9651,,,,,,,
9729,5.592682926829271,222.5,3,1,2.18181818181818,71.0,37.0
9691,11.2,165.0,3,2,10.16025641025645,71.0,199
9695,3.61290322580645,19.0,26,2,10.16025641025645,71.0,37.0
9787,3.61290322580645,0.0,35,2,10.16025641025645,71.0,37.0
9804,5.592682926829271,222.5,3,2,5.55,71.0,8
9788,28.92307692307689,776.0833333333414,19,2,10.16025641025645,71.0,1750
9755,28.92307692307689,776.0833333333414,6,1,10.16025641025645,71.0,2
9663,11.2,776.0833333333414,6,1,10.16025641025645,71.0,37.0
9810,28.92307692307689,493.0,3,2,22.0,71.0,265
9760,5.592682926829271,493.0,2,2,1.5,71.0,37.0
9735,5.592682926829271,493.0,2,2,0.0,71.0,37.0
9825,11.2,222.5,3,1,8.64,71.0,37.0
9836,11.2,116.5,3,2,0.032258064516129,71.0,1805
9821,28.92307692307689,116.5,3,1,10.16025641025645,71.0,192
9829,28.92307692307689,194.0,3,2,10.16025641025645,71.0,508
9839,28.92307692307689,222.5,3,1,9.176470588235288,71.0,9
9820,5.592682926829271,493.0,2,2,5.0,71.0,37.0
9803,11.2,776.0833333333414,3,1,1.535885167464115,71.0,130
9851,11.2,222.5,8,2,10.16025641025645,71.0,149
9862,28.92307692307689,776.0833333333414,5,2,10.16025641025645,71.0,792
9857,28.92307692307689,203.0,12,2,10.16025641025645,71.0,37.0
9870,28.92307692307689,222.5,6,1,10.16025641025645,71.0,9
9878,5.592682926829271,222.5,5,2,13.0909090909091,71.0,9
9872,28.92307692307689,222.5,3,1,1.535885167464115,71.0,9
9890,28.92307692307689,222.5,3,1,41.44,71.0,37.0
9894,5.592682926829271,222.5,2,1,1.0227272727272751,71.0,37.0
9886,28.92307692307689,222.5,4,2,12.904761904761951,71.0,7
9896,5.592682926829271,222.5,6,2,84.1111111111111,71.0,37.0
9887,5.592682926829271,222.5,14,2,2.63492063492063,71.0,37.0
9917,60.0,222.5,3,1,1.535885167464115,71.0,37.0
9923,28.92307692307689,16.0,3,1,10.16025641025645,71.0,9
9922,11.2,493.0,10,2,10.16025641025645,71.0,145
9906,11.2,493.0,10,2,10.16025641025645,71.0,116
9904,13.5454545454545,222.5,3,1,64.04761904761911,71.0,37.0
9965,28.92307692307689,776.0833333333414,13,2,10.16025641025645,71.0,179
9924,28.92307692307689,442.5,3,2,13.2222222222222,71.0,37.0
9926,5.592682926829271,222.5,3,1,1.90909090909091,71.0,9
9966,,,,,,,
9977,5.592682926829271,493.0,4,2,0.0,71.0,37.0
10080,28.92307692307689,317.0,3,2,2.771867612293145,71.0,108
10006,28.92307692307689,116.5,10,2,10.16025641025645,71.0,266
10107,28.92307692307689,907.666666666692,2,2,13.6,71.0,9
10047,3.61290322580645,72.0,8,2,10.16025641025645,71.0,37.0
10138,11.2,493.0,10,2,16.071428571428598,71.0,37.0
10120,28.92307692307689,55.0,3,2,12.0,71.0,42.5
10121,28.92307692307689,776.0833333333414,21,2,10.16025641025645,71.0,258
10137,11.2,222.5,2,2,1.4,71.0,3
10063,28.92307692307689,354.5,1,2,1.535885167464115,113.5,41
10232,11.2,222.5,3,2,10.16025641025645,71.0,19
10199,28.92307692307689,457.333333333333,8,2,10.16025641025645,71.0,37.0
10180,11.2,222.5,3,1,18.375,71.0,9
10238,28.92307692307689,222.5,3,2,119.636363636364,71.0,35
10202,5.66101694915254,776.0833333333414,3,1,10.16025641025645,71.0,37.0
10255,13.5454545454545,222.5,6.0,1,10.16025641025645,71.0,6
10245,5.592682926829271,7.0,3,2,10.16025641025645,71.0,80
10228,28.92307692307689,222.5,9,1,10.16025641025645,71.0,37.0
10247,59.25,776.0833333333414,7,2,1.535885167464115,71.0,37.0
10219,13.5454545454545,222.5,9,1,10.16025641025645,71.0,37.0
10257,28.92307692307689,222.5,5,2,97.09523809523807,71.0,37.0
10282,5.592682926829271,222.5,3,1,10.16025641025645,71.0,42.5
10274,5.592682926829271,222.5,3,1,15.3461538461538,71.0,37.0
10277,11.2,222.5,9,2,100.65,71.0,9
10286,28.92307692307689,25.0,6.0,2,35.6,71.0,9
10285,13.5454545454545,493.0,1,1,12.904761904761951,71.0,37.0
10283,11.2,222.5,4,2,10.16025641025645,71.0,611
10310,13.5454545454545,222.5,3,1,31.2173913043478,71.0,37.0
10297,11.2,345.0,5.0,2,54.0,71.0,9
10340,28.92307692307689,222.5,8,2,33.7,71.0,37.0
10287,28.92307692307689,222.5,9,2,49.8888888888889,71.0,37.0
10367,28.92307692307689,222.5,3,1,41.2727272727273,71.0,37.0
10359,13.5454545454545,222.5,2,1,12.904761904761951,71.0,37.0
10368,11.2,776.0833333333414,3,1,2.0416666666666696,71.0,37.0
10323,28.92307692307689,776.0833333333414,6,2,10.16025641025645,71.0,193
10320,28.92307692307689,299.0,5,2,10.16025641025645,71.0,37.0
10353,8.0,222.5,4.0,2,6.0,71.0,37.0
10380,11.2,54.0,3,2,24.607142857142897,71.0,37.0
10374,28.92307692307689,776.0833333333414,11,2,10.16025641025645,71.0,453
10377,28.92307692307689,222.5,3,1,64.4444444444444,71.0,37.0
10407,11.2,311.0,12,2,10.16025641025645,71.0,37.0
10379,13.5454545454545,302.0,1,2,28.6,71.0,37.0
10386,28.92307692307689,222.5,5,1,10.16025641025645,71.0,9
10405,11.2,222.5,3,2,35.5769230769231,71.0,37.0
10408,3.61290322580645,57.0,8,2,10.16025641025645,71.0,37.0
10415,11.2,840.25,6,2,10.16025641025645,71.0,8
10410,8.4,222.5,4,2,10.16025641025645,71.0,37.0
10381,13.5454545454545,222.5,4.0,1,0.0,71.0,37.0
10418,28.92307692307689,776.0833333333414,3,1,24.7272727272727,71.0,9
10411,28.92307692307689,356.0,9,2,10.16025641025645,71.0,37.0
10375,11.2,446.833333333333,3,2,139.727272727273,71.0,9
10392,28.92307692307689,222.5,3,1,28.548387096774203,71.0,37.0
10423,13.5454545454545,222.5,7,2,81.4666666666667,71.0,37.0
10435,5.592682926829271,37.0,5,2,12.904761904761951,71.0,37.0
10428,11.2,222.5,3,2,9.846153846153848,71.0,9
10452,,,,,,,
10419,11.2,222.5,11,2,10.16025641025645,71.0,84
10425,11.2,67.0,5,2,12.904761904761951,71.0,9
10464,28.92307692307689,222.5,3,1,13.541666666666698,71.0,37.0
10480,11.2,493.0,5,2,52.23529411764712,71.0,37.0
10438,42.5,222.5,3,1,1.535885167464115,71.0,37.0
10457,13.5454545454545,222.5,1,1,30.9166666666667,71.0,37.0
10454,11.2,362.0,3,2,9.55555555555556,71.0,9
10487,5.592682926829271,776.0833333333414,3,2,1.7142857142857095,113.5,11
10485,11.2,471.666666666666,3,1,10.16025641025645,71.0,37.0
10498,28.92307692307689,776.0833333333414,16,1,12.904761904761951,71.0,37.0
10486,13.5454545454545,222.5,3,2,45.3333333333333,71.0,37.0
10478,11.2,21.0,3,2,30.8524590163934,71.0,37.0
10482,,,,,,,
10494,11.2,469.333333333333,9,2,10.16025641025645,71.0,37.0
10506,11.2,59.0,3,2,53.5454545454545,71.0,9
10523,11.2,337.5,3,2,2.625,71.0,3
10528,28.92307692307689,222.5,11,2,156.458333333333,71.0,9
10501,11.2,16.0,3,2,251.909090909091,71.0,37.0
10526,3.61290322580645,30.0,2,2,10.16025641025645,71.0,37.0
10509,13.5454545454545,222.5,3,1,10.16025641025645,71.0,37.0
10534,11.2,461.166666666666,3,1,10.16025641025645,71.0,9
10540,9.48484848484848,840.25,3,2,19.9393939393939,71.0,37.0
10561,28.92307692307689,493.0,5.0,1,170.416666666667,71.0,37.0
10548,13.5454545454545,222.5,7,2,221.35714285714292,71.0,37.0
10564,3.61290322580645,22.0,18,2,10.16025641025645,71.0,37.0
10525,11.2,222.5,3,1,10.16025641025645,71.0,9
10556,,,,,,,
10552,11.2,222.5,7,2,24.4166666666667,71.0,37.0
10562,6.0,222.5,5,2,10.16025641025645,71.0,37.0
10570,28.92307692307689,222.5,5,2,10.16025641025645,71.0,9
10590,28.92307692307689,776.0833333333414,2,2,10.16025641025645,71.0,392
10597,28.92307692307689,222.5,14,2,92.2631578947368,71.0,37.0
10580,13.5454545454545,222.5,7,1,10.16025641025645,71.0,37.0
10606,5.592682926829271,222.5,3,2,8.54838709677419,71.0,37.0
10622,28.92307692307689,222.5,3,1,34.1176470588235,71.0,37.0
10586,28.92307692307689,222.5,10,2,52.3,71.0,37.0
10617,,,,,,,
10623,5.592682926829271,222.5,11,3,10.16025641025645,71.0,37.0
10634,28.92307692307689,222.5,5,2,38.8333333333333,71.0,9
10625,13.5454545454545,222.5,3,3,3.73684210526316,71.0,37.0
10630,11.2,108.5,3,2,55.6216216216216,71.0,37.0
10649,11.2,473.9999999999992,13,2,10.16025641025645,71.0,37.0
