,ent,aexp,ndev,ns,age,asexp,la,ld
1176,,,,,,,,
1179,,,,,,,,
1205,,,,,,,,
1221,,,,,,,,
1232,,,,,,,,
1248,,,,,,,,
1262,4.17458661777058,1,8.33333333333333,1,508.333333333333,1.0,90,24
1294,,,,,,,,
1289,,,,,,,,
1298,,,,,,,,
1305,,,,,,,,
1311,,,,,,,,
1314,,,,,,,,
1334,,,,,,,,
1335,,,,,,,,
1344,,,,,,,,
1353,,,,,,,,
1361,,,,,,,,
1369,,,,,,,,
1377,,,,,,,,
1386,,,,,,,,
1398,,,,,,,,
1405,,,,,,,,
1410,,,,,,,,
1423,,,,,,,,
1426,,,,,,,,
1431,,,,,,,,
1432,,,,,,,,
1434,,,,,,,,
1438,,,,,,,,
1447,,,,,,,,
1358,,,,,,,,
