,ent,aexp,ndev,ns,age,asexp,la,ld
1174,,,,,,,,
1225,,,,,,,,
1179,,,,,,,,
1213,,,,,,,,
1176,,,,,,,,
1248,,,,,,,,
1294,,,,,,,,
1231,,,,,,,,
1262,,,,,,,,
1184,,,,,,,,
1311,,,,,,,,
1298,,,,,,,,
1314,,,,,,,,
1317,,,,,,,,
1263,,,,,,,,
1305,,,,,,,,
1281,,,,,,,,
1358,,,,,,,,
1377,,,,,,,,
1362,1.937208433527169,5,17.4,1.0,10.8,0.28125,28,8
1354,,,,,,,,
1410,,,,,,,,
1405,,,,,,,,
1398,,,,,,,,
1353,,,,,,,,
1361,,,,,,,,
1423,,,,,,,,
1416,,,,,,,,
1425,2.09172670122358,192,9.14285714285714,2,68.6666666666667,0.499999914257387,276,288
1433,,,,,,,,
1392,,,,,,,,
1424,,,,,,,,
1447,,,,,,,,
1431,,,,,,,,
1434,,,,,,,,
