,nuc,aexp,age,asexp,la,ld
1207,,,,,,
1346,,,,,,
1303,,,,,,
1334,,,,,,
1351,,,,,,
1163,,,,,,
1165,,,,,,
1171,,,,,,
1166,,,,,,
1168,9.618589743589741,420.0,16.0,0.253001701905484,37.5,44.0
1160,,,,,,
1175,,,,,,
1172,20.2,420.0,23.91666666666665,0.984005906256675,37.5,44.0
1198,,,,,,
1201,20.2,420.0,1.2,25.0,37.5,45
1179,11.0909090909091,420.0,392.016393442623,25.0,133.0,34.0
1199,,,,,,
1193,,,,,,
1180,,,,,,
1219,9.618589743589741,420.0,23.91666666666665,50.0,133.0,34.0
1243,,,,,,
1226,4.322916666666665,420.0,32.0,0.1153603871535364,133.0,34.0
1236,,,,,,
1241,,,,,,
1247,,,,,,
1235,,,,,,
1231,,,,,,
1256,,,,,,
1310,,,,,,
1294,,,,,,
1250,5.593478260869565,420.0,23.91666666666665,25.0,133.0,47
1304,,,,,,
1317,,,,,,
1326,,,,,,
1341,,,,,,
1329,,,,,,
1356,,,,,,
1349,,,,,,
1363,,,,,,
1359,,,,,,
1368,20.2,420.0,23.91666666666665,0.0730940524954349,37.5,31
1360,,,,,,
1378,,,,,,
1369,,,,,,
1386,,,,,,
1387,,,,,,
1391,,,,,,
1384,,,,,,
1390,,,,,,
1447,,,,,,
1411,,,,,,
1450,,,,,,
