,nuc,aexp,age,asexp,la,ld
1171,,,,,,
1168,,,,,,
1163,,,,,,
1193,,,,,,
1172,,,,,,
1175,,,,,,
1199,,,,,,
1203,,,,,,
1231,10.6666666666667,19,50.22222222222221,1.0,5.0,119
1250,,,,,,
1235,10.0,204,36.4137931034483,0.1998505440830019,20.5,1874
1219,,,,,,
1303,33.0,0,49.6666666666667,0.0,3.0,90
1241,,,,,,
1294,,,,,,
1236,,,,,,
1256,,,,,,
1304,,,,,,
1326,,,,,,
1351,,,,,,
1329,,,,,,
1341,,,,,,
1391,,,,,,
1384,,,,,,
1368,,,,,,
1390,,,,,,
1447,,,,,,
1165,,,,,,
1411,12.142857142857098,386,323.714285714286,0.4814816908978301,7.0,323
1349,,,,,,
1386,9.31578947368421,368,98.6315789473684,0.0130313319598587,159,13.0
1346,,,,,,
