,nuc,aexp,nd,ns,age,asexp,la,ld
9356,1.9,136,3,2,122.8,2.50120063558115e-12,350.35400390625,281
9361,0.7111111111111109,6,5,1,1.4888888888888898,4.0,549.996907711029,130
9370,0.4102564102564099,137,11,1,15.4358974358974,1.0,342.07275390625,880
9374,1.1395348837209298,1,11,3,191.744186046512,0.333333333333333,195.831787109375,117
9376,1.10344827586207,32,8,3,0.482758620689655,0.5123625096688621,1202.253662109375,130
9378,0.8409090909090909,128,20,1,9.82954545454546,19.0,136.01106029748917,2055
9384,0.306451612903226,52,15,1,1.5645161290322598,3.0,336.322509765625,256
9393,1.18032786885246,2,7,1,3.04918032786885,2.0,191.17578125,131
9396,34.1428571428571,883,5,4,144.571428571429,9.36177583372475e-10,228.4940623641014,20
9397,0.549019607843137,2,11,1,3.5098039215686296,2.0,655.1124405264854,142
9400,1.6666666666666698,34,5,1,3.5833333333333304,4.0,336.0849609375,56
9403,0.3928571428571429,3,17,1,2.125,3.0,280.27392578125,155
9406,1.375,27,12,1,7.9375,3.0,1242.4413573741913,1513
9417,0.581395348837209,4,4.5,1,1.48837209302326,4.0,6330,7
9430,1.16666666666667,2,4,1,104.666666666667,1.0,388.8801679611206,46
9432,1.2564102564102602,1,16,1,3.97435897435897,1.0,220.462158203125,22
9438,1.22222222222222,7,6,1,1.05555555555556,5.0,443.088623046875,108
9445,1.19178082191781,6,20,1,3.24657534246575,6.0,282.5576171875,104
9450,3.375,7,6,1,6.125,7.0,223.4736328125,6
9465,1.0,8,6,1,2.54545454545455,8.0,1211.9693073630333,2
9473,1.19047619047619,7,22,1,3.89285714285714,0.0,270.900390625,218
9489,21.1904761904762,36,9,3,121.857142857143,0.340976095196137,132.984375,85
9491,1.23214285714286,6,15,1,7.196428571428571,6.0,228.4857606887817,198
9498,21.12,13,12,4,106.96,0.396139711141586,132.97021484375,908
9513,1.27906976744186,15,9,1,7.83720930232558,6.0,1445.3095703125,639
9532,27.1818181818182,14,6,3,147.272727272727,0.15371665590975,132.4801440834999,66
9533,1.57692307692308,9,11,1,3.11538461538462,9.0,362.6875,21
9536,1.46153846153846,31,5,1,23.3846153846154,6.0,288.99634635448456,321
9551,1.17073170731707,56,19,1,8.57317073170732,7.0,117.89453125,356
9552,28.35,38,10,2,83.725,0.8121487846619859,344.34912109375,1060
