,nuc,aexp,ndev,nd,age,asexp,la,ld
7121,105.333333333333,0,4.28571428571429,2,43.8571428571429,0.0,157.5,49.0
7173,105.333333333333,194,3.8214285714285694,2,21.892857142857103,0.263888473642433,157.5,49.0
7073,105.333333333333,183,3.28571428571429,2,21.4761904761905,0.416580199231674,157.5,49.0
7087,105.333333333333,55,4.16666666666667,2,11.125,0.0400153608588367,157.5,49.0
7126,105.333333333333,2,3.77777777777778,2,31.38888888888889,0.75,157.5,49.0
7116,105.333333333333,12,4.6,2,25.7,0.0833130478858948,157.5,37.0
7120,105.333333333333,187,4.85714285714286,2,1.28571428571429,0.416580199231674,157.5,49.0
7175,105.333333333333,120,5.0,2,7.0,0.1866273204235519,157.5,9
7194,30.4516129032258,10,3.54545454545455,2,49.3636363636364,0.507900218462633,157.5,49.0
7222,105.333333333333,65,4.5625,2,26.0,0.50137637661182,157.5,49.0
7202,105.333333333333,10,5.72222222222222,2,11.666666666666698,0.333333015441895,157.5,9
7240,77.6125,4218,4.0,2,11.0344827586207,0.0,157.5,49.0
7249,105.333333333333,205,3.68,2,10.2,0.416580199231674,157.5,49.0
7265,,,,,,,,
7276,105.333333333333,69,3.619047619047621,2,69.23809523809521,0.50137637661182,157.5,49.0
7313,105.333333333333,76,3.85,2,45.65,0.040015872997773,157.5,49.0
7309,105.333333333333,74,3.81818181818182,2,34.0909090909091,0.250064018438488,157.5,49.0
7325,105.333333333333,24,4.0625,2,46.8125,0.5002319804979191,157.5,2
7349,30.4516129032258,45,3.41176470588235,2,41.1764705882353,0.0625579730842958,157.5,49.0
7355,105.333333333333,4256,3.81481481481481,2,33.629629629629605,0.0,157.5,49.0
7358,105.333333333333,25,4.0,2,43.8260869565217,0.0816957954768709,157.5,49.0
7367,105.333333333333,100,4.7,2,53.75,0.281682600961301,157.5,49.0
7371,105.333333333333,48,5.44444444444444,2,18.7222222222222,0.114207058575235,157.5,49.0
7377,105.333333333333,229,4.16666666666667,2,15.541666666666698,0.152777292839559,157.5,49.0
7387,105.333333333333,230,3.95652173913043,2,9.34782608695652,0.0791666545749952,157.5,49.0
7578,105.333333333333,4339,3.17647058823529,2,18.0,0.0,157.5,49.0
7610,105.333333333333,4353,5.2,2,35.2666666666667,0.0,157.5,49.0
7678,105.333333333333,131,5.642857142857139,2,57.8571428571429,0.458851498734265,157.5,49.0
7682,105.333333333333,85,5.42105263157895,2,15.052631578947404,0.8822933320720642,157.5,49.0
7859,105.333333333333,39,4.3,2,121.75,6.113208753913349e-05,157.5,9
7783,,,,,,,,
7810,,,,,,,,
7902,,,,,,,,
7905,105.333333333333,764,3.08108108108108,2,128.108108108108,0.166666667822598,157.5,9
8016,30.4516129032258,20,3.5,2,19.875,0.0625318636493829,157.5,2
7942,,,,,,,,
8017,105.333333333333,9,5.61904761904762,2.0,90.1428571428571,0.0833168029785156,157.5,49.0
8022,105.333333333333,0,5.5,2,148.65,0.0,157.5,49.0
8086,105.333333333333,10,4.03846153846154,2,82.80769230769229,0.199975024053117,157.5,49.0
8144,105.333333333333,438,3.1836734693877595,2,121.69387755102,0.130012717255557,157.5,49.0
8184,105.333333333333,10,3.90625,2,90.21875,0.0364007949829102,157.5,2
8185,105.333333333333,3,5.17391304347826,2,51.1304347826087,0.296296296296296,157.5,9
8216,105.333333333333,35,5.0625,2,214.5,0.0625165300494537,157.5,9
8319,105.333333333333,492,4.68,2,117.64,0.278223022685863,157.5,49.0
8612,105.333333333333,139,4.30769230769231,2,21.92307692307689,0.4999829917470329,157.5,49.0
6986,30.4516129032258,28,1.1578947368421102,2,63.8571428571429,0.888830429197626,157.5,49.0
6995,105.333333333333,0,5.095833333333335,2,68.1,0.0,207.5,49.0
7009,105.333333333333,54,3.24,2,35.31666666666665,0.50137637661182,207.5,49.0
7011,,,,,,,,
