,nuc,arexp,ent,ndev,age,asexp,la,ld
5478,,,,,,,,
5498,,,,,,,,
5521,,,,,,,,
5531,,,,,,,,
5577,,,,,,,,
5583,,,,,,,,
5589,,,,,,,,
5599,,,,,,,,
5602,,,,,,,,
5627,,,,,,,,
5692,,,,,,,,
5729,,,,,,,,
5742,,,,,,,,
5787,,,,,,,,
5818,,,,,,,,
5829,,,,,,,,
5842,,,,,,,,
5866,,,,,,,,
5885,,,,,,,,
5932,,,,,,,,
6029,,,,,,,,
6043,,,,,,,,
6071,,,,,,,,
6110,,,,,,,,
6276,,,,,,,,
6434,,,,,,,,
6496,,,,,,,,
6676,,,,,,,,
5474,,,,,,,,
5475,,,,,,,,
5477,,,,,,,,
5480,,,,,,,,
5482,,,,,,,,
5484,,,,,,,,
5485,,,,,,,,
5486,,,,,,,,
5491,,,,,,,,
5494,,,,,,,,
5495,,,,,,,,
5499,,,,,,,,
5502,,,,,,,,
5505,,,,,,,,
5507,,,,,,,,
5511,,,,,,,,
5513,,,,,,,,
5514,,,,,,,,
5515,,,,,,,,
5516,,,,,,,,
5518,,,,,,,,
5519,,,,,,,,
5523,,,,,,,,
5524,,,,,,,,
5525,,,,,,,,
5527,,,,,,,,
5530,,,,,,,,
5532,,,,,,,,
5536,,,,,,,,
5537,,,,,,,,
5546,,,,,,,,
5547,,,,,,,,
5549,,,,,,,,
5551,,,,,,,,
5553,,,,,,,,
5554,,,,,,,,
5557,,,,,,,,
5558,,,,,,,,
5560,,,,,,,,
5561,,,,,,,,
5564,,,,,,,,
5568,,,,,,,,
5571,,,,,,,,
5573,,,,,,,,
5574,,,,,,,,
5575,,,,,,,,
5578,,,,,,,,
5579,,,,,,,,
5584,,,,,,,,
5585,,,,,,,,
5586,,,,,,,,
5587,,,,,,,,
5588,,,,,,,,
5593,,,,,,,,
5596,,,,,,,,
5597,,,,,,,,
5598,,,,,,,,
5600,,,,,,,,
5611,,,,,,,,
5612,,,,,,,,
5614,,,,,,,,
5615,,,,,,,,
5616,,,,,,,,
5618,,,,,,,,
5619,,,,,,,,
5620,,,,,,,,
5621,,,,,,,,
5625,,,,,,,,
5630,,,,,,,,
5632,13.0,142.166666666666,0.8113238234436866,5.16666666666667,63.84615384615379,202.0,87.5,3
5633,,,,,,,,
5635,,,,,,,,
5637,,,,,,,,
5641,,,,,,,,
5642,,,,,,,,
5643,,,,,,,,
5644,,,,,,,,
5645,,,,,,,,
5648,,,,,,,,
5651,,,,,,,,
5652,,,,,,,,
5653,,,,,,,,
5654,,,,,,,,
5655,,,,,,,,
5656,,,,,,,,
5657,,,,,,,,
5658,,,,,,,,
5659,,,,,,,,
5661,,,,,,,,
5663,,,,,,,,
5664,,,,,,,,
5665,,,,,,,,
5668,,,,,,,,
5671,,,,,,,,
5672,,,,,,,,
5673,,,,,,,,
5675,,,,,,,,
5676,,,,,,,,
5677,,,,,,,,
5678,,,,,,,,
5679,,,,,,,,
5680,,,,,,,,
5684,,,,,,,,
5685,,,,,,,,
5687,,,,,,,,
5688,,,,,,,,
5696,,,,,,,,
5699,,,,,,,,
5704,,,,,,,,
5705,,,,,,,,
5708,,,,,,,,
5710,,,,,,,,
5711,,,,,,,,
5713,,,,,,,,
5714,,,,,,,,
5720,,,,,,,,
5723,,,,,,,,
5726,,,,,,,,
5727,,,,,,,,
5728,,,,,,,,
5730,,,,,,,,
5731,,,,,,,,
5733,,,,,,,,
5738,,,,,,,,
5739,,,,,,,,
5740,,,,,,,,
5743,,,,,,,,
5744,,,,,,,,
5755,,,,,,,,
5756,,,,,,,,
5757,,,,,,,,
5758,,,,,,,,
5759,,,,,,,,
5762,,,,,,,,
5766,,,,,,,,
5776,,,,,,,,
5777,,,,,,,,
5778,,,,,,,,
5780,,,,,,,,
5781,,,,,,,,
5782,,,,,,,,
5789,,,,,,,,
5791,,,,,,,,
5793,,,,,,,,
5794,,,,,,,,
5796,,,,,,,,
5797,,,,,,,,
5798,,,,,,,,
5799,,,,,,,,
5804,,,,,,,,
5806,,,,,,,,
5807,,,,,,,,
5808,,,,,,,,
5809,,,,,,,,
5811,,,,,,,,
5815,,,,,,,,
5817,,,,,,,,
5820,,,,,,,,
5823,,,,,,,,
5828,,,,,,,,
5833,,,,,,,,
5839,,,,,,,,
5843,,,,,,,,
5846,,,,,,,,
5847,,,,,,,,
5848,,,,,,,,
5849,10.5,51.5,1.3169070409435202,1.27619047619048,0.0,0.96484375,80.5,3
5853,,,,,,,,
5858,,,,,,,,
5863,,,,,,,,
5864,,,,,,,,
5865,,,,,,,,
5867,,,,,,,,
5869,,,,,,,,
5870,,,,,,,,
5873,,,,,,,,
5879,,,,,,,,
5882,,,,,,,,
5884,,,,,,,,
5887,,,,,,,,
5889,,,,,,,,
5890,,,,,,,,
5891,,,,,,,,
5892,,,,,,,,
5893,,,,,,,,
5894,,,,,,,,
5895,,,,,,,,
5897,,,,,,,,
5899,,,,,,,,
5902,,,,,,,,
5903,,,,,,,,
5908,,,,,,,,
5910,,,,,,,,
5911,,,,,,,,
5913,,,,,,,,
5916,,,,,,,,
5923,,,,,,,,
5927,,,,,,,,
5928,,,,,,,,
5938,,,,,,,,
5942,,,,,,,,
5949,,,,,,,,
5951,,,,,,,,
5954,,,,,,,,
5956,,,,,,,,
5968,,,,,,,,
5969,,,,,,,,
5970,,,,,,,,
5971,,,,,,,,
5981,,,,,,,,
5983,,,,,,,,
5986,,,,,,,,
5988,,,,,,,,
5989,,,,,,,,
5991,,,,,,,,
5993,,,,,,,,
5996,,,,,,,,
5997,,,,,,,,
6000,,,,,,,,
6002,,,,,,,,
6003,,,,,,,,
6005,,,,,,,,
6006,,,,,,,,
6008,,,,,,,,
6011,,,,,,,,
6019,,,,,,,,
6024,,,,,,,,
6026,,,,,,,,
6028,,,,,,,,
6032,,,,,,,,
6033,,,,,,,,
6036,,,,,,,,
6039,,,,,,,,
6041,,,,,,,,
6042,,,,,,,,
6046,,,,,,,,
6047,,,,,,,,
6049,,,,,,,,
6050,,,,,,,,
6051,,,,,,,,
6057,,,,,,,,
6060,,,,,,,,
6072,,,,,,,,
6074,,,,,,,,
6076,,,,,,,,
6077,,,,,,,,
6080,,,,,,,,
6086,,,,,,,,
6090,,,,,,,,
6091,,,,,,,,
6097,,,,,,,,
6100,,,,,,,,
6103,,,,,,,,
6105,,,,,,,,
6115,,,,,,,,
6116,,,,,,,,
6126,,,,,,,,
6127,,,,,,,,
6132,,,,,,,,
6133,,,,,,,,
6134,,,,,,,,
6137,,,,,,,,
6139,,,,,,,,
6143,,,,,,,,
6144,,,,,,,,
6145,,,,,,,,
6149,,,,,,,,
6152,,,,,,,,
6155,,,,,,,,
6156,,,,,,,,
6160,,,,,,,,
6162,,,,,,,,
6165,,,,,,,,
6166,,,,,,,,
6168,,,,,,,,
6170,,,,,,,,
6174,,,,,,,,
6176,,,,,,,,
6179,,,,,,,,
6182,,,,,,,,
6184,,,,,,,,
6188,,,,,,,,
6189,,,,,,,,
6195,,,,,,,,
6197,,,,,,,,
6202,,,,,,,,
6206,,,,,,,,
