,nuc,arexp,ent,ndev,ns,age,asexp,la,ld
718,2.0,0.5,0.6813985048355866,0.4583333333333329,2,30.2916666666667,0.0,172,52
760,7.4,18.6666666666667,1.5143125785900309,2.4,2,49.8,0.0036802291870117,138,6
836,22.142857142857103,26.8333333333333,1.585896870342637,3.71428571428571,2,28.142857142857103,0.0002479567156115,206,2
755,15.555555555555598,30.0,2.6069968350918598,2.27777777777778,1.0009765625,31.4444444444444,0.0080000049232347,48,61
678,1.0,2.0,2.004691190115248,0.153846153846154,1,30.1538461538462,2.0,3.0,157
675,12.0588235294118,1.0,0.2610655211404985,1.88235294117647,3,7.17647058823529,0.333333333333333,3.0,519
700,2.28571428571429,1.0,1.3944014511621552,0.6428571428571429,2,13.0714285714286,0.5,3.0,5
749,4.142857142857141,20.3333333333333,1.8562371260605024,0.5714285714285711,1.0,24.71428571428569,2.27157071538321e-07,129,7
681,1.65,4.0,2.08311897651614,0.25,1,14.2,4.0,3.0,106
797,4.6153846153846105,26.3333333333333,1.4700132041851282,0.8461538461538459,2,21.6538461538462,0.0002479553222656,3.0,88
827,5.4,3.1666666666666696,0.7928693635711159,1.1,3,94.5333333333333,0.0018289894833104,3.0,29
682,1.69565217391304,13.0,2.2675898975344597,0.565217391304348,1.0,13.9565217391304,0.0019874722711392,3.0,21
