,AUC-ROC,F1-score,Precision,Recall,TP,# of TP
apache_zeppelin,0.6392857142857143,0.4835164835164835,0.4835164835164835,0.4835164835164835,0.4835164835164835,44.0
apache_spark,0.8293527416619559,0.5680473372781065,0.4444444444444444,0.7868852459016393,0.7868852459016393,48.0
apache_activemq,0.7085770528683915,0.25362318840579706,0.5303030303030303,0.16666666666666666,0.16666666666666666,35.0
apache_kafka,0.7660065111231686,0.50814332247557,0.37142857142857144,0.8041237113402062,0.8041237113402062,78.0
apache_hbase,0.7372264733753848,0.5015105740181268,0.4527272727272727,0.5620767494356659,0.5620767494356659,249.0
apache_zookeeper,0.7128942486085343,0.27499999999999997,0.16666666666666666,0.7857142857142857,0.7857142857142857,11.0
apache_ignite,0.7404295154185022,0.503030303030303,0.8058252427184466,0.3656387665198238,0.3656387665198238,332.0
apache_hive,0.7511240466587117,0.5725714285714286,0.40665584415584416,0.9671814671814671,0.9671814671814671,501.0
apache_cassandra,0.7880854197349043,0.6123222748815166,0.6828752642706131,0.5549828178694158,0.5549828178694158,323.0
apache_hadoop-hdfs,0.6548346529216926,0.8827037773359842,0.8117001828153565,0.9673202614379085,0.9673202614379085,444.0
apache_hadoop-mapreduce,0.7107948000658219,0.7486033519553074,0.881578947368421,0.6504854368932039,0.6504854368932039,134.0
apache_camel,0.6310375420447645,0.06481481481481481,0.12280701754385964,0.0440251572327044,0.0440251572327044,7.0
apache_flink,0.7259496693458959,0.43790849673202614,0.5726495726495726,0.3544973544973545,0.3544973544973545,134.0
apache_groovy,0.6707922949533687,0.056818181818181816,0.18518518518518517,0.03355704697986577,0.03355704697986577,5.0
