,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,25.67,579.0,3.0,2.0,1.67,0.52,6.0,19.0,True
1,2.33,624.0,2.0,2.0,17.33,0.52,4.0,67.0,True
2,8.75,661.0,2.0,2.0,32.0,0.5,78.0,16.0,True
3,5.5,243.0,2.0,2.0,94.75,0.94,13.0,13.0,True
4,5.8,245.0,2.0,2.0,0.0,0.94,14.0,14.0,True
5,5.67,162.0,2.0,2.0,10.0,0.64,76.0,2.0,True
6,12.5,274.0,2.0,2.0,111.5,0.94,2.0,0.0,True
7,9.0,199.0,3.0,2.0,1.5,0.07,41.0,15.0,True
8,9.0,292.0,2.0,2.0,87.0,0.94,3.0,5.0,True
9,13.33,222.0,3.0,2.0,22.67,0.07,88.0,60.0,True
10,5.0,321.0,2.0,2.0,37.0,0.07,2.0,2.0,True
11,10.0,347.0,2.0,2.0,145.38,0.14,239.0,9.0,True
12,17.0,348.0,1.0,2.0,0.0,0.14,14.0,7.0,True
13,2.5,445.0,3.0,2.0,1.25,0.94,375.0,0.0,True
14,27.67,464.0,2.0,2.0,15.0,0.94,13.0,9.0,True
15,1.0,435.0,2.0,2.0,88.0,0.07,48.0,6.0,True
16,9.5,537.0,2.0,2.0,0.0,0.64,3.0,3.0,True
17,1.5,539.0,3.0,2.0,0.0,0.21,76.0,4.0,True
18,24.0,540.0,2.0,2.0,42.25,0.14,97.0,10.0,True
19,2.25,542.0,3.0,2.0,0.75,0.21,50.0,16.0,True
20,4.33,546.0,2.0,2.0,140.33,0.18,23.0,0.0,True
21,7.5,547.0,3.0,2.0,81.75,0.18,75.0,20.0,True
22,2.2,553.0,3.0,2.0,11.4,0.21,95.0,13.0,True
23,1.0,722.0,2.0,2.0,8.0,1.19,33.0,0.0,True
24,9.4,170.0,2.0,2.0,38.6,0.75,78.0,9.0,True
25,17.0,338.0,1.0,2.0,2.0,0.0,33.0,2.0,True
26,0.5,492.0,2.0,2.0,3.0,0.75,14.0,6.0,True
27,12.0,494.0,3.0,2.0,96.0,0.75,153.0,13.0,True
28,0.0,515.0,2.0,2.0,0.0,0.0,128.0,47.0,True
29,0.0,523.0,2.0,2.0,0.0,0.75,102.0,2.0,True
30,0.5,527.0,2.0,2.0,0.0,0.75,122.0,3.0,True
31,4.0,561.0,1.0,2.0,57.5,0.75,37.0,27.0,True
32,0.5,608.0,2.0,2.0,27.5,0.75,123.0,2.0,True
33,1.0,631.0,2.0,2.0,22.5,0.0,150.0,0.0,True
34,4.5,632.0,2.0,2.0,0.5,0.0,212.0,0.0,True
35,0.0,654.0,1.0,2.0,0.0,0.0,252.0,1.0,True
36,3.8,661.0,3.0,2.0,36.6,0.0,94.0,3.0,True
37,0.56,663.0,2.0,2.0,2.22,0.0,179.0,79.0,True
38,0.33,699.0,2.0,2.0,16.33,0.0,195.0,20.0,True
39,2.0,721.0,2.0,2.0,2.0,0.0,236.0,66.0,True
40,3.46,548.85,2.41,2.0,87.8,0.19,52.33,5.3,True
41,4.24,546.3,2.04,2.0,134.73,0.18,26.13,0.57,True
42,2.78,551.11,2.73,2.0,46.17,0.2,75.58,9.49,True
43,2.72,551.28,2.75,2.0,43.12,0.2,77.29,9.8,True
44,2.75,551.2,2.74,2.0,44.51,0.2,76.51,9.66,True
45,3.14,549.91,2.56,2.0,68.26,0.2,63.25,7.27,True
46,2.51,551.98,2.85,2.0,30.11,0.21,84.55,11.11,True
47,3.63,548.31,2.33,2.0,97.81,0.19,46.75,4.29,True
48,3.41,549.02,2.43,2.0,84.64,0.19,54.1,5.62,True
49,2.32,552.61,2.94,2.0,18.67,0.21,90.94,12.27,True
50,4.16,546.55,2.08,2.0,130.11,0.18,28.71,1.03,True
51,4.19,546.48,2.07,2.0,131.48,0.18,27.94,0.89,True
52,3.12,549.97,2.57,2.0,67.26,0.2,63.81,7.37,True
53,2.26,552.79,2.97,2.0,15.19,0.21,92.89,12.62,True
54,4.26,546.24,2.03,2.0,135.93,0.18,25.46,0.44,True
55,4.32,546.04,2.01,2.0,139.66,0.18,23.38,0.07,True
56,3.76,547.88,2.27,2.0,105.76,0.19,42.3,3.49,True
57,3.64,548.29,2.33,2.0,98.22,0.19,46.52,4.25,True
58,3.93,547.32,2.19,2.0,115.95,0.19,36.61,2.46,True
59,3.51,548.69,2.38,2.0,90.87,0.19,50.62,4.99,True
60,2.86,550.84,2.69,2.0,51.24,0.2,72.75,8.98,True
61,2.27,552.76,2.97,2.0,15.88,0.21,92.5,12.55,True
62,2.88,550.76,2.68,2.0,52.65,0.2,71.96,8.84,True
63,2.3,552.68,2.95,2.0,17.33,0.21,91.69,12.4,True
64,2.67,551.45,2.78,2.0,39.9,0.21,79.09,10.13,True
65,4.09,546.81,2.12,2.0,125.43,0.18,31.32,1.5,True
66,3.95,547.25,2.18,2.0,117.34,0.19,35.84,2.32,True
67,3.53,548.62,2.37,2.0,92.03,0.19,49.97,4.87,True
68,2.4,552.34,2.91,2.0,23.6,0.21,88.18,11.77,True
69,3.68,548.15,2.31,2.0,100.72,0.19,45.12,3.99,True
70,3.66,548.22,2.32,2.0,99.53,0.19,45.78,4.11,True
71,3.82,547.69,2.24,2.0,109.12,0.19,40.43,3.15,True
72,3.13,549.96,2.57,2.0,67.38,0.2,63.74,7.36,True
73,4.18,546.51,2.07,2.0,131.02,0.18,28.2,0.94,True
74,3.23,549.64,2.52,2.0,73.36,0.2,60.4,6.75,True
75,2.71,551.33,2.76,2.0,42.09,0.2,77.86,9.91,True
76,3.28,549.45,2.49,2.0,76.74,0.2,58.51,6.41,True
77,2.6,551.69,2.81,2.0,35.48,0.21,81.55,10.57,True
78,3.96,547.23,2.18,2.0,117.6,0.19,35.7,2.29,True
79,3.99,547.13,2.16,2.0,119.61,0.18,34.57,2.09,True
80,3.18,549.79,2.54,2.0,70.56,0.2,61.96,7.03,True
81,4.29,546.13,2.02,2.0,138.01,0.18,24.3,0.23,True
82,4.08,546.84,2.12,2.0,124.86,0.18,31.64,1.56,True
83,2.72,551.3,2.76,2.0,42.71,0.2,77.52,9.84,True
84,2.3,552.68,2.95,2.0,17.25,0.21,91.73,12.41,True
85,3.16,549.86,2.55,2.0,69.29,0.2,62.67,7.16,True
86,4.07,546.86,2.12,2.0,124.45,0.18,31.87,1.6,True
87,3.67,548.16,2.31,2.0,100.53,0.19,45.23,4.01,True
88,2.62,551.63,2.8,2.0,36.57,0.21,80.94,10.46,True
89,3.44,548.92,2.42,2.0,86.48,0.19,53.08,5.43,True
90,4.33,546.01,2.0,2.0,140.09,0.18,23.14,0.02,True
91,4.05,546.92,2.13,2.0,123.35,0.18,32.49,1.71,True
92,2.56,551.81,2.83,2.0,33.36,0.21,82.74,10.79,True
93,3.93,547.32,2.19,2.0,116.02,0.19,36.58,2.45,True
94,4.27,546.2,2.03,2.0,136.59,0.18,25.09,0.38,True
95,3.47,548.82,2.4,2.0,88.37,0.19,52.02,5.24,True
96,2.36,552.46,2.92,2.0,21.32,0.21,89.46,12.0,True
97,2.34,552.54,2.93,2.0,19.86,0.21,90.28,12.15,True
98,3.05,550.2,2.6,2.0,63.0,0.2,66.18,7.8,True
99,2.73,551.27,2.75,2.0,43.33,0.2,77.17,9.78,True
100,2.26,552.8,2.97,2.0,15.0,0.21,92.99,12.64,True
101,3.92,547.37,2.2,2.0,115.16,0.19,37.05,2.54,True
102,2.26,552.81,2.97,2.0,14.82,0.21,93.09,12.66,True
103,3.42,548.99,2.43,2.0,85.27,0.19,53.75,5.55,True
104,3.15,549.89,2.56,2.0,68.63,0.2,63.04,7.23,True
105,2.52,551.95,2.85,2.0,30.66,0.21,84.25,11.06,True
106,3.45,548.91,2.42,2.0,86.71,0.19,52.95,5.41,True
107,3.13,549.95,2.56,2.0,67.59,0.2,63.62,7.33,True
108,2.82,550.96,2.71,2.0,49.0,0.2,74.01,9.21,True
109,4.22,546.37,2.05,2.0,133.57,0.18,26.78,0.68,True
110,3.54,548.59,2.37,2.0,92.57,0.19,49.67,4.82,True
