,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,0.0,17.0,1.0,1.0,0.0,11.0,88.0,0.0,True
1,0.0,20.0,1.0,1.0,0.0,2.0,0.0,5.0,False
2,2.67,38.0,2.0,1.0,6.0,15.0,194.0,311.0,True
3,1.0,58.0,1.0,1.0,0.0,42.0,2.0,1.0,True
4,1.08,105.0,5.0,2.0,1.27,0.52,2338.0,2262.0,True
5,0.0,117.0,1.0,1.0,0.0,35.0,2.0,2.0,True
6,1.0,124.0,1.0,1.0,5.0,42.0,8.0,0.0,True
7,5.0,82.0,2.0,1.0,0.5,55.0,32.0,4.0,True
8,2.0,15.0,3.0,1.0,11.0,12.0,53.0,3.0,True
9,1.88,5.0,5.0,1.0,0.38,4.0,91.0,75.0,True
10,2.0,22.0,1.0,1.0,21.0,17.0,8.0,0.0,True
11,6.0,36.0,1.0,1.0,8.0,29.0,4.0,0.0,True
12,5.0,185.0,1.0,1.0,4.0,86.0,1.0,2.0,True
13,2.5,48.0,1.0,1.0,1.0,40.0,69.0,33.0,True
14,7.0,228.0,1.0,1.0,2.0,9.0,1.0,1.0,True
15,4.0,232.0,1.0,1.0,0.0,148.0,2.0,2.0,True
16,5.55,282.0,5.0,1.0,8.86,128.0,529.0,186.0,True
17,8.67,235.0,3.0,1.0,0.33,149.0,157.0,41.0,True
18,3.0,259.0,2.0,1.0,9.42,168.0,320.0,242.0,True
19,0.0,47.0,1.0,1.0,0.0,1.0,142.0,141.0,True
20,7.5,286.0,2.0,1.0,0.0,185.0,3.0,3.0,True
21,7.5,303.0,1.0,1.0,3.5,197.0,754.0,696.0,True
22,5.67,51.0,3.0,2.0,1.67,0.06,2.0,9.0,True
23,3.0,308.0,1.0,1.0,2.0,147.0,21.0,12.0,True
24,5.72,306.0,5.0,1.0,5.06,200.0,809.0,314.0,True
25,7.38,324.0,7.0,1.0,4.74,214.0,403.0,340.0,True
26,11.5,326.0,1.0,1.0,0.0,216.0,0.0,22.0,True
27,1.0,338.0,1.0,1.0,0.0,168.0,14.0,6.0,True
28,3.0,373.0,1.0,1.0,13.0,183.0,2.0,1.0,True
29,7.0,85.0,1.0,1.0,20.0,74.0,34.0,0.0,True
30,1.0,347.0,1.0,1.0,95.0,235.0,10.0,4.0,True
31,3.0,385.0,1.0,1.0,63.0,23.0,16.0,9.0,True
32,2.0,386.0,1.0,1.0,8.0,4.0,1.0,1.0,True
33,6.5,391.0,2.0,1.0,3.5,194.0,11.0,14.0,True
34,2.0,101.0,1.0,1.0,16.0,90.0,5.0,1.0,True
35,13.0,113.0,1.0,1.0,0.0,102.0,1.0,3.0,True
36,23.0,413.0,1.0,1.0,0.0,209.0,3.0,4.0,True
37,9.85,371.0,3.0,1.0,23.46,246.0,153.0,7.0,True
38,1.5,376.0,2.0,1.0,0.0,4.0,22.0,2.0,True
39,7.0,65.0,1.0,1.0,13.0,1.0,16.0,0.0,True
40,1.0,406.0,1.0,1.0,144.0,12.0,3.0,1.0,True
41,1.0,73.0,1.0,1.0,0.0,1.0,0.0,4.0,True
42,4.0,76.0,1.0,1.0,0.0,4.0,18.0,0.0,True
43,5.33,429.0,2.0,1.0,22.67,277.0,121.0,78.0,True
44,4.25,88.0,1.0,1.0,1.25,16.0,20.0,11.0,True
45,3.0,500.0,1.0,1.0,11.0,264.0,15.0,18.0,True
46,35.0,503.0,1.0,1.0,15.0,325.0,43.0,39.0,True
47,9.25,571.0,5.0,1.0,45.62,309.0,64.0,5.0,True
48,8.0,531.0,1.0,1.0,0.0,349.0,11.0,0.0,True
49,7.2,559.0,3.0,1.0,4.8,363.0,151.0,33.0,True
50,0.0,591.0,4.0,1.0,0.0,0.0,0.0,263.0,False
51,20.0,587.0,1.0,1.0,13.0,379.0,25.0,17.0,True
52,11.11,621.0,4.0,1.0,0.0,344.0,360.0,52.0,True
53,3.44,165.0,2.0,1.0,31.11,147.0,166.0,0.0,True
54,0.0,170.0,1.0,1.0,0.0,152.0,242.0,0.0,True
55,3.62,173.0,5.0,1.0,12.5,154.0,124.0,43.0,True
56,8.75,661.0,2.0,2.0,32.0,0.5,78.0,16.0,True
57,3.5,196.0,3.0,1.0,64.25,173.0,152.0,70.0,True
58,7.71,733.0,8.0,2.0,8.18,0.52,2907.0,584.0,True
59,18.25,211.0,2.0,1.0,2.0,188.0,228.0,200.0,True
60,4.0,240.0,1.0,1.0,132.0,217.0,5.0,0.0,True
61,8.74,743.0,12.0,1.0,43.71,427.0,226.0,1982.0,True
62,11.0,265.0,1.0,1.0,54.0,242.0,28.0,24.0,True
63,5.0,267.0,1.0,1.0,67.0,244.0,2.0,1.0,True
64,15.0,273.0,1.0,1.0,63.0,250.0,2.0,2.0,True
65,5.0,276.0,1.0,1.0,0.0,253.0,39.0,51.0,True
66,12.0,755.0,2.0,1.0,23.5,439.0,124.0,0.0,True
67,2.0,664.0,2.0,1.0,22.0,28.0,140.0,70.0,True
68,27.0,666.0,2.0,1.0,54.33,428.0,31.0,12.0,True
69,17.67,42.0,4.0,1.0,78.5,23.0,152.0,30.0,True
70,12.0,310.0,1.0,1.0,95.0,285.0,2.0,2.0,True
71,4.0,326.0,1.0,1.0,1.0,301.0,17.0,13.0,True
72,37.0,331.0,1.0,1.0,3.0,306.0,40.0,9.0,True
73,27.89,50.0,4.0,1.0,48.56,31.0,243.0,109.0,True
74,5.0,393.0,1.0,1.0,33.0,365.0,5.0,0.0,True
75,19.0,772.0,2.0,1.0,109.25,488.0,101.0,3.0,True
76,5.5,407.0,1.0,1.0,167.0,1.0,3.0,3.0,True
77,21.67,495.0,4.0,1.0,38.83,453.0,66.0,0.0,True
78,0.0,503.0,1.0,1.0,0.0,461.0,223.0,0.0,True
79,58.5,513.0,2.0,1.0,4.0,468.0,92.0,2.0,True
80,22.25,839.0,3.0,1.0,24.5,530.0,237.0,12.0,True
81,27.29,658.0,8.0,1.0,51.93,609.0,85.0,27.0,True
82,28.71,661.0,1.0,1.0,3.43,612.0,266.0,194.0,True
83,54.0,790.0,1.0,1.0,9.0,736.0,351.0,36.0,True
84,24.5,793.0,6.0,1.0,0.0,739.0,74.0,31.0,True
85,19.5,806.0,2.0,1.0,62.5,752.0,141.0,14.0,True
86,13.62,817.0,2.0,1.0,215.0,763.0,220.0,11.0,True
87,20.6,9.0,3.0,2.0,210.8,0.14,124.0,11.0,True
88,32.5,5.0,1.0,1.0,228.5,2.0,32.0,14.0,True
89,11.0,78.0,1.0,1.0,373.0,69.0,290.0,238.0,True
90,32.75,19.0,9.0,2.0,165.42,0.22,159.0,5.0,True
91,5.5,84.0,4.0,1.0,280.75,74.0,22.0,1.0,True
92,6.0,85.0,1.0,1.0,270.0,75.0,18.0,15.0,True
93,17.0,131.0,2.0,1.0,163.0,115.0,115.0,4.0,True
94,34.67,133.0,5.0,1.0,132.0,117.0,256.0,34.0,True
95,3.0,76.0,1.0,1.0,0.0,1.0,1.0,2.0,True
96,64.25,148.0,2.0,1.0,3.0,132.0,25.0,34.0,True
97,48.71,98.0,6.0,1.0,227.86,61.0,98.0,24.0,True
98,50.33,165.0,2.0,1.0,46.67,147.0,52.0,1.0,True
99,29.0,110.0,4.0,2.0,201.75,0.18,25.0,12.0,True
100,0.0,201.0,1.0,1.0,0.0,178.0,146.0,0.0,True
101,0.0,219.0,1.0,1.0,0.0,196.0,146.0,0.0,True
102,19.0,240.0,1.0,1.0,116.0,215.0,12.0,10.0,True
103,8.0,247.0,2.0,1.0,3.0,221.0,7.0,7.0,True
104,39.2,148.0,2.0,1.0,47.8,95.0,25.0,64.0,True
105,4.83,150.0,2.0,2.0,305.5,0.11,0.0,101.0,True
106,3.17,1135.0,3.0,1.0,85.33,21.0,328.0,117.0,True
107,18.13,1155.0,8.0,3.0,489.61,0.0,0.0,2558.0,False
108,4.0,201.0,1.0,1.0,82.5,121.0,19.0,6.0,True
109,13.33,299.0,3.0,1.0,79.67,261.0,19.0,4.0,True
110,26.0,214.0,1.0,1.0,0.0,129.0,1.0,1.0,True
111,64.0,337.0,3.0,1.0,11.67,295.0,208.0,1.0,True
112,24.0,7.0,1.0,1.0,112.0,6.0,55.0,50.0,True
113,10.0,361.0,1.0,1.0,104.0,317.0,7.0,1.0,True
114,5.0,321.0,2.0,2.0,37.0,0.07,2.0,2.0,True
115,8.0,406.0,1.0,1.0,1.0,353.0,3.0,3.0,True
116,10.07,433.0,9.0,2.0,286.86,0.94,101.0,57.0,True
117,22.0,387.0,1.0,1.0,0.0,241.0,1.0,1.0,True
118,4.25,388.0,1.0,1.0,524.0,242.0,265.0,13.0,True
119,17.4,460.0,4.0,2.0,67.6,0.94,106.0,45.0,True
120,17.0,7.0,2.0,1.0,214.0,4.0,27.0,42.0,True
121,14.5,516.0,2.0,1.0,16.0,439.0,5.0,2.0,True
122,44.0,17.0,2.0,1.0,32.0,14.0,146.0,0.0,True
123,3.0,553.0,2.0,1.0,91.0,466.0,222.0,70.0,True
124,48.12,564.0,4.0,1.0,184.0,476.0,171.0,8.0,True
125,5.17,483.0,4.0,2.0,55.67,0.14,292.0,100.0,True
126,16.0,592.0,1.0,1.0,2.0,20.0,0.0,2.0,True
127,1.5,539.0,3.0,2.0,0.0,0.21,76.0,4.0,True
128,24.0,540.0,2.0,2.0,42.25,0.14,97.0,10.0,True
129,1.0,639.0,1.0,1.0,2.0,543.0,44.0,16.0,True
130,35.0,30.0,1.0,1.0,17.0,25.0,27.0,1.0,True
131,20.29,690.0,4.0,1.0,12.0,592.0,66.0,21.0,True
132,4.0,691.0,1.0,1.0,20.0,6.0,6.0,1.0,True
133,20.33,580.0,5.0,1.0,14.58,350.0,59.0,11.0,True
134,46.05,708.0,8.0,1.0,29.14,607.0,179.0,57.0,True
135,31.8,600.0,5.0,2.0,56.2,0.07,5.0,5.0,True
136,56.47,727.0,7.0,2.0,28.6,0.94,310.0,17.0,True
137,16.33,747.0,3.0,1.0,14.17,637.0,247.0,9.0,True
138,1.0,762.0,1.0,1.0,0.0,29.0,3.0,14.0,True
139,14.67,633.0,2.0,1.0,89.33,114.0,13.0,4.0,True
140,20.0,104.0,1.0,1.0,4.0,82.0,10.0,3.0,True
141,36.0,111.0,2.0,1.0,89.5,88.0,195.0,69.0,True
142,62.0,809.0,4.0,2.0,45.67,0.94,131.0,42.0,True
143,4.0,211.0,1.0,1.0,17.0,8.0,104.0,5.0,True
144,4.0,213.0,1.0,1.0,107.0,4.0,0.0,3.0,True
145,0.0,242.0,1.0,1.0,0.0,181.0,247.0,0.0,True
146,0.0,248.0,1.0,1.0,0.0,186.0,149.0,0.0,True
147,11.0,259.0,1.0,1.0,187.0,193.0,5.0,4.0,True
148,6.0,281.0,1.0,1.0,0.0,8.0,7.0,0.0,True
149,2.5,330.0,2.0,1.0,66.0,235.0,49.0,3.0,True
150,1.0,342.0,1.0,1.0,0.0,242.0,16.0,0.0,True
151,1.29,762.0,4.0,1.0,152.57,45.0,160.0,8.0,True
152,0.0,374.0,1.0,1.0,0.0,5.0,180.0,0.0,True
153,3.0,405.0,1.0,1.0,181.0,296.0,36.0,33.0,True
154,7.0,415.0,1.0,1.0,0.0,306.0,8.0,7.0,True
155,11.0,795.0,3.0,1.0,0.0,483.0,6.0,3.0,True
156,26.0,79.0,1.0,1.0,57.0,0.0,33.0,4.0,True
157,31.0,456.0,1.0,1.0,38.0,336.0,22.0,28.0,True
158,3.0,2.0,2.0,1.0,14.33,2.0,144.0,0.0,True
159,1.0,1231.0,1.0,1.0,7.0,60.0,46.0,55.0,True
160,5.33,479.0,1.0,1.0,233.67,12.0,20.0,1.0,True
161,1.88,6.0,1.0,2.0,359.75,0.91,252.0,86.0,True
162,0.0,523.0,2.0,2.0,0.0,0.75,102.0,2.0,True
163,84.5,1058.0,3.0,2.0,6.0,0.94,299.0,0.0,True
164,7.0,536.0,1.0,1.0,2.0,7.0,1.0,0.0,True
165,19.0,565.0,1.0,1.0,15.0,385.0,72.0,60.0,True
166,0.0,636.0,2.0,1.0,0.0,9.0,10.0,2.0,True
167,0.0,640.0,1.0,1.0,0.0,11.0,4.0,3.0,True
168,0.0,643.0,1.0,1.0,0.0,13.0,358.0,384.0,True
169,2.0,644.0,1.0,1.0,208.0,10.0,12.0,8.0,True
170,0.0,647.0,3.0,1.0,0.0,3.0,114.0,57.0,True
171,2.0,655.0,3.0,1.0,6.67,18.0,5.0,10.0,True
172,4.5,23.0,1.0,1.0,16.0,0.0,227.0,1.0,True
173,2.5,691.0,2.0,1.0,73.5,5.0,45.0,10.0,True
174,18.0,723.0,1.0,1.0,4.0,36.0,14.0,0.0,True
175,9.0,732.0,1.0,1.0,26.0,13.0,10.0,1.0,True
176,1.0,735.0,1.0,2.0,83.5,0.0,416.0,361.0,True
177,3.5,752.0,2.0,1.0,98.5,43.0,38.0,30.0,True
178,6.2,937.0,5.0,2.0,314.2,0.57,116.0,16.0,True
179,0.8,1187.0,6.0,2.0,2.27,0.0,580.0,50.0,True
180,12.0,38.0,1.0,1.0,31.5,1.0,59.0,3.0,True
181,1.0,1.0,1.0,1.0,9.0,0.0,114.0,41.0,True
182,5.44,8.0,4.0,2.0,44.67,1.07,550.0,65.0,True
183,2.33,1.0,2.0,2.0,63.67,0.0,35.0,0.0,True
184,1.33,12.0,2.0,1.0,37.0,2.0,60.0,1.0,True
185,9.57,6.0,1.0,1.0,131.86,0.0,200.0,29.0,True
186,1.75,8.0,3.0,3.0,98.38,0.11,130.0,114.0,True
187,0.0,21.0,1.0,1.0,0.0,9.0,8.0,1.0,True
188,4.0,152.0,2.0,2.0,137.0,0.0,165.0,139.0,True
189,3.0,29.0,1.0,1.0,19.0,5.0,24.0,2.0,True
190,14.0,16.0,1.0,1.0,6.0,0.0,8.0,2.0,True
191,6.0,185.0,1.0,1.0,116.0,6.0,9.0,9.0,True
192,0.0,202.0,1.0,1.0,0.0,4.0,3.0,0.0,True
193,10.0,41.0,1.0,1.0,10.0,3.0,38.0,2.0,True
194,0.0,9.0,1.0,1.0,0.0,1.0,119.0,0.0,True
195,9.33,26.0,3.0,2.0,13.0,0.9,342.0,8.0,True
196,0.5,17.0,2.0,1.0,171.0,12.0,18.0,0.0,True
197,2.8,81.0,4.0,2.0,14.0,0.35,114.0,0.0,True
198,11.5,34.0,1.0,1.0,30.0,11.0,43.0,30.0,True
199,6.33,7.0,3.0,2.0,292.56,0.37,282.0,1.0,True
200,12.75,104.0,1.0,1.0,31.0,5.0,143.0,57.0,True
201,13.0,119.0,1.0,1.0,2.5,5.0,194.0,44.0,True
202,5.0,125.0,1.0,1.0,116.0,15.0,1.0,1.0,True
203,3.0,431.95,1.28,1.0,10.55,236.89,101.13,81.25,True
204,3.0,418.21,1.34,1.0,10.47,231.42,118.51,94.02,True
205,3.0,461.24,1.16,1.0,10.75,248.56,64.05,54.03,True
206,3.0,379.08,1.5,1.0,10.21,215.83,168.03,130.39,True
207,3.0,490.55,1.04,1.0,10.94,260.23,26.97,26.79,True
208,3.0,449.53,1.21,1.0,10.67,243.89,78.88,64.91,True
209,3.0,389.48,1.46,1.0,10.28,219.97,154.87,120.73,True
210,3.0,328.68,1.71,1.0,9.88,195.76,231.81,177.23,True
211,3.0,425.22,1.31,1.0,10.51,234.21,109.64,87.5,True
212,3.0,273.02,1.94,1.0,9.52,173.58,302.26,228.97,True
213,3.0,293.52,1.86,1.0,9.65,181.75,276.32,209.92,True
214,3.0,330.12,1.7,1.0,9.89,196.33,229.99,175.89,True
215,3.0,309.94,1.79,1.0,9.76,188.29,255.54,194.66,True
216,3.0,417.32,1.34,1.0,10.46,231.06,119.64,94.85,True
217,3.0,483.45,1.07,1.0,10.89,257.41,35.94,33.38,True
218,3.0,330.04,1.71,1.0,9.89,196.3,230.09,175.97,True
219,3.0,293.75,1.86,1.0,9.65,181.84,276.02,209.7,True
220,3.0,355.53,1.6,1.0,10.06,206.45,197.83,152.28,True
221,3.0,457.53,1.18,1.0,10.72,247.08,68.75,57.47,True
222,3.0,475.45,1.1,1.0,10.84,254.22,46.07,40.82,True
223,3.0,335.18,1.68,1.0,9.92,198.35,223.59,171.19,True
224,3.0,496.98,1.01,1.0,10.98,262.8,18.83,20.81,True
225,3.0,328.9,1.71,1.0,9.88,195.84,231.53,177.03,True
226,3.0,412.95,1.36,1.0,10.43,229.32,125.17,98.91,True
227,3.0,313.8,1.77,1.0,9.78,189.83,250.65,191.07,True
228,3.0,450.71,1.2,1.0,10.68,244.36,77.39,63.82,True
229,3.0,489.53,1.04,1.0,10.93,259.83,28.26,27.73,True
230,3.0,381.76,1.49,1.0,10.23,216.9,164.64,127.9,True
231,3.0,435.98,1.27,1.0,10.58,238.5,96.02,77.5,True
232,3.0,318.71,1.75,1.0,9.81,191.79,244.43,186.5,True
233,3.0,289.19,1.87,1.0,9.62,180.03,281.79,213.94,True
234,3.0,322.82,1.74,1.0,9.84,193.42,239.23,182.68,True
235,3.0,311.33,1.78,1.0,9.77,188.84,253.78,193.36,True
236,3.0,354.58,1.6,1.0,10.05,206.07,199.04,153.17,True
237,3.0,365.86,1.56,1.0,10.12,210.56,184.77,142.68,True
238,3.0,297.87,1.84,1.0,9.68,183.49,270.8,205.87,True
239,3.0,296.77,1.84,1.0,9.67,183.05,272.2,206.89,True
240,3.0,470.02,1.12,1.0,10.8,252.06,52.94,45.86,True
241,3.0,324.68,1.73,1.0,9.85,194.16,236.88,180.95,True
242,3.0,368.48,1.55,1.0,10.14,211.61,181.44,140.24,True
243,3.0,374.41,1.52,1.0,10.18,213.97,173.94,134.73,True
244,3.0,310.92,1.78,1.0,9.76,188.68,254.29,193.74,True
245,3.0,289.48,1.87,1.0,9.62,180.14,281.43,213.67,True
246,3.0,405.56,1.39,1.0,10.38,226.38,134.52,105.78,True
247,3.0,396.75,1.43,1.0,10.32,222.87,145.67,113.97,True
248,3.0,418.76,1.34,1.0,10.47,231.64,117.81,93.5,True
249,3.0,290.05,1.87,1.0,9.63,180.37,280.7,213.14,True
250,3.0,288.56,1.88,1.0,9.62,179.77,282.59,214.53,True
251,3.0,448.1,1.22,1.0,10.66,243.33,80.68,66.24,True
252,3.0,268.32,1.96,1.0,9.48,171.71,308.21,233.34,True
253,3.0,356.7,1.59,1.0,10.06,206.92,196.35,151.19,True
254,3.0,391.63,1.45,1.0,10.29,220.83,152.14,118.72,True
255,3.0,370.57,1.54,1.0,10.15,212.44,178.8,138.3,True
256,3.0,390.41,1.45,1.0,10.28,220.35,153.69,119.86,True
257,3.0,318.6,1.75,1.0,9.81,191.74,244.57,186.6,True
258,3.0,445.26,1.23,1.0,10.64,242.19,84.28,68.88,True
259,3.0,425.6,1.31,1.0,10.51,234.36,109.16,87.15,True
260,3.0,468.12,1.13,1.0,10.79,251.3,55.34,47.63,True
261,3.0,370.02,1.54,1.0,10.15,212.22,179.5,138.82,True
262,3.0,302.11,1.82,1.0,9.71,185.17,265.44,201.93,True
263,3.0,496.85,1.01,1.0,10.98,262.74,18.99,20.93,True
264,3.0,278.88,1.92,1.0,9.55,175.92,294.84,223.52,True
265,3.0,422.74,1.32,1.0,10.49,233.22,112.78,89.81,True
266,3.0,499.81,1.0,1.0,11.0,263.93,15.24,18.17,True
267,3.0,453.56,1.19,1.0,10.7,245.5,73.78,61.17,True
268,3.0,315.22,1.77,1.0,9.79,190.4,248.85,189.74,True
269,3.0,465.38,1.14,1.0,10.77,250.21,58.81,50.18,True
270,3.0,262.76,1.98,1.0,9.45,169.5,315.24,238.5,True
