,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,1.19,27.0,6.0,1.0,4.29,20.0,452.0,110.0,True
1,0.0,6.0,5.0,1.0,0.0,2.0,69.0,146.0,True
2,1.0,4.0,2.0,2.0,3.4,0.44,985.0,175.0,True
3,1.67,8.0,5.0,1.0,0.0,3.0,149.0,8.0,True
4,0.06,62.0,7.0,1.0,0.0,24.0,35.0,4.0,True
5,0.24,67.0,8.0,1.0,3.91,1.0,130.0,130.0,True
6,0.09,81.0,4.0,1.0,0.34,2.0,162.0,121.0,True
7,1.5,113.0,6.0,1.0,0.75,31.0,77.0,86.0,True
8,1.36,136.0,5.0,1.0,3.82,49.0,80.0,0.0,True
9,2.0,67.0,5.0,1.0,5.1,49.0,6.0,117.0,True
10,2.0,288.0,4.0,1.0,0.8,187.0,85.0,37.0,True
11,5.67,51.0,3.0,2.0,1.67,0.06,2.0,9.0,True
12,9.0,311.0,4.0,1.0,9.83,150.0,36.0,3.0,True
13,1.33,61.0,2.0,2.0,4.67,0.06,109.0,12.0,True
14,7.64,332.0,6.0,1.0,8.45,164.0,199.0,101.0,True
15,9.11,380.0,6.0,4.0,12.56,0.25,13.0,24.0,True
16,8.75,384.0,4.0,1.0,2.75,189.0,191.0,1.0,True
17,0.8,375.0,6.0,1.0,0.0,3.0,261.0,116.0,True
18,8.33,432.0,5.0,3.0,31.67,0.33,106.0,0.0,True
19,15.33,67.0,3.0,1.0,44.67,37.0,14.0,7.0,True
20,5.3,54.0,3.0,2.0,0.3,0.01,461.0,56.0,True
21,2.8,56.0,2.0,2.0,0.0,0.0,66.0,13.0,True
22,4.38,59.0,4.0,2.0,0.25,0.0,138.0,273.0,True
23,3.0,71.0,4.0,3.0,10.0,0.0,41.0,451.0,True
24,0.0,591.0,4.0,1.0,0.0,0.0,0.0,263.0,False
25,0.26,600.0,5.0,3.0,1.84,0.33,303.0,44.0,True
26,2.33,624.0,2.0,2.0,17.33,0.52,4.0,67.0,True
27,1.36,636.0,6.0,3.0,68.55,0.67,195.0,2.0,True
28,8.75,661.0,2.0,2.0,32.0,0.5,78.0,16.0,True
29,1.83,643.0,5.0,1.0,75.83,3.0,96.0,15.0,True
30,17.08,215.0,8.0,1.0,4.08,192.0,182.0,70.0,True
31,16.5,216.0,6.0,1.0,21.62,193.0,67.0,14.0,True
32,5.86,277.0,5.0,1.0,47.43,254.0,62.0,454.0,True
33,7.42,282.0,6.0,1.0,26.42,258.0,63.0,99.0,True
34,15.85,689.0,9.0,3.0,111.31,0.69,26.0,26.0,True
