,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,0.0,1.0,6.0,1.0,0.0,0.0,899.0,0.0,False
1,0.0,17.0,1.0,1.0,0.0,11.0,88.0,0.0,False
2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,True
3,1.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,True
4,2.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,True
5,1.0,25.0,2.0,1.0,3.0,19.0,119.0,34.0,False
6,0.55,1.0,1.0,1.0,2.18,0.0,331.0,78.0,False
7,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,True
8,2.0,40.0,1.0,1.0,0.0,16.0,1.0,1.0,False
9,0.39,45.0,5.0,1.0,0.26,15.0,365.0,568.0,False
10,0.21,61.0,4.0,1.0,3.21,3.0,32.0,24.0,False
11,0.09,81.0,4.0,1.0,0.34,2.0,162.0,121.0,False
12,1.0,55.0,1.0,1.0,1.0,3.0,0.0,126.0,False
13,1.33,104.0,2.0,1.0,0.67,26.0,9.0,5.0,False
14,0.0,117.0,1.0,1.0,0.0,35.0,2.0,2.0,False
15,1.0,119.0,1.0,1.0,3.0,37.0,1.0,1.0,False
16,1.0,19.0,1.0,1.0,10.0,13.0,1.0,1.0,False
17,4.0,7.0,1.0,1.0,4.0,4.0,6.0,2.0,False
18,2.0,144.0,2.0,1.0,5.0,57.0,7.0,3.0,False
19,4.0,151.0,1.0,1.0,5.0,62.0,12.0,6.0,False
20,4.0,160.0,1.0,1.0,8.0,68.0,1.0,1.0,False
21,3.0,16.0,1.0,1.0,20.0,0.0,11.0,10.0,False
22,1.0,123.0,1.0,1.0,29.0,73.0,5.0,0.0,False
23,4.0,126.0,1.0,1.0,26.0,75.0,29.0,0.0,False
24,6.0,4.0,1.0,1.0,1.0,1.0,14.0,3.0,False
25,13.0,59.0,1.0,1.0,4.0,51.0,1.0,0.0,False
26,0.88,65.0,3.0,1.0,55.12,3.0,121.0,20.0,False
27,0.5,211.0,2.0,1.0,0.5,129.0,150.0,2.0,False
28,3.14,215.0,2.0,1.0,5.86,133.0,204.0,18.0,False
29,7.0,68.0,1.0,1.0,0.0,59.0,96.0,107.0,False
30,5.0,275.0,1.0,1.0,0.0,125.0,16.0,4.0,False
31,5.4,231.0,2.0,1.0,25.4,147.0,65.0,6.0,False
32,0.0,239.0,1.0,1.0,0.0,152.0,819.0,0.0,False
33,1.0,264.0,1.0,1.0,0.0,170.0,87.0,26.0,False
34,3.0,265.0,1.0,1.0,7.0,10.0,2.0,2.0,False
35,14.0,75.0,1.0,1.0,0.0,65.0,1.0,1.0,False
36,5.38,291.0,8.0,5.0,34.5,0.6,56.0,34.0,False
37,2.4,46.0,1.0,1.0,2.0,4.0,2.0,25.0,False
38,2.67,266.0,1.0,1.0,2.67,171.0,227.0,5.0,False
39,1.0,267.0,1.0,1.0,0.0,172.0,7.0,1.0,False
40,9.0,88.0,1.0,1.0,23.0,77.0,11.0,3.0,False
41,19.0,90.0,1.0,1.0,4.0,79.0,9.0,12.0,False
42,19.0,96.0,1.0,1.0,4.0,85.0,3.0,1.0,False
43,34.0,389.0,1.0,1.0,2.0,192.0,7.0,4.0,False
44,35.0,351.0,1.0,1.0,0.0,239.0,5.0,2.0,False
45,1.56,425.0,5.0,3.0,93.72,0.33,129.0,107.0,False
46,10.0,431.0,1.0,1.0,0.0,221.0,4.0,5.0,False
47,2.0,382.0,1.0,1.0,81.0,249.0,2.0,1.0,False
48,4.0,387.0,1.0,1.0,48.0,254.0,7.0,3.0,False
49,6.0,448.0,1.0,1.0,20.0,231.0,2.0,1.0,False
50,7.0,452.0,1.0,1.0,8.0,233.0,2.0,3.0,False
51,0.0,43.0,3.0,1.0,0.0,0.0,498.0,0.0,False
52,1.67,75.0,1.0,1.0,0.0,3.0,76.0,76.0,False
53,1.5,427.0,1.0,1.0,38.0,275.0,233.0,19.0,False
54,2.8,56.0,2.0,2.0,0.0,0.0,66.0,13.0,False
55,5.12,472.0,1.0,1.0,98.5,247.0,42.0,2.0,False
56,0.0,97.0,2.0,1.0,0.0,24.0,345.0,0.0,False
57,4.0,502.0,1.0,1.0,0.0,266.0,6.0,2.0,False
58,5.75,505.0,3.0,1.0,92.25,269.0,126.0,13.0,False
59,10.0,507.0,1.0,1.0,18.0,271.0,13.0,1.0,False
60,7.0,118.0,1.0,1.0,8.5,43.0,3.0,10.0,False
61,4.0,125.0,1.0,1.0,0.0,47.0,2.0,2.0,False
62,4.0,485.0,1.0,1.0,115.0,313.0,48.0,5.0,False
63,9.4,560.0,2.0,1.0,45.6,300.0,97.0,112.0,False
64,2.47,133.0,2.0,1.0,44.2,118.0,1114.0,216.0,False
65,6.0,517.0,1.0,1.0,0.0,335.0,0.0,1.0,False
66,26.0,534.0,1.0,1.0,1.0,350.0,10.0,3.0,False
67,0.5,611.0,4.0,1.0,0.31,339.0,168.0,98.0,False
68,8.0,601.0,2.0,1.0,35.0,391.0,128.0,70.0,False
69,8.8,607.0,3.0,1.0,40.6,394.0,63.0,10.0,False
70,19.0,611.0,1.0,1.0,0.0,397.0,1.0,7.0,False
71,5.0,614.0,1.0,1.0,32.0,400.0,3.0,0.0,False
72,16.0,616.0,2.0,1.0,45.0,402.0,33.0,0.0,False
73,0.0,174.0,1.0,1.0,0.0,155.0,581.0,0.0,False
74,21.5,690.0,4.0,1.0,47.88,393.0,127.0,71.0,False
75,0.5,33.0,1.0,1.0,28.0,14.0,213.0,1.0,False
76,38.0,204.0,1.0,1.0,1.0,181.0,5.0,0.0,False
77,18.25,211.0,2.0,1.0,2.0,188.0,228.0,200.0,False
78,1.0,656.0,1.0,1.0,0.0,1.0,7.0,2.0,False
79,4.0,230.0,1.0,1.0,41.0,207.0,43.0,35.0,False
80,1.5,239.0,1.0,1.0,55.0,216.0,17.0,4.0,False
81,7.5,284.0,1.0,1.0,2.0,260.0,2.0,2.0,False
82,11.0,694.0,1.0,1.0,101.0,444.0,1.0,1.0,False
83,2.83,339.0,2.0,1.0,16.0,314.0,80.0,46.0,False
84,11.58,340.0,9.0,1.0,87.38,315.0,416.0,130.0,False
85,18.33,45.0,3.0,1.0,67.83,26.0,136.0,70.0,False
86,27.25,763.0,3.0,1.0,56.25,447.0,16.0,7.0,False
87,5.0,373.0,1.0,1.0,8.0,347.0,2.0,5.0,False
88,32.0,777.0,5.0,1.0,8.57,456.0,86.0,49.0,False
89,2.0,392.0,1.0,1.0,7.0,364.0,15.0,0.0,False
90,7.0,770.0,1.0,1.0,201.0,486.0,15.0,0.0,False
91,36.33,162.0,3.0,1.0,81.0,54.0,94.0,1.0,False
92,13.4,395.0,1.0,1.0,99.6,367.0,45.0,35.0,False
93,39.0,449.0,2.0,1.0,4.0,412.0,269.0,224.0,False
94,9.17,457.0,5.0,1.0,126.33,420.0,44.0,19.0,False
95,13.87,827.0,7.0,1.0,23.53,501.0,387.0,289.0,False
96,8.67,873.0,1.0,1.0,87.33,541.0,70.0,27.0,False
97,4.0,536.0,1.0,1.0,69.0,491.0,1.0,4.0,False
98,4.83,843.0,1.0,1.0,199.0,44.0,0.0,535.0,False
99,15.25,642.0,2.0,1.0,21.5,593.0,16.0,7.0,False
100,17.67,957.0,3.0,3.0,182.56,0.33,114.0,55.0,False
101,47.75,869.0,4.0,3.0,60.25,0.67,83.0,42.0,False
102,2.5,1035.0,2.0,1.0,17.0,665.0,551.0,32.0,False
103,1.0,857.0,1.0,1.0,0.0,1.0,2.0,3.0,False
104,4.0,5.0,1.0,1.0,192.0,4.0,52.0,2.0,False
105,2.0,32.0,1.0,1.0,14.0,2.0,10.0,2.0,False
106,11.0,12.0,1.0,1.0,249.0,2.0,8.0,0.0,False
107,6.0,58.0,1.0,1.0,11.0,51.0,20.0,4.0,False
108,1.5,1107.0,2.0,1.0,5.5,3.0,2.0,3.0,False
109,35.5,75.0,2.0,1.0,11.0,66.0,115.0,14.0,False
110,11.0,78.0,1.0,1.0,373.0,69.0,290.0,238.0,False
111,19.0,8.0,2.0,1.0,336.5,5.0,18.0,4.0,False
112,53.0,10.0,2.0,1.0,276.5,7.0,15.0,5.0,False
113,13.0,29.0,1.0,1.0,222.0,13.0,1.0,4.0,False
114,22.0,45.0,1.0,1.0,78.33,27.0,132.0,27.0,False
115,3.5,1123.0,2.0,2.0,38.0,0.52,146.0,15.0,False
116,23.0,115.0,1.0,1.0,0.0,102.0,3.0,0.0,False
117,11.5,124.0,2.0,1.0,64.0,109.0,485.0,4.0,False
118,44.12,99.0,5.0,3.0,334.88,0.46,111.0,32.0,False
119,2.5,181.0,1.0,1.0,30.0,162.0,68.0,0.0,False
120,52.0,117.0,3.0,1.0,48.67,71.0,20.0,17.0,False
121,48.67,213.0,4.0,1.0,118.33,190.0,193.0,95.0,False
122,2.0,220.0,1.0,1.0,130.0,197.0,3.0,4.0,False
123,26.0,225.0,1.0,1.0,0.0,202.0,2.0,1.0,False
124,22.31,130.0,4.0,1.0,202.31,82.0,351.0,65.0,False
125,14.0,152.0,3.0,1.0,212.67,98.0,8.0,5.0,False
126,41.0,255.0,2.0,2.0,55.33,0.94,9.0,3.0,False
127,0.0,166.0,3.0,1.0,0.0,105.0,450.0,0.0,False
128,116.0,1140.0,4.0,2.0,192.25,0.52,335.0,65.0,False
129,15.0,301.0,1.0,1.0,98.0,263.0,2.0,6.0,False
130,11.0,311.0,1.0,1.0,8.0,270.0,21.0,18.0,False
131,4.67,253.0,2.0,1.0,195.0,162.0,61.0,9.0,False
132,1.0,10.0,1.0,1.0,112.0,9.0,16.0,11.0,False
133,3.0,360.0,1.0,1.0,6.0,316.0,1.0,1.0,False
134,8.0,294.0,2.0,1.0,21.33,180.0,12.0,14.0,False
135,1.0,446.0,1.0,1.0,0.0,3.0,32.0,0.0,False
136,1.0,41.0,1.0,1.0,3.0,2.0,2.0,4.0,False
137,9.0,438.0,1.0,1.0,291.0,7.0,1.0,0.0,False
138,3.0,15.0,1.0,1.0,19.0,12.0,2.0,2.0,False
139,2.0,510.0,1.0,1.0,55.0,16.0,0.0,2.0,False
140,19.62,512.0,3.0,1.0,304.62,435.0,224.0,7.0,False
141,0.0,463.0,1.0,1.0,0.0,31.0,22.0,0.0,False
142,28.0,11.0,1.0,1.0,3.0,9.0,20.0,25.0,False
143,8.4,513.0,3.0,1.0,151.8,301.0,104.0,20.0,False
144,1.0,527.0,2.0,1.0,101.0,30.0,6.0,2.0,False
145,7.0,623.0,2.0,2.0,187.5,0.94,30.0,5.0,False
146,4.33,546.0,2.0,2.0,140.33,0.18,23.0,0.0,False
