,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,1.33,13.0,2.0,1.0,0.67,9.0,8.0,4.0,1
1,1.42,14.0,4.0,1.0,5.5,1.0,3.0,25.0,1
2,0.0,20.0,1.0,1.0,0.0,2.0,0.0,5.0,0
3,0.0,2.0,2.0,1.0,0.0,0.0,268.0,0.0,1
4,5.0,58.0,1.0,1.0,1.0,22.0,6.0,0.0,1
5,1.0,42.0,1.0,1.0,15.0,3.0,24.0,18.0,1
6,1.0,51.0,1.0,1.0,1.0,36.0,45.0,17.0,1
7,4.8,97.0,4.0,1.0,3.4,63.0,73.0,44.0,1
8,2.0,119.0,1.0,1.0,7.0,70.0,3.0,0.0,1
9,1.0,45.0,1.0,1.0,40.0,2.0,4.0,1.0,1
10,11.0,47.0,1.0,1.0,1.0,39.0,71.0,15.0,1
11,1.0,61.0,1.0,1.0,61.0,53.0,87.0,0.0,1
12,7.0,193.0,1.0,1.0,43.0,121.0,13.0,1.0,1
13,2.75,66.0,1.0,1.0,0.0,57.0,96.0,9.0,1
14,1.0,213.0,1.0,1.0,0.0,131.0,137.0,2.0,1
15,6.0,67.0,1.0,1.0,0.0,58.0,5.0,4.0,1
16,4.38,218.0,3.0,1.0,33.88,136.0,73.0,20.0,1
17,1.0,41.0,1.0,1.0,63.0,0.0,21.0,11.0,1
18,1.0,244.0,1.0,1.0,65.0,117.0,46.0,11.0,1
19,0.25,72.0,1.0,1.0,16.75,62.0,152.0,6.0,1
20,1.25,255.0,1.0,1.0,50.5,4.0,37.0,34.0,1
21,11.5,326.0,1.0,1.0,0.0,216.0,0.0,22.0,1
22,6.0,327.0,1.0,1.0,14.0,217.0,1.0,1.0,1
23,9.0,367.0,1.0,1.0,5.0,180.0,1.0,1.0,1
24,8.75,384.0,4.0,1.0,2.75,189.0,191.0,1.0,1
25,18.0,89.0,1.0,1.0,7.0,78.0,1.0,1.0,1
26,2.0,98.0,1.0,1.0,16.0,87.0,3.0,3.0,1
27,1.12,99.0,2.0,1.0,4.12,88.0,476.0,21.0,1
28,7.0,107.0,1.0,1.0,0.0,96.0,2.0,0.0,1
29,17.0,435.0,1.0,1.0,0.0,225.0,22.0,16.0,1
30,1.0,393.0,1.0,1.0,6.0,8.0,11.0,4.0,1
31,1.5,454.0,2.0,1.0,81.5,235.0,69.0,1.0,1
32,21.5,129.0,1.0,1.0,0.0,115.0,2.0,2.0,1
33,8.0,94.0,2.0,1.0,3.5,21.0,37.0,5.0,1
34,6.0,483.0,1.0,1.0,46.5,253.0,78.0,7.0,1
35,30.0,450.0,1.0,1.0,10.0,291.0,10.0,1.0,1
36,3.33,453.0,1.0,1.0,122.33,11.0,10.0,2.0,1
37,15.0,98.0,1.0,1.0,13.0,38.0,33.0,19.0,1
38,2.0,114.0,1.0,1.0,0.0,39.0,0.0,136.0,1
39,2.5,504.0,2.0,1.0,11.0,268.0,44.0,26.0,1
40,1.0,514.0,1.0,1.0,144.0,278.0,9.0,1.0,1
41,3.5,121.0,2.0,1.0,6.0,44.0,101.0,2.0,1
42,14.25,466.0,2.0,1.0,37.5,298.0,67.0,23.0,1
43,10.0,492.0,2.0,1.0,37.5,14.0,16.0,1.0,1
44,4.0,499.0,1.0,1.0,110.0,321.0,17.0,0.0,1
45,1.0,134.0,1.0,1.0,90.0,119.0,0.0,261.0,1
46,38.0,572.0,1.0,1.0,0.0,310.0,0.0,2.0,1
47,12.75,548.0,3.0,1.0,4.5,357.0,115.0,9.0,1
48,3.5,145.0,2.0,1.0,10.0,130.0,172.0,47.0,1
49,0.0,591.0,4.0,1.0,0.0,0.0,0.0,263.0,0
50,10.5,595.0,3.0,1.0,19.0,327.0,66.0,13.0,1
51,19.0,588.0,1.0,1.0,1.0,380.0,15.0,0.0,1
52,2.33,624.0,2.0,2.0,17.33,0.52,4.0,67.0,1
53,1.67,603.0,2.0,1.0,3.33,393.0,18.0,16.0,1
54,14.5,7.0,2.0,1.0,23.0,1.0,59.0,5.0,1
55,26.0,639.0,1.0,1.0,1.0,355.0,7.0,4.0,1
56,0.0,624.0,1.0,1.0,0.0,408.0,39.0,0.0,1
57,21.0,669.0,1.0,1.0,0.0,374.0,2.0,2.0,1
58,2.0,678.0,1.0,1.0,83.0,383.0,2.0,2.0,1
59,11.0,178.0,2.0,1.0,76.86,158.0,96.0,5.0,1
60,14.0,189.0,1.0,1.0,6.0,166.0,2.0,2.0,1
61,17.25,34.0,1.0,1.0,5.5,15.0,112.0,2.0,1
62,11.0,737.0,1.0,1.0,21.0,423.0,6.0,5.0,1
63,23.0,218.0,1.0,1.0,26.0,195.0,74.0,78.0,1
64,1.5,239.0,1.0,1.0,55.0,216.0,17.0,4.0,1
65,4.67,741.0,3.0,1.0,108.33,426.0,54.0,19.0,1
66,6.0,262.0,1.0,1.0,50.0,239.0,7.0,2.0,1
67,7.0,264.0,1.0,1.0,2.0,241.0,1.0,5.0,1
68,46.0,269.0,1.0,1.0,19.0,246.0,2.0,2.0,1
69,28.0,272.0,1.0,1.0,18.0,249.0,1.0,1.0,1
70,12.0,755.0,2.0,1.0,23.5,439.0,124.0,0.0,1
71,18.0,305.0,1.0,1.0,13.0,280.0,14.0,1.0,1
72,10.0,307.0,1.0,1.0,95.0,282.0,6.0,2.0,1
73,17.25,344.0,3.0,1.0,26.75,319.0,39.0,8.0,1
74,3.0,365.0,1.0,1.0,223.0,339.0,2.0,1.0,1
75,38.0,720.0,3.0,1.0,40.0,461.0,18.0,19.0,1
76,1.33,734.0,2.0,1.0,76.0,467.0,42.0,1.0,1
77,7.55,386.0,5.0,1.0,43.25,358.0,102.0,89.0,1
78,14.0,784.0,1.0,1.0,84.0,38.0,1.0,1.0,1
79,3.0,784.0,1.0,1.0,0.0,498.0,1.0,1.0,1
80,2.3,790.0,3.0,1.0,96.4,502.0,254.0,104.0,1
81,1.5,170.0,1.0,1.0,157.5,13.0,135.0,31.0,1
82,16.0,800.0,1.0,1.0,0.0,14.0,2.0,1.0,1
83,12.0,439.0,2.0,1.0,21.0,402.0,118.0,114.0,1
