,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,15.33,1456.0,1.7,1.0,108.17,936.0,160.0,3.0,False
1,2.8,1526.0,1.53,1.0,110.0,994.0,249.0,11.0,False
2,2.0,1538.5,1.56,1.0,102.5,1006.0,97.0,7.0,False
3,11.33,1543.5,1.34,1.0,111.33,1011.0,228.0,55.0,False
4,5.67,1551.0,1.65,1.0,108.11,1020.0,442.0,15.0,False
5,12.83,1565.5,1.9,1.0,96.17,963.0,337.0,19.0,False
6,20.5,1610.5,1.68,1.0,66.25,1067.0,119.0,10.0,False
7,7.6,1616.5,1.95,1.0,23.8,1073.0,253.0,57.0,False
8,7.67,1650.5,1.17,1.0,148.33,1093.0,105.0,19.0,False
9,8.0,1716.0,1.19,1.0,91.25,1067.0,134.0,2.0,False
10,24.83,1751.0,1.78,1.0,41.5,1163.0,134.0,13.0,False
11,8.0,1761.0,1.49,1.0,80.5,1102.0,213.0,9.0,False
12,8.6,1767.0,1.75,1.0,40.8,1178.0,182.0,27.0,False
13,17.75,1768.0,1.57,1.0,57.5,1179.0,66.0,1.0,False
14,37.33,1778.5,2.04,1.0,31.33,1189.0,159.0,5.0,True
15,29.0,1784.0,1.57,1.0,148.67,1204.0,23.0,0.0,True
16,0.0,1785.5,1.49,1.0,0.0,1122.0,325.0,0.0,False
17,1.5,1806.5,1.56,1.0,22.25,1138.0,178.0,1.0,False
18,7.2,1808.0,1.66,1.0,22.6,1140.0,191.0,4.0,False
19,23.86,1824.0,2.37,1.0,36.0,1238.0,251.0,17.0,True
20,4.43,1841.0,2.01,1.0,89.43,1179.0,64.0,55.0,False
21,10.8,1871.0,1.87,1.0,129.0,1194.0,99.0,12.0,False
22,2.0,1878.0,1.34,1.0,106.75,1197.0,181.0,1.0,False
23,4.75,1882.5,1.61,1.0,0.0,1305.0,164.0,11.0,False
24,24.5,1887.0,1.82,1.0,133.0,1210.0,29.0,0.0,True
25,0.0,1889.0,2.0,1.0,0.0,1308.0,223.0,0.0,True
26,5.62,1894.5,1.55,1.0,51.88,1319.0,117.0,12.0,False
