,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,1.0,7.0,2.66,1.0,0.0,3.0,105.0,416.0,False
1,0.82,45.0,2.84,1.0,0.82,26.0,779.0,422.0,False
2,2.33,214.0,2.9,1.0,1.44,3.0,0.0,651.0,False
3,6.42,239.0,3.81,2.0,5.58,0.22,628.0,550.0,True
4,1.38,272.0,3.69,1.0,0.42,4.0,32.0,567.0,False
5,2.29,400.0,3.62,1.0,0.0,76.0,0.0,666.0,False
6,1.72,456.0,3.84,2.0,17.38,0.22,252.0,393.0,True
7,8.37,7.0,2.72,1.0,23.47,3.0,137.0,350.0,True
8,1.82,23.0,3.12,1.0,19.36,17.0,0.0,641.0,False
9,4.25,33.0,3.95,1.0,41.64,15.0,145.0,235.0,True
10,3.17,34.0,4.02,1.0,67.62,16.0,198.0,362.0,True
11,1.71,37.0,3.69,1.0,81.53,19.0,4.0,723.0,False
12,4.21,88.0,4.83,1.0,41.55,53.0,273.0,247.0,True
13,4.86,1.0,3.35,1.0,11.14,1.0,660.0,294.0,True
14,3.43,93.0,4.26,1.0,10.78,57.0,281.0,281.0,True
15,4.49,96.0,4.63,1.0,49.95,60.0,169.0,199.0,True
16,3.67,97.0,2.49,1.0,50.58,61.0,298.0,321.0,False
17,11.87,12.0,4.37,1.0,63.26,2.0,144.0,250.0,True
18,1.64,179.0,3.24,1.0,5.71,15.0,296.0,354.0,True
19,1.14,283.0,3.37,1.0,56.14,11.0,571.0,215.0,True
20,2.61,38.0,3.66,1.0,148.48,13.0,882.0,318.0,True
21,9.32,164.0,4.95,2.0,127.02,1.25,479.0,499.0,True
22,13.97,67.0,3.84,2.0,92.49,0.7,187.0,653.0,True
23,9.18,81.0,3.14,1.0,30.64,50.0,16.0,291.0,False
24,12.7,605.0,2.45,1.0,50.8,288.0,284.0,341.0,False
25,2.52,544.0,3.34,1.0,18.15,341.0,576.0,589.0,False
26,3.73,742.0,5.43,1.0,36.15,371.0,372.0,488.0,True
27,7.05,31.0,3.67,1.0,30.95,27.0,761.0,296.0,True
28,10.91,171.5,4.75,2.0,1.94,1.25,454.0,515.0,False
29,12.69,1010.0,5.03,2.0,45.29,0.99,487.0,328.0,True
30,9.45,1086.5,4.11,2.0,35.94,0.99,701.0,483.0,True
31,11.0,1100.0,4.14,1.0,67.61,594.0,573.0,261.0,True
32,15.12,1108.5,4.11,1.0,55.33,599.0,237.0,632.0,True
33,4.92,730.0,5.08,1.0,95.0,532.0,344.0,294.0,True
34,2.79,242.0,3.73,2.0,0.0,0.7,26.0,523.0,False
35,1.95,237.0,5.0,1.0,11.56,186.0,221.0,370.0,True
36,1.0,835.0,2.97,1.0,0.0,686.0,312.0,274.0,False
37,9.71,1483.0,3.84,2.0,138.29,0.99,88.0,577.0,True
38,6.56,1747.5,5.8,1.0,152.33,1097.0,371.0,524.0,True
39,5.65,34.0,2.81,1.0,80.15,31.0,747.0,333.0,False
40,2.26,934.5,5.7,1.0,22.66,784.0,1041.0,499.0,True
41,2.05,24.0,3.54,1.0,88.82,14.0,177.0,214.0,True
42,1.75,26.0,3.41,1.0,52.25,16.0,229.0,257.0,True
43,7.05,1961.33,3.22,1.0,33.37,1316.0,110.0,451.0,False
44,1.5,46.0,3.4,1.0,2.0,6.0,0.0,640.0,False
45,2.42,430.42,5.19,1.0,154.62,569.0,874.0,553.0,True
46,0.32,9.0,3.63,1.0,0.0,7.0,426.0,444.0,False
47,17.57,72.0,5.54,1.0,58.95,52.0,293.0,763.0,True
48,35.31,76.0,5.65,1.0,29.81,11.0,226.0,528.0,True
49,2.58,284.33,3.11,1.0,20.42,322.0,441.0,460.0,False
50,5.63,1142.5,5.53,1.0,70.92,163.0,303.0,718.0,True
51,12.91,38.0,2.25,1.0,55.27,27.0,374.0,744.0,False
52,7.16,0.0,5.08,1.0,158.25,0.0,942.0,435.0,True
53,7.24,5.0,5.93,1.0,91.61,2.0,496.0,352.0,True
54,2.18,105.0,3.87,1.0,140.94,17.0,237.0,248.0,True
55,16.56,287.58,4.21,1.0,113.04,254.0,70.0,203.0,True
56,4.04,2597.25,4.25,1.0,200.5,183.0,375.0,617.0,True
57,8.41,161.0,3.72,1.0,88.29,114.0,135.0,248.0,True
58,8.88,162.0,3.63,1.0,275.19,115.0,171.0,355.0,True
59,1.89,1167.25,3.12,1.0,3.11,1477.0,122.0,533.0,False
60,1.03,175.5,4.67,1.0,16.73,126.0,137.0,187.0,True
61,3.5,14.0,4.01,1.0,0.0,12.0,14.0,826.0,False
62,3.78,372.85,2.41,1.0,49.0,449.0,187.0,746.0,False
63,25.2,117.5,2.91,1.0,0.0,78.0,0.0,383.0,False
64,2.21,15.0,3.87,1.0,3.95,15.0,589.0,908.0,False
65,3.15,17.0,2.37,1.0,4.38,17.0,629.0,515.0,False
66,1.6,1071.58,3.89,1.0,129.73,1666.0,163.0,386.0,True
67,2.56,66.0,3.6,1.0,0.0,47.0,269.0,237.0,False
68,11.73,103.0,4.31,1.0,8.5,70.0,176.0,174.0,True
69,26.62,2.0,2.45,1.0,30.0,2.0,315.0,322.0,True
70,0.2,18.0,4.86,1.0,0.0,2.0,653.0,233.0,True
71,2.03,537.0,4.21,1.0,161.0,395.0,275.0,198.0,True
72,7.08,541.0,2.6,1.0,13.92,397.0,486.0,467.0,False
73,1.2,117.2,2.72,1.0,55.0,246.0,81.0,391.0,True
74,2.8,121.2,2.78,1.0,6.4,249.0,180.0,520.0,False
75,3.36,622.0,4.05,1.0,1.64,487.0,206.0,220.0,False
76,1.0,716.5,3.78,1.0,0.0,573.0,663.0,646.0,False
77,18.89,1.0,3.42,1.0,24.74,1.0,772.0,268.0,True
78,6.96,757.5,3.63,1.0,197.43,615.0,295.0,237.0,True
79,10.89,42.0,2.22,1.0,131.33,30.0,346.0,546.0,False
80,3.0,620.0,2.64,1.0,68.17,255.0,445.0,328.0,False
81,1.31,15.0,3.93,1.0,0.94,15.0,436.0,501.0,False
82,3.78,126.0,3.62,1.0,15.5,73.0,233.0,257.0,True
83,0.93,29.0,3.4,1.0,0.0,24.0,610.0,257.0,False
84,2.88,99.0,2.47,1.0,128.88,33.0,0.0,576.0,False
85,15.13,5.83,4.82,1.0,399.36,0.0,432.0,641.0,True
86,3.85,9.83,3.52,1.0,97.54,9.0,761.0,454.0,True
87,1.0,1.0,4.14,1.0,2.0,1.0,884.0,750.0,True
88,2.36,1.0,5.32,1.0,257.36,1.0,673.0,704.0,True
89,5.27,2.0,3.2,1.0,4.27,2.0,227.0,219.0,True
90,3.73,3.0,4.53,1.0,5.31,3.0,314.0,317.0,True
91,4.07,1506.0,3.37,1.0,2.8,772.0,96.0,517.0,False
92,8.0,1.0,3.56,2.0,0.9,1.0,437.0,540.0,False
93,0.36,9.0,3.68,1.0,0.0,9.0,774.0,609.0,False
94,1.0,1.0,4.7,1.0,0.0,1.0,216.0,200.0,True
95,6.27,14.0,4.32,1.0,176.56,14.0,563.0,374.0,True
96,0.67,217.0,2.66,1.0,4.0,97.0,767.0,496.0,True
97,1.85,212.5,3.01,1.0,16.23,102.0,813.0,786.0,True
98,12.19,141.5,3.04,1.0,10.38,91.0,660.0,347.0,False
99,3.75,612.45,5.1,1.0,47.01,306.95,440.83,481.98,True
100,3.82,165.33,3.93,1.0,84.5,85.88,678.38,461.22,True
101,3.83,103.68,3.77,1.0,89.67,55.4,711.14,458.36,True
102,3.82,154.41,3.9,1.0,85.42,80.48,684.18,460.71,True
103,3.75,639.95,5.17,1.0,44.7,320.54,426.22,483.26,True
104,3.85,16.02,3.54,1.0,97.02,12.06,757.71,454.29,True
105,3.83,127.93,3.83,1.0,87.64,67.39,698.26,459.48,True
106,3.81,229.42,4.1,1.0,79.13,117.57,644.33,464.2,True
107,3.76,554.96,4.95,1.0,51.83,278.52,471.37,479.31,True
108,3.81,264.43,4.19,1.0,76.19,134.88,625.73,465.82,True
109,3.82,146.16,3.88,1.0,86.11,76.4,688.57,460.33,True
110,3.78,394.13,4.53,1.0,65.32,199.0,556.83,471.85,True
111,3.74,645.43,5.18,1.0,44.24,323.25,423.31,483.52,True
112,3.8,286.76,4.25,1.0,74.32,145.92,613.87,466.86,True
113,3.84,39.51,3.6,1.0,95.05,23.67,745.23,455.38,True
114,3.76,563.86,4.97,1.0,51.08,282.93,466.64,479.73,True
115,3.75,610.58,5.09,1.0,47.17,306.02,441.82,481.9,True
116,3.83,125.74,3.83,1.0,87.82,66.31,699.42,459.38,True
117,3.81,220.38,4.07,1.0,79.88,113.1,649.13,463.78,True
118,3.82,163.41,3.92,1.0,84.66,84.93,679.4,461.13,True
119,3.78,403.16,4.55,1.0,64.56,203.47,552.02,472.27,True
120,3.75,601.81,5.07,1.0,47.9,301.69,446.48,481.49,True
121,3.76,552.73,4.94,1.0,52.02,277.42,472.56,479.21,True
122,3.76,575.39,5.0,1.0,50.12,288.62,460.52,480.26,True
123,3.77,460.97,4.7,1.0,59.71,232.05,521.31,474.95,True
124,3.81,217.03,4.06,1.0,80.16,111.44,650.92,463.62,True
125,3.77,490.96,4.78,1.0,57.2,246.88,505.38,476.34,True
126,3.82,153.9,3.9,1.0,85.46,80.23,684.45,460.69,True
127,3.74,683.66,5.28,1.0,41.04,342.16,402.99,485.29,True
128,3.76,538.19,4.9,1.0,53.24,270.23,480.29,478.54,True
129,3.76,563.32,4.97,1.0,51.13,282.66,466.93,479.7,True
130,3.82,148.69,3.89,1.0,85.9,77.65,687.22,460.45,True
131,3.77,461.88,4.7,1.0,59.63,232.5,520.83,474.99,True
132,3.75,638.28,5.16,1.0,44.84,319.72,427.1,483.18,True
133,3.78,394.88,4.53,1.0,65.25,199.37,556.43,471.88,True
134,3.8,313.68,4.32,1.0,72.06,159.23,599.57,468.11,True
