,nuc,arexp,ent,ns,age,asexp,la,ld,target
0,0.46,3.0,3.07,1.0,0.0,1.0,295.0,114.0,True
1,4.5,91.0,1.43,2.0,2.1,0.07,596.0,88.0,False
2,3.79,168.0,3.33,2.0,2.71,0.22,86.0,53.0,False
3,3.82,184.0,2.62,4.0,15.91,0.02,265.0,121.0,False
4,0.83,317.0,2.48,2.0,25.0,0.22,89.0,0.0,False
5,0.0,373.0,2.49,2.0,0.0,0.22,323.0,0.0,True
6,0.67,374.0,1.39,2.0,3.33,0.22,60.0,2.0,False
7,0.75,406.0,1.65,2.0,14.0,0.22,52.0,25.0,False
8,0.31,588.0,3.55,2.0,1.54,0.22,414.0,14.0,False
9,6.67,595.0,3.15,2.0,4.75,0.22,223.0,2.0,False
10,4.93,651.0,2.67,2.0,14.64,0.22,71.0,78.0,False
11,6.0,662.0,2.84,2.0,6.73,0.22,551.0,56.0,False
12,7.0,689.0,1.25,2.0,0.0,0.0,42.0,70.0,False
13,17.44,13.0,2.49,3.0,22.67,0.39,83.0,33.0,False
14,13.67,862.0,3.36,4.0,6.78,0.02,724.0,7.0,False
15,8.63,40.0,4.81,5.0,89.51,0.29,99.0,56.0,False
16,31.4,43.0,1.97,3.0,59.0,0.46,15.0,15.0,False
17,7.4,951.0,1.63,2.0,32.4,0.22,193.0,2.0,False
18,2.0,50.0,1.55,2.0,4.0,1.25,117.0,1.0,False
19,18.87,963.5,2.84,4.0,12.87,0.02,568.0,7.0,False
20,3.43,93.0,4.26,1.0,10.78,57.0,281.0,281.0,False
21,5.88,107.0,2.23,2.0,2.75,0.42,95.0,98.0,False
22,0.3,28.0,3.18,1.0,1.3,11.0,209.0,3.0,False
23,4.0,45.0,1.42,2.0,16.0,0.99,116.0,1.0,False
24,7.33,144.0,3.23,2.0,13.72,0.44,1042.0,92.0,False
25,7.9,911.5,5.29,2.0,39.25,0.22,328.0,85.0,False
26,10.9,163.0,2.97,1.0,41.3,41.0,256.0,110.0,False
27,7.67,1.0,1.47,2.0,17.67,0.5,83.0,0.0,False
28,4.6,205.0,3.04,1.0,11.6,99.0,202.0,58.0,False
29,25.75,903.5,1.58,2.0,1.5,0.22,150.0,45.0,False
30,27.25,902.5,1.84,2.0,0.5,0.22,94.0,10.0,False
31,27.67,357.0,2.97,4.0,18.4,0.33,117.0,95.0,False
32,6.56,397.0,3.51,1.0,104.06,171.0,182.0,42.0,False
33,11.2,436.0,1.82,2.0,6.2,0.99,229.0,19.0,False
34,0.81,770.5,3.46,1.0,0.0,439.0,505.0,29.0,False
35,11.41,170.0,5.3,2.0,62.73,1.25,47.0,48.0,False
36,11.23,174.0,4.38,2.0,66.14,1.25,24.0,29.0,False
37,21.6,77.0,2.31,2.0,12.7,0.7,17.0,270.0,False
38,8.13,526.0,4.2,2.0,119.78,0.44,67.0,67.0,False
39,16.88,183.5,3.47,2.0,0.06,0.84,1073.0,0.0,False
40,4.57,719.0,5.21,2.0,229.73,0.22,72.0,2.0,False
41,12.32,549.0,5.53,2.0,13.17,0.44,112.0,122.0,False
42,2.62,730.5,3.09,1.0,74.88,488.0,379.0,117.0,False
43,5.67,754.0,1.51,2.0,26.0,0.22,16.0,5.0,False
44,2.08,643.0,3.44,1.0,4.83,426.0,66.0,76.0,False
45,23.22,927.0,2.44,2.0,17.89,0.99,22.0,55.0,False
46,13.93,1001.0,2.97,2.0,28.73,0.99,119.0,256.0,False
47,13.95,1020.0,3.89,3.0,6.18,0.5,748.0,145.0,False
48,7.0,1049.0,4.85,2.0,62.35,0.99,626.0,293.0,False
49,9.77,1083.0,3.57,2.0,40.18,0.99,257.0,251.0,False
50,19.0,1130.5,2.54,2.0,12.4,0.99,114.0,74.0,False
51,24.23,1196.0,3.19,1.0,6.31,678.0,135.0,37.0,False
52,6.0,1202.5,3.81,3.0,11.59,0.5,53.0,60.0,False
53,37.5,722.0,2.59,2.0,105.0,0.49,20.0,18.0,False
54,20.83,1230.5,3.88,4.0,11.09,0.33,999.0,3.0,False
55,18.2,1265.0,1.54,2.0,34.0,0.99,50.0,25.0,False
56,3.93,749.5,3.38,1.0,30.29,550.0,71.0,25.0,False
57,25.48,1295.0,4.14,2.0,74.38,0.99,106.0,134.0,False
58,3.83,798.5,2.23,2.0,5.67,0.42,263.0,7.0,False
59,6.67,803.5,2.02,2.0,190.0,0.44,12.0,8.0,False
60,2.24,246.0,4.0,2.0,2.76,0.7,822.0,81.0,False
61,24.39,1429.0,2.9,2.0,40.17,0.99,167.0,27.0,False
62,35.33,1442.5,2.36,2.0,25.11,0.99,140.0,25.0,False
63,29.57,1455.0,2.6,2.0,10.86,0.99,209.0,4.0,False
64,2.13,1458.0,3.86,1.0,38.07,938.0,470.0,8.0,False
65,18.67,878.0,1.5,2.0,56.0,0.42,4.0,4.0,False
66,2.78,1586.0,2.7,2.0,35.89,0.99,266.0,0.0,False
67,6.2,1606.5,3.86,2.0,13.7,0.99,1040.0,10.0,False
68,6.71,233.5,3.65,2.0,230.24,1.25,38.0,28.0,False
69,2.41,1724.0,3.91,1.0,18.12,1076.0,70.0,8.0,False
70,37.2,1875.5,1.32,3.0,18.8,0.5,139.0,2.0,False
71,1.71,1903.0,2.25,2.0,27.43,0.99,146.0,86.0,False
72,8.93,1902.0,3.59,2.0,58.47,0.99,209.0,107.0,False
73,16.73,1936.5,2.62,2.0,29.55,0.99,306.0,80.0,False
74,9.1,1938.67,3.15,2.0,12.7,0.99,558.0,0.0,False
75,83.2,1936.0,2.23,2.0,37.8,0.99,7.0,10.0,False
76,5.0,2028.67,1.99,2.0,89.5,0.99,32.0,1.0,False
77,0.0,2036.33,1.96,2.0,0.0,0.99,189.0,0.0,True
78,8.88,2023.0,3.65,2.0,1.44,0.99,681.0,0.0,False
79,16.0,2027.17,2.47,2.0,116.29,0.99,52.0,28.0,False
80,27.57,39.33,1.72,2.0,0.57,0.0,377.0,0.0,False
81,10.08,0.0,3.17,2.0,53.92,0.0,290.0,33.0,True
82,25.91,1203.5,2.85,2.0,31.73,0.44,43.0,10.0,False
83,0.7,223.5,2.81,1.0,46.7,36.0,139.0,112.0,False
84,5.6,2212.0,2.12,2.0,72.4,0.99,135.0,1.0,False
85,8.2,1208.67,1.94,2.0,40.4,0.44,53.0,12.0,False
86,8.07,0.0,4.22,2.0,29.29,0.0,1531.0,1.0,True
87,22.78,2376.5,2.63,2.0,145.11,0.99,387.0,4.0,False
88,36.59,30.0,3.88,4.0,1.77,0.58,1435.0,1.0,False
89,4.29,2410.67,6.39,1.0,39.34,1894.0,94.0,94.0,False
90,19.9,2456.33,3.27,2.0,36.05,0.99,754.0,39.0,False
91,8.33,43.67,1.38,2.0,2.33,0.02,52.0,0.0,False
92,22.07,2487.92,2.92,2.0,31.73,0.99,237.0,14.0,False
93,9.0,2532.25,2.42,2.0,87.86,0.99,292.0,19.0,False
94,4.67,2537.67,3.25,2.0,16.08,0.99,455.0,1.0,False
95,0.0,2550.33,3.51,2.0,0.0,0.99,617.0,0.0,True
96,0.0,2551.33,3.5,2.0,0.0,0.99,645.0,0.0,True
97,0.0,2554.17,4.37,2.0,0.0,0.99,1210.0,0.0,True
98,13.43,2553.33,3.65,2.0,76.81,0.99,394.0,174.0,False
99,7.16,0.0,5.08,1.0,158.25,0.0,942.0,435.0,True
100,19.54,0.0,3.97,3.0,41.12,0.0,586.0,61.0,True
101,108.0,3.0,1.94,2.0,53.75,0.38,10.0,6.0,False
102,68.0,2584.25,2.57,3.0,2.88,0.5,245.0,60.0,False
103,98.92,2585.25,2.38,4.0,51.0,0.02,257.0,35.0,False
104,34.5,2596.75,2.15,2.0,21.0,0.99,398.0,5.0,False
105,15.88,288.33,2.59,2.0,30.25,1.25,44.0,150.0,False
106,6.75,1133.33,1.66,2.0,7.25,0.42,162.0,1.0,False
107,7.07,323.25,5.76,1.0,310.56,391.0,144.0,173.0,False
108,7.0,2593.08,2.43,2.0,176.25,0.99,42.0,71.0,False
109,34.08,2596.42,4.85,4.0,157.03,0.33,68.0,65.0,False
110,3.44,1166.75,3.75,1.0,101.5,211.0,97.0,20.0,False
111,10.76,2617.75,4.66,5.0,130.97,0.25,68.0,95.0,False
112,5.79,0.0,3.69,3.0,82.59,0.0,23.0,161.0,True
113,13.08,21.0,4.56,3.0,84.96,1.15,32.0,52.0,False
114,8.33,2595.25,2.74,2.0,63.0,0.87,283.0,15.0,False
115,14.0,94.0,2.35,2.0,5.86,1.4,1.0,12.0,False
116,16.29,2697.57,2.57,2.0,56.57,0.99,237.0,19.0,False
117,104.5,138.0,1.79,2.0,8.0,1.4,0.0,6.0,False
118,10.0,18.5,2.59,2.0,120.88,1.52,260.0,1.0,False
119,125.33,157.0,1.55,2.0,108.67,1.4,5.0,8.0,False
120,31.14,1025.67,4.18,3.0,350.93,0.15,1064.0,104.0,False
121,2.43,279.68,2.54,2.0,0.0,0.0,226.0,33.0,True
122,3.0,283.68,2.63,2.0,37.27,0.22,247.0,23.0,False
123,5.78,228.0,2.86,2.0,118.22,1.4,5.0,13.0,False
124,13.2,273.0,3.13,2.0,12.5,1.4,3.0,15.0,False
125,6.45,305.0,4.52,3.0,49.17,0.8,48.0,132.0,False
126,45.3,2681.13,3.82,2.0,116.5,0.87,31.0,450.0,False
127,3.17,297.33,2.33,2.0,269.5,0.99,25.0,45.0,False
128,18.21,71.0,3.54,2.0,45.5,0.28,6.0,25.0,False
129,40.62,2791.82,2.51,2.0,219.25,0.13,71.0,5.0,False
130,20.9,2747.77,2.46,2.0,59.5,0.87,314.0,6.0,False
131,5.45,355.0,3.42,4.0,136.77,0.57,138.0,144.0,False
132,45.5,2795.28,3.15,2.0,97.57,0.99,283.0,51.0,False
133,209.4,0.0,2.01,2.0,112.4,0.0,8.0,7.0,True
134,1.0,119.0,2.91,1.0,0.0,83.0,162.0,139.0,False
135,1.0,101.0,3.86,1.0,3.0,45.0,566.0,16.0,False
136,9.67,0.0,3.69,2.0,513.25,0.0,374.0,525.0,True
137,7.58,4.0,4.36,1.0,137.23,4.0,147.0,168.0,False
138,5.56,0.0,2.9,2.0,6.11,0.0,369.0,33.0,True
139,8.2,291.0,1.91,2.0,69.6,0.5,219.0,1.0,False
140,8.6,422.83,0.98,3.0,166.0,1.15,359.0,375.0,False
141,0.0,2963.6,2.89,2.0,0.0,0.99,296.0,0.0,True
142,1.64,17.0,3.08,1.0,2.18,9.0,304.0,181.0,False
143,4.2,26.0,2.22,2.0,1.0,0.29,22.0,4.0,False
144,2.8,66.0,2.72,2.0,5.4,0.29,381.0,179.0,False
145,14.4,1.0,1.94,2.0,17.4,0.5,27.0,18.0,True
146,4.3,75.0,3.76,3.0,12.85,0.5,234.0,65.0,False
147,4.0,2767.05,2.14,2.0,0.0,0.99,176.0,1.0,False
148,99.25,2795.34,3.39,3.0,2.06,0.04,704.0,26.0,False
149,18.13,2809.97,3.71,2.0,6.53,0.99,202.0,49.0,False
150,4.82,2812.42,3.79,2.0,103.36,0.99,65.0,65.0,False
151,7.43,2829.51,2.64,2.0,63.14,0.87,24.0,21.0,False
152,159.1,2843.11,2.71,2.0,1.6,0.01,607.0,0.0,False
153,84.52,62.17,2.82,2.0,320.1,0.5,293.0,278.0,False
154,12.51,64.17,4.8,1.0,0.0,6.0,189.0,125.0,False
155,31.27,2.5,3.09,1.0,0.0,4.0,538.0,0.0,False
156,36.66,2858.15,2.99,3.0,20.62,0.46,90.0,91.0,False
157,26.34,0.0,4.72,4.0,311.2,0.0,197.0,203.0,True
158,68.38,3.0,2.41,3.0,7.5,0.0,584.0,0.0,False
159,0.74,0.0,3.54,2.0,0.0,0.0,756.0,30.0,True
160,69.0,2827.09,2.14,2.0,141.5,0.13,58.0,8.0,False
161,109.3,2856.77,3.45,2.0,42.5,0.0,819.0,97.0,False
162,121.23,0.0,3.09,2.0,20.38,0.0,698.0,45.0,True
163,2.2,315.17,4.48,1.0,38.6,407.0,79.0,54.0,False
164,12.75,5.0,1.54,2.0,132.0,0.97,92.0,9.0,False
165,34.94,1.0,3.47,2.0,22.5,0.5,371.0,40.0,False
166,0.9,0.0,3.35,1.0,15.6,0.0,527.0,26.0,True
167,246.43,14.0,2.4,2.0,128.86,1.0,37.0,18.0,False
168,2.9,0.0,3.12,1.0,36.5,0.0,447.0,9.0,True
169,36.0,306.42,2.0,2.0,330.25,1.4,4.0,4.0,False
170,12.2,50.0,2.72,2.0,56.5,1.06,139.0,53.0,False
171,10.14,975.0,4.05,2.0,287.57,0.5,34.0,11.0,False
