,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,3.18,14.0,2.76,0.18,102.55,12.0,39.0,62.0,True
1,98.0,1277.0,1.53,1.25,117.25,0.12,157.0,88.0,False
2,214.5,220.0,1.69,1.25,60.5,0.05,233.0,89.0,False
3,35.94,234.0,2.57,0.31,57.78,145.0,558.0,60.0,True
4,188.5,241.0,1.71,1.1,103.0,1.26,195.0,88.0,True
5,408.67,42.0,0.91,3.0,93.33,0.96,293.0,10.0,False
6,353.25,252.5,1.53,2.5,162.25,0.2,39.0,6.0,False
7,34.59,462.83,2.94,0.59,70.76,0.21,248.0,203.0,True
8,185.62,265.0,2.31,1.25,73.0,0.02,121.0,110.0,False
9,150.62,495.0,3.39,0.77,93.46,0.88,103.0,22.0,True
10,389.0,282.5,1.6,2.25,85.5,0.2,106.0,8.0,False
11,47.67,439.0,2.72,0.6,66.73,0.69,423.0,80.0,True
12,102.48,534.0,3.64,0.43,112.83,1.66,57.0,87.0,True
13,530.5,13.0,0.92,3.0,77.0,0.5,250.0,36.0,False
14,576.33,181.0,1.37,4.0,143.67,0.99,8.0,2.0,False
15,102.11,212.0,3.5,0.79,192.79,0.99,352.0,96.0,True
16,173.67,14.0,2.34,1.25,230.08,0.63,467.0,204.0,False
17,360.0,232.0,1.6,2.67,85.0,1.48,46.0,53.0,False
18,239.18,43.0,2.72,1.64,67.18,0.45,88.0,54.0,False
19,291.0,247.5,2.52,1.78,85.11,1.0,241.0,107.0,True
20,153.06,61.0,3.24,1.06,100.81,0.63,106.0,173.0,True
21,722.67,236.0,1.07,5.67,163.0,1.99,34.0,49.0,False
22,440.6,852.5,1.92,3.4,95.6,1.66,173.0,41.0,False
23,431.5,857.5,2.07,2.83,91.0,1.66,23.0,11.0,True
24,156.0,871.5,3.73,0.68,69.68,1.26,481.0,356.0,True
25,343.57,230.0,2.04,2.43,121.57,1.99,52.0,9.0,True
26,116.63,109.0,2.77,0.95,45.26,1.01,584.0,112.0,True
27,44.98,889.5,4.92,0.43,130.12,0.5,616.0,155.0,True
28,52.0,110.0,2.07,1.57,73.29,1.0,260.0,67.0,True
29,115.89,657.0,1.24,2.0,100.22,0.06,566.0,396.0,False
30,17.27,102.5,2.47,0.87,124.8,1.0,390.0,19.0,True
31,137.22,6.0,3.36,1.11,119.78,1.66,51.0,36.0,True
32,634.5,41.0,1.81,5.5,72.0,1.03,12.0,4.0,False
33,333.75,0.0,2.25,3.0,39.88,0.0,572.0,66.0,False
34,274.9,8.0,2.92,2.4,90.9,0.84,44.0,15.0,True
35,52.0,264.0,4.64,0.49,164.62,0.24,397.0,337.0,False
36,475.0,181.0,2.21,4.0,92.0,1.0,30.0,29.0,False
37,890.67,439.0,0.42,8.67,155.0,0.94,42.0,16.0,False
38,42.11,470.0,3.07,0.89,147.67,141.0,30.0,5.0,True
39,1015.0,75.0,1.18,10.0,164.0,1.03,14.0,8.0,False
40,170.4,0.0,1.38,3.0,90.6,0.0,61.0,14.0,False
41,635.83,0.0,1.46,5.0,75.5,0.0,62.0,14.0,False
42,221.94,0.0,3.36,2.0,79.0,0.0,135.0,377.0,False
43,94.5,5.0,4.07,1.0,75.53,0.39,374.0,374.0,True
44,355.2,1006.33,1.89,4.0,59.8,0.6,996.0,30.0,False
45,792.25,203.83,1.76,9.5,163.0,1.0,11.0,2.0,False
46,446.43,206.17,1.66,5.43,100.29,0.63,149.0,12.0,False
47,277.15,10.0,1.39,2.92,89.0,0.34,278.0,137.0,False
48,426.4,0.0,3.09,4.0,97.5,0.0,146.0,26.0,False
49,101.24,16.0,4.61,1.05,105.89,0.56,309.0,189.0,True
50,173.53,0.0,2.59,2.05,118.74,0.0,500.0,174.0,False
51,330.73,1071.25,2.27,3.91,62.27,0.88,230.0,73.0,False
52,187.32,1074.08,3.01,1.84,67.08,1.26,368.0,248.0,True
53,681.8,669.0,1.87,9.2,92.4,0.49,25.0,9.0,False
54,165.33,19.0,3.39,1.85,85.93,0.34,1574.0,117.0,False
55,416.38,143.0,2.13,5.88,124.88,1.25,58.0,32.0,False
56,835.25,0.0,1.69,12.25,76.5,0.0,11.0,3.0,False
57,63.37,10.0,3.5,0.94,48.14,0.02,501.0,238.0,True
58,389.82,706.5,3.05,4.55,108.64,0.2,6.0,44.0,False
59,388.09,239.17,2.15,4.55,83.36,0.4,265.0,55.0,False
60,870.75,1.0,1.26,12.75,69.5,0.67,159.0,140.0,False
61,495.5,112.0,2.57,6.62,55.38,0.69,108.0,31.0,False
62,362.91,1078.2,2.0,5.09,78.27,0.02,529.0,50.0,False
63,302.92,248.67,2.73,4.58,45.75,0.63,330.0,101.0,False
64,1170.33,180.0,1.21,18.67,164.0,0.93,35.0,7.0,False
65,645.0,1.0,2.11,9.5,51.0,0.33,358.0,62.0,False
66,39.2,492.67,3.88,1.6,155.07,0.8,16.0,16.0,True
67,717.8,67.0,1.65,12.0,70.0,1.59,106.0,25.0,False
68,463.89,80.0,1.9,7.0,115.11,0.51,286.0,222.0,False
69,434.7,499.33,2.36,7.0,116.4,0.24,59.0,13.0,False
70,241.48,25.0,3.69,3.39,119.43,1.38,117.0,42.0,True
71,333.87,267.17,3.28,5.4,54.73,0.63,115.0,48.0,False
72,164.77,35.0,3.77,1.95,78.98,1.15,169.0,51.0,True
73,435.46,222.0,3.04,6.31,79.23,0.93,127.0,87.0,False
74,274.75,307.5,3.54,4.88,54.31,0.69,332.0,125.0,False
75,379.0,130.33,3.01,6.83,63.58,0.45,14.0,12.0,False
76,79.0,774.0,2.22,1.87,75.4,0.0,413.0,407.0,False
77,27.33,481.5,3.45,1.75,123.08,326.0,22.0,13.0,True
78,763.8,90.5,2.0,15.8,67.2,1.03,11.0,0.0,False
79,477.89,12.0,2.0,8.78,55.11,1.48,192.0,11.0,False
80,355.6,12.0,3.29,5.4,124.47,1.98,234.0,17.0,True
81,111.39,0.0,3.41,1.91,53.74,0.0,465.0,48.0,False
82,349.18,90.0,2.45,7.27,77.36,1.59,168.0,71.0,False
83,63.33,64.0,3.39,1.61,84.11,1.38,130.0,168.0,True
84,277.27,0.0,3.02,5.33,30.8,0.0,792.0,144.0,False
85,424.11,20.0,1.89,9.0,41.89,1.39,439.0,36.0,False
86,215.91,265.5,3.81,2.49,60.71,0.64,951.0,159.0,True
87,257.0,0.5,3.72,4.1,106.1,0.67,374.0,139.0,False
88,592.57,1073.0,2.25,11.57,69.86,1.26,129.0,20.0,False
89,230.05,49.32,3.02,4.42,201.47,0.35,400.0,82.0,False
90,225.41,21.0,3.51,3.86,104.95,1.08,187.0,451.0,True
91,264.16,22.0,3.23,3.6,109.84,0.37,731.0,76.0,False
92,823.0,4.0,1.98,14.17,51.67,1.41,249.0,4.0,False
93,74.87,492.0,4.23,2.0,112.83,0.8,65.0,28.0,True
94,149.68,20.0,4.14,2.9,99.55,0.67,623.0,237.0,True
95,45.4,36.0,2.23,2.0,94.5,1.16,275.0,39.0,True
96,637.43,197.0,1.9,13.43,42.71,0.34,297.0,2.0,False
97,203.52,198.0,3.46,4.33,99.57,0.51,223.0,121.0,False
98,366.38,59.87,2.53,7.31,41.31,0.26,236.0,261.0,False
99,745.33,280.5,1.45,15.33,91.5,0.48,10.0,239.0,False
100,801.2,23.0,1.77,18.4,72.8,1.39,198.0,24.0,False
101,348.38,208.0,2.8,7.08,85.62,0.51,411.0,185.0,False
102,329.72,43.0,3.33,5.5,148.33,0.42,110.0,163.0,False
103,191.23,82.0,3.78,3.85,83.85,0.39,1483.0,87.0,False
104,807.2,221.0,1.81,19.0,267.2,0.51,388.0,149.0,False
105,178.17,223.0,3.62,4.13,96.52,1.59,355.0,161.0,True
106,319.86,416.5,2.59,6.79,53.0,0.45,423.0,86.0,False
107,255.88,88.0,2.92,5.71,35.71,1.15,503.0,254.0,False
108,237.96,2.0,3.52,4.26,127.3,0.69,354.0,158.0,False
109,26.0,497.0,0.92,7.0,184.0,363.0,3.0,3.0,False
110,430.0,3.0,2.64,6.87,57.6,0.66,1195.0,7.0,False
111,551.88,7.0,2.72,12.62,43.88,0.7,152.0,95.0,False
112,464.27,292.92,2.83,9.18,88.27,0.63,372.0,79.0,False
113,283.25,3.0,2.49,6.06,92.44,1.11,929.0,95.0,False
114,331.64,48.0,2.23,6.86,62.21,0.71,405.0,27.0,False
115,721.17,6.5,1.86,16.33,103.5,1.0,100.0,4.0,False
116,722.5,427.5,1.4,16.33,73.33,0.69,108.0,31.0,False
117,674.62,1151.13,1.88,13.12,129.5,0.2,186.0,26.0,False
118,228.11,55.0,3.06,5.32,65.05,0.71,602.0,104.0,False
119,874.33,1130.42,1.3,17.83,197.5,0.2,102.0,15.0,False
