,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,777.0,34.0,0.0,21.0,0.0,10.0,5.0,34.0,True
1,1604.5,438.0,0.92,20.0,22.0,0.81,2.0,1.0,False
2,1587.0,444.5,1.0,19.5,7.5,0.81,2.0,0.0,False
3,784.0,452.0,0.0,24.0,1.0,262.0,3.0,3.0,True
4,1592.5,487.0,0.59,20.5,26.0,0.81,4.0,3.0,False
5,1595.5,494.5,1.0,21.5,0.0,0.81,2.0,0.0,True
6,1610.0,26.0,0.07,21.5,3.5,1.53,110.0,8.0,False
7,1722.0,0.0,0.37,22.5,8.5,0.0,8.0,6.0,False
8,1608.0,1.0,0.54,22.5,2.0,1.0,5.0,3.0,False
9,795.0,504.33,0.0,24.0,5.0,277.0,3.0,2.0,False
10,796.0,508.33,0.0,24.0,0.0,278.0,0.0,2.0,False
11,1620.5,55.0,0.47,23.0,17.5,0.57,7.0,3.0,False
12,1631.5,663.5,0.72,23.0,32.0,0.94,5.0,0.0,False
13,1631.5,138.0,0.34,23.5,2.0,1.67,14.0,2.0,False
14,1647.0,1002.17,0.72,23.5,3.0,0.2,5.0,0.0,False
15,1647.0,1002.17,0.72,23.5,3.0,0.2,5.0,0.0,False
16,1650.5,1010.17,0.72,23.5,0.0,0.2,4.0,1.0,True
17,1765.0,700.5,0.92,23.5,3.0,0.94,2.0,1.0,True
18,1391.33,78.0,0.89,17.67,10.67,1.03,17.0,11.0,False
19,1131.33,96.0,0.95,17.33,16.67,1.13,14.0,0.0,False
20,1131.33,96.0,0.95,17.33,16.67,1.13,14.0,0.0,False
21,1695.0,102.0,0.54,26.5,3.5,1.13,6.0,2.0,False
22,1695.0,707.0,0.92,26.0,7.5,0.94,2.0,1.0,False
23,1726.0,0.0,0.97,26.0,24.5,0.0,4.0,1.0,False
24,1695.5,710.5,0.97,26.5,29.5,0.94,4.0,1.0,False
25,1717.5,130.0,0.72,27.5,6.0,1.13,5.0,0.0,False
26,1920.5,145.0,0.92,27.5,4.0,1.13,4.0,2.0,False
27,1725.5,1108.92,0.65,27.5,22.5,1.66,5.0,1.0,False
28,1184.33,73.0,0.3,18.33,1.67,0.84,205.0,0.0,False
29,1756.0,1148.83,0.72,27.5,0.0,1.66,10.0,0.0,True
30,1451.33,80.5,1.1,18.67,0.0,0.84,49.0,5.0,True
31,1833.5,244.67,0.92,27.5,3.0,1.0,2.0,1.0,True
32,1747.0,4.0,0.41,27.5,6.0,1.88,11.0,1.0,False
33,1758.0,4.0,0.5,28.0,0.5,1.75,7.0,2.0,True
34,1168.0,43.0,0.89,18.33,24.33,0.51,65.0,33.0,False
35,1793.0,0.0,0.22,28.0,3.5,0.0,13.0,15.0,False
36,1751.0,201.5,0.72,28.5,0.0,1.13,5.0,0.0,True
37,1839.5,202.5,0.76,28.5,7.5,1.13,9.0,0.0,False
38,1755.0,255.67,0.13,28.5,38.0,1.0,35.0,22.0,False
39,1181.33,743.0,1.12,19.0,30.67,0.94,24.0,29.0,False
40,1176.0,210.5,0.97,19.33,40.0,0.69,45.0,0.0,False
41,1967.0,764.0,0.86,30.0,0.5,0.94,7.0,0.0,True
42,1793.0,768.5,0.72,30.0,3.0,0.94,5.0,0.0,False
43,1812.0,237.5,0.92,30.0,2.5,1.13,2.0,1.0,True
44,1253.0,151.0,0.2,20.0,1.0,0.79,58.0,20.0,True
45,1777.5,56.0,0.21,30.0,3.0,1.07,7.0,23.0,True
46,1822.0,158.0,0.92,30.0,3.0,1.34,2.0,1.0,True
47,1890.0,255.33,0.92,31.5,2.5,1.0,1.0,2.0,True
48,1781.5,205.0,0.34,30.0,4.0,1.67,12.0,4.0,False
49,825.0,507.5,0.0,25.0,1.0,315.0,0.0,3.0,False
50,1192.67,110.5,0.53,20.0,4.0,0.53,26.0,6.0,False
51,1836.5,205.5,0.35,30.0,6.5,1.67,12.0,3.0,False
52,1225.33,0.0,1.08,20.0,0.0,0.0,155.0,0.0,True
53,1212.33,0.0,0.87,20.67,74.33,0.0,87.0,7.0,False
54,1846.0,2.0,0.4,31.5,0.0,1.5,20.0,5.0,True
55,1291.0,114.5,1.27,21.33,70.67,1.53,19.0,2.0,False
