,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,790.67,192.0,1.1,6.67,55.33,0.49,10.0,1.0,True
1,612.5,245.0,1.6,5.5,42.25,0.94,100.0,40.0,True
2,634.5,41.0,1.81,5.5,72.0,1.03,12.0,4.0,True
3,855.33,245.0,1.04,7.33,59.0,0.81,2.0,10.0,True
4,475.0,181.0,2.21,4.0,92.0,1.0,30.0,29.0,False
5,506.67,419.0,1.98,4.5,55.0,0.49,36.0,33.0,True
6,675.75,429.0,1.43,6.5,48.5,0.94,49.0,5.0,True
7,510.33,37.0,1.46,4.5,57.0,1.67,62.0,19.0,False
8,968.33,941.17,1.55,9.67,86.67,1.66,13.0,0.0,True
9,995.0,569.0,1.03,10.33,57.0,0.49,88.0,27.0,False
10,635.83,0.0,1.46,5.0,75.5,0.0,62.0,14.0,True
11,1003.33,601.5,1.09,10.67,57.67,0.94,14.0,8.0,True
12,446.43,206.17,1.66,5.43,100.29,0.63,149.0,12.0,True
13,1129.67,3.0,1.3,13.33,34.67,1.75,3.0,5.0,True
14,793.25,76.0,1.56,9.75,30.0,0.19,22.0,28.0,True
15,541.17,9.0,1.86,6.83,44.17,1.53,142.0,43.0,True
16,681.8,669.0,1.87,9.2,92.4,0.49,25.0,9.0,True
17,824.5,672.0,1.95,11.5,39.75,0.94,4.0,3.0,True
18,416.38,143.0,2.13,5.88,124.88,1.25,58.0,32.0,True
19,476.88,692.5,2.46,5.88,56.88,0.94,59.0,39.0,False
20,493.0,35.0,1.52,6.71,33.0,0.84,201.0,9.0,True
21,642.17,152.0,1.23,8.17,33.17,0.93,120.0,7.0,False
22,835.25,0.0,1.69,12.25,76.5,0.0,11.0,3.0,True
23,712.2,237.33,1.9,10.0,40.4,0.63,51.0,31.0,False
24,388.09,239.17,2.15,4.55,83.36,0.4,265.0,55.0,True
25,671.6,22.0,1.73,10.0,20.0,0.51,127.0,10.0,True
26,870.75,1.0,1.26,12.75,69.5,0.67,159.0,140.0,False
27,525.14,25.0,1.77,7.14,23.86,0.51,205.0,48.0,False
28,495.5,112.0,2.57,6.62,55.38,0.69,108.0,31.0,False
29,963.75,170.0,1.89,13.5,23.5,1.67,7.0,2.0,True
30,883.5,167.5,0.96,13.5,23.25,0.69,85.0,4.0,True
31,816.83,66.0,1.92,9.17,21.0,0.84,44.0,42.0,False
32,879.75,251.67,1.62,14.0,53.0,1.0,54.0,6.0,True
33,645.0,1.0,2.11,9.5,51.0,0.33,358.0,62.0,False
34,629.33,5.0,1.93,10.0,7.67,1.07,105.0,22.0,False
35,989.8,202.5,1.82,12.8,12.2,1.67,30.0,28.0,True
36,746.4,106.5,1.61,12.0,12.0,0.84,213.0,20.0,True
37,717.8,67.0,1.65,12.0,70.0,1.59,106.0,25.0,True
38,527.67,71.0,2.74,6.89,25.67,1.07,16.0,24.0,True
39,1212.33,0.0,0.87,20.67,74.33,0.0,87.0,7.0,False
40,463.89,80.0,1.9,7.0,115.11,0.51,286.0,222.0,True
41,907.5,253.0,1.76,16.0,12.75,1.0,19.0,0.0,False
42,1291.0,114.5,1.27,21.33,70.67,1.53,19.0,2.0,True
43,478.62,7.0,2.09,8.0,35.62,0.78,128.0,17.0,True
44,434.7,499.33,2.36,7.0,116.4,0.24,59.0,13.0,True
45,1019.75,272.5,0.75,17.75,56.75,1.13,57.0,25.0,False
46,967.0,1.0,1.48,19.25,40.75,1.0,71.0,1.0,True
47,829.6,1.0,1.2,15.4,21.2,0.5,59.0,23.0,False
48,484.78,33.0,2.56,8.56,19.67,0.83,197.0,22.0,False
49,435.46,222.0,3.04,6.31,79.23,0.93,127.0,87.0,False
50,557.43,1131.25,2.65,11.14,36.57,1.66,37.0,3.0,True
51,379.0,130.33,3.01,6.83,63.58,0.45,14.0,12.0,True
52,763.8,90.5,2.0,15.8,67.2,1.03,11.0,0.0,True
53,578.8,15.0,2.01,8.3,26.4,1.08,252.0,105.0,True
54,477.89,12.0,2.0,8.78,55.11,1.48,192.0,11.0,True
55,804.4,241.5,1.36,16.0,14.0,1.67,129.0,84.0,False
56,349.18,90.0,2.45,7.27,77.36,1.59,168.0,71.0,True
57,971.5,16.0,1.27,20.0,57.25,1.39,50.0,0.0,False
58,202.5,1.0,2.16,6.5,66.83,1.0,18.0,9.0,False
59,380.36,111.0,2.49,7.36,52.0,1.07,69.0,15.0,True
60,424.11,20.0,1.89,9.0,41.89,1.39,439.0,36.0,False
61,609.62,16.0,2.12,10.25,27.5,1.0,138.0,89.0,False
62,996.25,266.5,1.69,20.25,24.5,1.67,35.0,17.0,True
63,592.57,1073.0,2.25,11.57,69.86,1.26,129.0,20.0,True
64,823.0,4.0,1.98,14.17,51.67,1.41,249.0,4.0,True
65,637.14,0.0,2.8,12.57,51.86,0.0,34.0,1.0,True
66,831.0,0.0,2.01,18.2,18.8,0.0,13.0,7.0,True
67,764.17,769.5,1.51,15.33,12.17,0.94,182.0,7.0,True
68,435.0,21.0,2.98,9.1,20.2,1.0,152.0,34.0,False
69,1023.5,22.0,1.5,22.75,24.5,1.39,303.0,12.0,True
70,835.4,166.0,1.2,18.2,14.4,1.07,168.0,83.0,False
71,889.2,172.0,1.89,18.2,35.6,1.07,14.0,3.0,True
72,637.43,197.0,1.9,13.43,42.71,0.34,297.0,2.0,True
73,366.38,59.87,2.53,7.31,41.31,0.26,236.0,261.0,True
74,745.33,280.5,1.45,15.33,91.5,0.48,10.0,239.0,True
75,801.2,23.0,1.77,18.4,72.8,1.39,198.0,24.0,False
76,454.09,24.0,2.42,8.45,19.27,1.0,200.0,115.0,False
77,542.4,206.0,2.25,9.3,19.3,0.51,238.0,77.0,True
78,348.38,208.0,2.8,7.08,85.62,0.51,411.0,185.0,False
79,637.25,211.0,1.67,11.62,4.38,0.51,136.0,41.0,True
80,679.75,1.0,1.63,11.88,14.5,0.33,160.0,1.0,True
81,980.75,25.0,1.88,23.5,22.5,2.0,25.0,5.0,True
82,668.17,222.0,2.26,15.83,4.17,1.07,54.0,13.0,True
83,319.86,416.5,2.59,6.79,53.0,0.45,423.0,86.0,True
84,831.33,4.0,1.48,16.17,18.83,0.27,277.0,102.0,True
85,551.88,7.0,2.72,12.62,43.88,0.7,152.0,95.0,False
86,519.62,238.0,2.09,12.12,20.0,0.51,270.0,30.0,True
87,464.27,292.92,2.83,9.18,88.27,0.63,372.0,79.0,False
88,583.5,71.62,0.47,12.38,69.25,0.33,181.0,3.0,True
89,331.64,48.0,2.23,6.86,62.21,0.71,405.0,27.0,False
90,671.75,72.62,2.21,12.75,18.88,0.17,150.0,15.0,True
91,599.78,73.62,2.41,11.33,10.89,0.17,157.0,18.0,True
92,721.17,6.5,1.86,16.33,103.5,1.0,100.0,4.0,True
93,722.5,427.5,1.4,16.33,73.33,0.69,108.0,31.0,False
94,674.62,1151.13,1.88,13.12,129.5,0.2,186.0,26.0,True
95,595.57,259.0,1.68,14.43,5.71,0.51,191.0,15.0,True
96,710.86,293.5,0.89,15.29,38.71,1.67,228.0,11.0,False
97,790.0,1138.28,2.2,17.67,31.33,0.2,59.0,58.0,True
98,634.71,1.5,2.09,14.86,134.14,1.5,24.0,14.0,True
99,683.14,0.0,2.1,15.0,74.57,0.0,127.0,51.0,False
100,854.8,461.0,2.19,21.0,65.2,1.13,35.0,0.0,True
101,726.57,297.42,1.98,15.71,91.29,1.0,161.0,14.0,True
102,734.67,464.0,2.34,17.5,45.17,1.13,19.0,11.0,True
103,525.2,296.92,2.29,10.6,27.6,0.63,78.0,61.0,False
104,464.18,14.5,2.3,9.64,16.36,0.92,215.0,11.0,True
105,700.12,79.0,2.74,13.25,7.0,0.53,30.0,0.0,False
106,699.6,0.0,2.67,11.1,13.3,0.0,60.0,30.0,False
107,334.27,2.0,3.56,7.4,67.13,1.75,101.0,25.0,True
108,334.27,2.0,3.56,7.4,67.13,1.75,101.0,25.0,True
109,617.14,81.0,1.95,15.29,3.43,1.08,144.0,45.0,True
110,443.2,304.83,2.08,10.6,129.2,0.63,199.0,165.0,False
111,445.82,88.0,2.76,10.09,42.73,0.45,101.0,35.0,False
112,719.83,314.0,1.12,18.17,11.5,0.33,240.0,20.0,False
113,633.0,56.0,2.07,15.57,38.14,1.48,476.0,33.0,True
114,324.0,314.83,1.51,11.33,97.67,155.0,2.0,19.0,True
115,699.5,0.0,1.33,18.33,27.17,0.0,33.0,5.0,True
116,926.4,24.0,1.8,22.2,29.0,1.16,96.0,18.0,True
117,617.29,101.0,2.51,15.86,16.43,1.08,16.0,22.0,True
118,788.86,20.5,2.01,16.14,103.86,1.0,19.0,8.0,True
119,724.33,107.0,1.88,19.0,5.83,0.71,74.0,18.0,True
120,703.33,19.5,1.93,12.89,34.44,0.64,101.0,1.0,True
121,788.17,113.0,1.79,19.17,108.5,1.87,40.0,3.0,True
122,474.89,146.42,2.15,12.56,92.11,0.03,71.0,31.0,True
123,562.95,6.26,2.64,12.92,55.95,0.81,134.88,84.17,False
124,557.78,6.61,2.68,12.78,50.31,0.76,142.88,89.23,False
125,595.49,4.1,2.39,13.8,91.4,1.12,84.61,52.36,True
126,594.22,4.19,2.4,13.77,90.02,1.11,86.57,53.59,True
127,565.35,6.11,2.62,12.99,58.56,0.83,131.18,81.82,False
