,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,3.86,283.0,0.44,0.29,4.86,0.02,1288.0,183.0,False
1,34.8,9.0,1.65,0.8,15.2,1.45,1205.0,84.0,False
2,24.1,212.0,1.45,0.6,4.6,0.27,806.0,207.0,False
3,74.5,116.0,0.92,1.0,4.38,0.19,862.0,47.0,False
4,20.67,435.0,0.94,1.67,9.67,61.0,996.0,49.0,False
5,75.83,28.0,1.06,1.33,55.5,0.94,1344.0,71.0,False
6,399.0,142.0,0.63,2.4,14.4,0.99,1161.0,6.0,False
7,153.0,411.0,0.25,2.5,24.0,0.06,769.0,18.0,False
8,166.0,543.33,0.0,12.0,0.0,327.0,428.0,183.0,False
9,468.0,657.83,1.24,4.0,0.0,0.03,785.0,0.0,False
10,376.71,654.75,1.71,3.14,16.0,0.05,1507.0,665.0,False
11,154.78,878.67,2.0,0.96,23.7,1.26,1113.0,182.0,False
12,539.43,22.0,2.0,3.57,10.29,0.93,563.0,121.0,False
13,355.2,1006.33,1.89,4.0,59.8,0.6,996.0,30.0,False
14,1173.67,1026.17,0.03,16.0,2.67,0.2,1278.0,0.0,False
15,605.14,1046.33,1.43,7.43,0.0,0.06,437.0,207.0,False
16,505.71,0.0,2.09,7.29,9.43,0.0,621.0,26.0,False
17,516.14,8.0,2.16,9.14,11.43,1.08,343.0,234.0,False
18,212.05,0.0,2.65,3.63,20.95,0.0,1282.0,141.0,False
19,610.67,9.0,1.27,12.0,13.33,1.08,379.0,1.0,False
20,589.0,0.0,1.57,10.29,15.57,0.0,731.0,1.0,False
21,982.5,220.5,0.73,19.25,22.75,0.93,555.0,15.0,False
22,510.25,317.5,1.03,9.88,8.12,0.69,520.0,41.0,False
23,277.27,0.0,3.02,5.33,30.8,0.0,792.0,144.0,False
24,424.11,20.0,1.89,9.0,41.89,1.39,439.0,36.0,False
25,1035.0,24.0,1.3,23.5,8.75,1.39,1386.0,159.0,False
26,349.83,27.0,2.8,8.08,8.5,0.99,535.0,150.0,False
27,831.33,4.0,1.48,16.17,18.83,0.27,277.0,102.0,False
28,430.0,3.0,2.64,6.87,57.6,0.66,1195.0,7.0,False
29,536.78,6.0,2.02,10.78,18.67,0.38,1254.0,30.0,False
30,283.25,3.0,2.49,6.06,92.44,1.11,929.0,95.0,False
31,387.44,74.62,2.71,6.0,7.33,0.26,1206.0,33.0,False
