,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,6.55,44.0,3.0,3.0,12.82,0.5,115.0,38.0,False
1,11.75,2.0,6.0,3.0,32.17,0.44,120.0,3.0,True
2,20.2,22.0,4.0,3.0,24.2,0.97,346.0,152.0,False
3,13.0,28.0,5.0,3.0,0.0,0.01,21.0,72.0,True
4,14.33,135.0,4.0,3.0,9.5,0.5,66.0,40.0,False
5,14.5,175.0,7.0,3.0,56.88,0.5,287.0,416.0,False
6,25.4,59.0,4.0,3.0,3.0,0.11,175.0,49.0,False
7,26.0,66.0,4.0,3.0,2.25,0.11,52.0,5.0,True
8,0.36,8.0,4.0,3.0,2.64,0.0,237.0,21.0,False
9,3.86,15.0,5.0,3.0,23.57,0.0,191.0,225.0,False
10,2.89,75.0,8.0,4.0,16.33,0.0,262.0,48.0,False
11,3.8,0.0,4.0,3.0,23.2,0.0,255.0,160.0,False
12,1.2,21.0,4.0,3.0,8.0,0.0,109.0,5.0,False
13,7.86,215.0,6.0,3.0,1.71,0.0,60.0,37.0,True
14,7.67,90.0,3.0,3.0,0.0,0.0,17.0,18.0,False
15,3.56,467.0,7.0,6.0,4.0,0.0,26.0,23.0,False
16,4.31,91.0,9.0,5.0,34.46,0.0,345.0,98.0,False
17,4.75,250.0,6.0,4.0,28.88,0.0,95.0,132.0,False
18,5.0,255.0,4.0,4.0,1.0,0.0,23.0,26.0,True
19,7.44,7.0,8.0,4.0,3.11,0.65,48.0,33.0,False
20,1.33,8.0,4.0,4.0,5.0,0.65,183.0,34.0,False
21,1.33,13.0,5.0,4.0,4.17,0.0,300.0,0.0,True
22,2.9,15.0,8.0,5.0,4.8,0.0,528.0,2.0,True
23,1.54,299.0,8.0,4.0,27.85,0.0,223.0,136.0,False
24,4.44,12.0,8.0,7.0,30.33,0.0,179.0,76.0,False
25,4.4,23.0,5.0,3.0,11.2,0.0,171.0,2.0,True
26,12.0,104.0,3.0,3.0,23.33,0.0,17.0,8.0,False
27,5.11,93.0,7.0,3.0,9.89,0.0,80.0,51.0,False
28,2.38,347.0,6.0,4.0,38.05,0.0,458.0,125.0,False
29,12.25,113.0,4.0,3.0,25.5,0.0,16.0,5.0,False
30,7.96,421.0,7.0,5.0,0.92,0.0,549.0,468.0,True
31,3.5,0.0,4.0,3.0,2.0,0.0,255.0,1.0,True
32,11.4,1.0,4.0,3.0,10.0,0.67,229.0,3.0,True
33,3.33,37.0,6.0,3.0,25.0,0.0,3.0,15.0,False
34,4.92,0.0,6.0,5.0,55.75,0.0,267.0,159.0,False
35,8.0,50.0,6.0,4.0,49.6,0.0,330.0,22.0,False
36,2.23,59.0,10.0,4.0,16.08,0.0,91.0,54.0,False
37,2.25,96.0,9.0,4.0,24.19,0.0,165.0,105.0,False
38,1.2,107.0,3.0,3.0,21.4,0.0,223.0,1.0,True
39,6.0,134.0,7.0,3.0,6.9,0.0,5.0,168.0,False
40,7.5,3.0,5.0,4.0,3.83,0.0,16.0,16.0,False
41,1.67,38.0,3.0,4.0,22.44,0.0,355.0,4.0,True
42,1.3,147.0,4.0,3.0,9.2,0.0,208.0,9.0,False
43,4.0,173.0,6.0,5.0,4.29,0.0,41.0,22.0,False
44,6.45,175.0,8.0,4.0,5.73,0.0,21.0,10.0,False
45,4.91,179.0,6.0,3.0,5.09,0.0,200.0,257.0,False
46,4.64,168.0,3.0,4.0,9.64,0.0,112.0,13.0,False
47,11.0,19.0,4.0,3.0,16.0,0.0,617.0,80.0,False
48,3.23,5.0,9.0,4.0,34.15,0.05,49.0,49.0,False
49,6.67,555.0,4.0,4.0,29.67,0.0,40.0,12.0,False
50,5.29,0.0,3.0,3.0,22.86,0.0,485.0,4.0,True
51,6.56,242.0,4.0,3.0,11.44,0.0,195.0,43.0,False
52,4.58,1.0,9.0,5.0,35.42,0.4,48.0,69.0,False
53,8.29,255.0,4.0,4.0,2.71,0.0,776.0,55.0,False
54,4.0,264.0,3.0,3.0,57.2,0.0,25.0,6.0,False
55,6.9,14.0,4.0,3.0,56.4,0.02,322.0,26.0,False
56,27.6,72.0,9.0,5.0,7.1,0.0,51.0,36.0,False
57,23.75,77.0,4.0,3.0,1.25,0.0,16.0,11.0,True
58,10.8,83.0,9.0,6.0,1.7,0.0,114.0,141.0,True
59,12.2,85.0,7.0,5.0,20.4,0.0,263.0,96.0,False
60,17.57,89.0,5.0,3.0,2.29,0.5,73.0,79.0,False
61,39.4,204.0,4.0,4.0,22.8,0.06,18.0,2.0,False
62,10.25,198.0,4.0,3.0,17.38,0.0,63.0,0.0,False
63,9.11,198.0,5.0,5.0,15.56,0.0,160.0,7.0,False
64,15.56,93.0,7.0,3.0,29.89,0.0,266.0,52.0,False
65,4.29,211.0,6.0,6.0,28.36,0.0,63.0,38.0,False
66,4.38,212.0,5.0,4.0,6.25,0.0,126.0,34.0,False
67,2.25,220.0,8.0,5.0,71.17,0.0,26.0,68.0,False
68,9.29,4.0,5.0,3.0,15.43,0.44,37.0,90.0,False
