,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,1.67,5.0,3.0,2.0,17.5,0.91,210.0,147.0,False
1,3.43,1.0,3.0,2.0,9.57,1.0,310.0,220.0,True
2,2.46,12.0,4.0,2.0,28.62,1.85,338.0,180.0,False
3,2.91,16.0,4.0,2.0,12.09,1.85,205.0,161.0,False
4,3.67,108.0,2.0,2.0,3.5,0.96,61.0,109.0,True
5,7.91,74.0,2.0,2.0,12.91,1.85,623.0,303.0,False
6,2.0,15.0,3.0,2.0,4.43,0.0,440.0,103.0,True
7,4.29,104.0,3.0,2.0,35.0,1.85,374.0,132.0,False
8,8.75,112.0,3.0,2.0,28.58,1.85,285.0,143.0,False
9,4.36,114.0,3.0,2.0,17.91,1.85,325.0,37.0,False
10,4.36,114.0,3.0,2.0,17.91,1.85,325.0,37.0,False
11,6.29,116.0,2.0,2.0,5.29,1.85,650.0,213.0,False
12,6.0,69.0,3.0,2.0,14.67,0.99,361.0,26.0,False
13,9.6,6.0,3.0,2.0,14.6,0.27,348.0,23.0,False
14,0.0,146.0,2.0,2.0,0.0,0.0,257.0,1.0,True
15,3.0,161.0,2.0,2.0,0.0,0.0,131.0,131.0,True
16,1.0,70.0,2.0,2.0,0.33,0.0,91.0,97.0,True
17,1.0,86.0,4.0,2.0,3.33,0.0,195.0,122.0,True
18,0.5,9.0,2.0,2.0,2.0,0.77,133.0,3.0,True
19,0.0,10.0,3.0,2.0,0.0,0.76,434.0,0.0,True
20,2.0,17.0,3.0,2.0,3.6,0.0,298.0,42.0,True
21,1.5,19.0,2.0,2.0,17.0,0.0,524.0,0.0,False
22,2.5,2.0,2.0,2.0,10.5,1.25,162.0,0.0,True
23,2.5,26.0,2.0,2.0,1.5,0.0,141.0,2.0,True
24,2.6,3.0,3.0,2.0,19.3,0.38,607.0,359.0,False
25,7.18,4.0,3.0,2.0,0.55,0.5,404.0,284.0,True
26,1.33,27.0,3.0,2.0,1.56,0.0,640.0,77.0,True
27,6.2,17.0,2.0,2.0,9.4,0.01,407.0,10.0,False
28,0.5,16.0,2.0,2.0,21.0,0.0,158.0,0.0,False
29,0.0,46.0,2.0,2.0,0.0,0.0,557.0,0.0,True
30,0.12,47.0,3.0,2.0,0.0,0.0,199.0,44.0,True
31,3.5,6.0,3.0,2.0,6.25,0.14,224.0,1.0,True
32,0.0,0.0,2.0,2.0,0.0,0.0,543.0,0.0,True
33,2.6,145.0,2.0,2.0,0.0,0.0,152.0,5.0,True
34,1.5,5.0,2.0,2.0,0.0,0.03,397.0,37.0,True
35,3.33,148.0,2.0,2.0,3.0,0.0,171.0,9.0,True
36,4.8,150.0,3.0,2.0,1.4,0.0,287.0,12.0,True
37,6.06,7.0,3.0,2.0,3.62,0.99,116.0,113.0,True
38,1.67,14.0,2.0,2.0,4.17,1.0,478.0,0.0,True
39,1.0,68.0,1.0,2.0,15.0,1.0,171.0,2.0,False
40,0.88,68.0,1.0,2.0,21.38,0.0,349.0,54.0,False
41,4.57,94.0,3.0,2.0,13.71,1.0,171.0,79.0,False
42,0.0,0.0,1.0,2.0,0.0,0.0,214.0,0.0,True
43,0.0,78.0,1.0,2.0,0.0,0.0,361.0,12.0,True
44,7.6,84.0,3.0,2.0,2.0,0.0,197.0,15.0,True
45,1.22,164.0,3.0,2.0,10.78,0.0,424.0,32.0,False
46,2.0,21.0,4.0,2.0,2.0,1.0,484.0,8.0,True
47,3.25,90.0,2.0,2.0,9.0,0.01,86.0,74.0,False
48,2.14,17.0,2.0,2.0,20.0,0.63,282.0,7.0,False
49,9.33,20.0,2.0,2.0,9.0,1.01,261.0,0.0,False
50,0.0,0.0,3.0,2.0,0.0,0.0,473.0,8.0,True
51,4.33,161.0,2.0,2.0,4.67,0.0,267.0,2.0,True
52,3.33,115.0,2.0,2.0,0.78,0.0,228.0,17.0,True
53,0.5,1.0,2.0,2.0,11.0,0.0,137.0,33.0,False
54,2.0,5.0,2.0,2.0,1.5,0.47,154.0,159.0,True
55,4.0,120.0,3.0,2.0,1.5,0.0,624.0,0.0,True
56,1.8,65.0,3.0,2.0,5.8,0.0,178.0,6.0,False
57,1.4,87.0,3.0,2.0,0.0,0.0,240.0,2.0,True
58,2.0,11.0,3.0,2.0,3.75,0.0,534.0,0.0,True
59,0.0,136.0,2.0,2.0,0.0,0.0,235.0,43.0,True
60,2.56,91.0,3.0,2.0,18.89,0.0,675.0,166.0,False
61,0.8,155.0,1.0,2.0,5.2,0.0,325.0,5.0,False
62,5.67,31.0,2.0,2.0,36.67,1.18,191.0,123.0,False
63,4.25,31.0,3.0,2.0,3.75,0.25,171.0,116.0,True
64,5.29,7.0,4.0,2.0,4.43,1.09,603.0,150.0,True
65,0.33,63.0,3.0,2.0,12.0,0.0,144.0,22.0,False
66,4.8,8.0,2.0,2.0,7.4,0.0,550.0,117.0,False
67,9.46,71.0,3.0,2.0,5.54,0.12,296.0,254.0,False
68,2.0,9.0,1.0,2.0,10.25,0.0,306.0,103.0,False
69,3.75,0.0,2.0,2.0,23.25,0.0,395.0,18.0,False
70,4.6,3.0,2.0,2.0,0.0,0.0,589.0,120.0,True
71,5.41,10.0,2.0,2.0,18.41,0.37,230.0,18.0,False
72,7.29,25.0,4.0,2.0,22.29,0.01,424.0,109.0,False
73,10.43,0.0,2.0,2.0,24.43,0.0,523.0,85.0,False
74,0.75,175.0,2.0,2.0,8.0,0.0,194.0,38.0,False
75,1.4,37.0,2.0,2.0,20.4,1.38,221.0,129.0,False
76,5.88,66.0,3.0,2.0,13.5,1.1,281.0,20.0,False
77,0.09,1.0,2.0,2.0,21.27,0.5,388.0,70.0,False
78,3.29,103.0,3.0,2.0,4.86,0.77,170.0,102.0,True
79,4.5,30.0,2.0,2.0,35.5,1.03,215.0,100.0,False
80,2.95,8.08,2.52,2.0,4.47,0.0,441.65,8.95,False
81,4.64,12.74,2.25,2.0,7.04,0.01,423.56,9.5,False
82,3.64,9.97,2.41,2.0,5.51,0.01,434.29,9.17,False
83,1.52,4.17,2.75,2.0,2.3,0.0,456.82,8.49,True
84,1.93,5.29,2.69,2.0,2.92,0.0,452.47,8.62,True
85,4.91,13.46,2.21,2.0,7.45,0.01,420.72,9.58,False
86,3.76,10.3,2.39,2.0,5.7,0.01,433.0,9.21,False
87,0.37,1.0,2.94,2.0,0.56,0.0,469.1,8.12,True
88,1.44,3.94,2.77,2.0,2.18,0.0,457.7,8.46,True
89,5.11,14.02,2.18,2.0,7.75,0.01,418.55,9.65,False
90,0.23,0.64,2.96,2.0,0.35,0.0,470.51,8.08,True
91,3.62,9.92,2.42,2.0,5.49,0.01,434.47,9.17,False
92,4.15,11.39,2.33,2.0,6.3,0.01,428.79,9.34,False
93,3.53,9.69,2.43,2.0,5.36,0.01,435.37,9.14,False
94,4.14,11.35,2.33,2.0,6.27,0.01,428.95,9.33,False
95,1.82,4.98,2.71,2.0,2.76,0.0,453.65,8.59,True
96,2.19,6.01,2.65,2.0,3.33,0.0,449.65,8.71,True
97,1.01,2.77,2.84,2.0,1.53,0.0,462.25,8.33,True
98,6.1,16.74,2.02,2.0,9.25,0.01,408.02,9.97,False
99,1.76,4.81,2.72,2.0,2.66,0.0,454.31,8.57,True
100,3.19,8.74,2.49,2.0,4.84,0.01,439.05,9.03,False
101,4.69,12.85,2.24,2.0,7.11,0.01,423.09,9.51,False
102,3.96,10.87,2.36,2.0,6.01,0.01,430.8,9.28,False
103,4.2,11.53,2.32,2.0,6.37,0.01,428.25,9.36,False
104,3.52,9.65,2.43,2.0,5.33,0.01,435.55,9.13,False
105,5.46,14.96,2.12,2.0,8.27,0.01,414.92,9.76,False
106,0.28,0.75,2.96,2.0,0.42,0.0,470.07,8.09,True
107,0.03,0.09,2.99,2.0,0.05,0.0,472.65,8.01,True
108,3.29,9.03,2.47,2.0,4.99,0.01,437.94,9.06,False
109,3.72,10.19,2.4,2.0,5.64,0.01,433.43,9.2,False
110,5.17,14.17,2.17,2.0,7.84,0.01,417.99,9.67,False
111,0.7,1.92,2.89,2.0,1.06,0.0,465.55,8.23,True
