,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,1.67,5.0,3.0,2.0,17.5,0.91,210.0,147.0,False
1,2.45,22.0,2.0,1.0,20.55,17.0,173.0,17.0,False
2,3.57,8.0,5.0,2.0,18.64,1.76,415.0,112.0,False
3,3.5,69.0,5.0,1.0,24.83,54.0,24.0,165.0,False
4,4.0,38.0,3.0,1.0,14.67,28.0,470.0,248.0,False
5,3.67,108.0,2.0,2.0,3.5,0.96,61.0,109.0,False
6,1.5,5.0,2.0,1.0,18.0,5.0,173.0,6.0,False
7,5.0,39.0,2.0,2.0,0.0,1.85,17.0,1.0,True
8,6.89,158.0,7.0,1.0,10.89,113.0,16.0,9.0,False
9,5.12,4.0,4.0,1.0,23.5,3.0,106.0,36.0,False
10,8.0,67.0,3.0,2.0,1.33,1.85,31.0,19.0,False
11,5.44,180.0,4.0,1.0,4.78,116.0,601.0,25.0,False
12,1.5,12.0,6.0,2.0,24.0,0.0,691.0,190.0,False
13,4.0,217.0,3.0,2.0,40.0,0.07,628.0,85.0,False
14,10.24,86.0,6.0,2.0,11.0,1.85,173.0,42.0,False
15,3.78,92.0,3.0,2.0,38.56,1.85,235.0,291.0,False
16,8.25,18.0,3.0,2.0,43.25,0.5,27.0,2.0,False
17,6.5,123.0,3.0,2.0,21.0,1.85,17.0,4.0,False
18,1.7,54.0,4.0,2.0,0.7,1.0,76.0,38.0,False
19,4.5,77.0,2.0,1.0,7.5,54.0,15.0,8.0,False
20,0.5,17.0,2.0,1.0,7.0,14.0,290.0,1.0,False
21,7.91,85.0,5.0,1.0,6.46,62.0,288.0,295.0,False
22,8.5,219.0,3.0,1.0,14.25,155.0,80.0,11.0,False
23,4.14,20.0,5.0,1.0,5.71,14.0,81.0,12.0,False
24,14.43,25.0,3.0,1.0,15.43,4.0,1.0,129.0,False
25,1.08,17.0,3.0,1.0,0.15,14.0,15.0,12.0,False
26,11.5,119.0,4.0,2.0,8.25,0.0,41.0,2.0,False
27,13.0,28.0,5.0,3.0,0.0,0.01,21.0,72.0,True
28,4.5,57.0,3.0,1.0,22.58,54.0,267.0,144.0,False
29,1.8,66.0,2.0,1.0,6.0,62.0,206.0,52.0,False
30,14.35,57.0,3.0,1.0,1.76,49.0,115.0,86.0,False
31,12.67,169.0,3.0,2.0,92.33,1.0,37.0,6.0,False
