,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,2.0,0.0,1.0,1.0,20.0,0.0,106.0,55.0,False
1,2.0,21.0,3.0,1.0,4.67,19.0,267.0,140.0,False
2,2.0,25.0,2.0,1.0,24.0,23.0,80.0,275.0,False
3,1.5,92.0,2.0,1.0,17.5,70.0,252.0,3.0,False
4,1.0,4.0,1.0,1.0,0.0,2.0,1.0,1.0,True
5,1.0,3.0,5.0,1.0,1.0,2.0,532.0,53.0,False
6,2.0,9.0,1.0,1.0,0.0,3.0,5.0,3.0,False
7,1.5,79.0,2.0,1.0,28.5,64.0,4.0,5.0,False
8,5.1,40.0,4.0,2.0,6.8,1.85,71.0,76.0,False
9,2.8,116.0,2.0,1.0,5.4,78.0,289.0,1.0,False
10,5.12,4.0,4.0,1.0,23.5,3.0,106.0,36.0,False
11,6.0,7.0,1.0,1.0,0.0,6.0,5.0,7.0,False
12,3.0,12.0,2.0,1.0,4.0,9.0,51.0,5.0,False
13,19.5,65.0,1.0,1.0,0.0,39.0,48.0,32.0,False
14,1.0,211.0,2.0,1.0,3.0,154.0,349.0,0.0,False
15,20.0,209.0,1.0,1.0,0.0,132.0,137.0,151.0,False
16,2.57,36.0,13.0,3.0,1.89,0.0,2881.0,2378.0,False
17,9.67,306.0,5.0,1.0,74.89,236.0,432.0,470.0,False
18,9.71,380.0,7.0,1.0,30.86,47.0,9.0,11.0,False
19,5.89,427.0,7.0,2.0,53.53,0.96,435.0,234.0,False
20,2.73,52.0,19.0,2.0,5.61,1.0,1429.0,1152.0,False
21,15.0,472.0,4.0,1.0,5.25,355.0,19.0,36.0,False
22,1.0,1.0,1.0,1.0,0.0,1.0,50.0,18.0,False
23,5.14,569.0,4.0,1.0,31.86,442.0,110.0,21.0,False
24,4.43,184.0,4.0,1.0,31.0,127.0,408.0,107.0,False
25,2.0,35.0,1.0,1.0,0.0,32.0,197.0,195.0,False
26,8.5,219.0,3.0,1.0,14.25,155.0,80.0,11.0,False
27,0.0,220.0,1.0,1.0,0.0,156.0,3657.0,0.0,False
28,4.0,45.0,1.0,1.0,43.0,34.0,23.0,18.0,False
29,26.67,34.0,3.0,1.0,11.33,28.0,131.0,6.0,False
30,15.0,293.0,1.0,1.0,34.0,183.0,429.0,7.0,False
31,2.67,306.0,2.0,1.0,36.67,195.0,741.0,0.0,False
32,7.67,804.0,1.0,1.0,9.33,631.0,675.0,627.0,False
33,31.58,860.0,8.0,1.0,18.42,678.0,371.0,77.0,False
34,2.0,143.0,1.0,1.0,5.0,48.0,27.0,31.0,False
35,18.43,158.0,4.0,1.0,2.14,103.0,144.0,46.0,False
36,11.89,299.0,3.0,1.0,124.21,215.0,157.0,232.0,False
37,19.67,331.0,2.0,1.0,38.67,239.0,163.0,140.0,False
38,10.46,334.0,9.0,1.0,3.39,242.0,80.0,75.0,False
39,0.0,342.0,1.0,1.0,0.0,248.0,81.0,0.0,False
40,12.39,173.0,7.0,1.0,56.1,111.0,725.0,422.0,False
41,3.88,47.0,10.0,1.0,12.29,37.0,232.0,61.0,False
42,4.56,49.0,9.0,1.0,2.67,39.0,114.0,92.0,False
43,23.67,398.0,5.0,1.0,1.33,283.0,146.0,24.0,False
44,13.33,10.0,1.0,1.0,7.33,9.0,40.0,3.0,False
45,6.0,51.0,3.0,1.0,3.4,39.0,83.0,24.0,False
46,11.4,12.0,1.0,1.0,5.6,10.0,40.0,24.0,False
47,5.35,229.0,17.0,2.0,14.63,0.0,4977.0,4144.0,False
48,20.26,467.0,10.0,1.0,32.4,326.0,3119.0,2924.0,False
49,22.72,477.0,7.0,2.0,17.08,0.89,692.0,964.0,False
50,12.52,1193.0,16.0,2.0,131.64,0.96,385.0,653.0,False
51,18.88,507.0,19.0,1.0,27.95,357.0,1475.0,858.0,False
52,4.5,552.0,2.0,1.0,16.12,397.0,227.0,42.0,False
53,0.0,2.0,1.0,1.0,0.0,1.0,117.0,0.0,False
54,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,True
55,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,True
56,3.13,73.0,8.0,1.0,16.6,53.0,6.0,275.0,False
57,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,True
58,7.67,58.0,3.0,3.0,10.67,0.01,49.0,29.0,False
59,4.91,189.0,8.0,1.0,17.09,26.0,100.0,166.0,False
60,4.0,200.0,1.0,1.0,25.0,19.0,14.0,4.0,False
