,nuc,aexp,nd,ns,age,asexp,la,ld,target
0,3.86,28.0,7.0,2.0,20.0,1.85,829.0,367.0,0
1,5.12,148.0,7.0,1.0,13.71,95.0,927.0,98.0,0
2,1.5,12.0,6.0,2.0,24.0,0.0,691.0,190.0,0
3,0.0,23.0,5.0,1.0,0.0,12.0,1300.0,0.0,0
4,3.68,27.0,10.0,2.0,4.68,1.0,1273.0,305.0,0
5,2.59,33.0,6.0,2.0,1.18,1.0,621.0,266.0,1
6,7.17,117.0,3.0,2.0,6.83,1.85,698.0,46.0,0
7,7.71,122.0,5.0,1.0,1.57,76.0,2076.0,278.0,0
8,4.0,38.0,8.0,2.0,6.45,0.0,1661.0,593.0,0
9,0.12,127.0,5.0,1.0,10.94,81.0,1420.0,15.0,0
10,5.5,42.0,5.0,2.0,7.38,1.0,965.0,312.0,0
11,1.59,140.0,7.0,1.0,25.3,92.0,1923.0,399.0,0
12,5.38,147.0,9.0,1.0,17.6,97.0,2057.0,250.0,0
13,8.0,157.0,7.0,1.0,8.67,106.0,1161.0,465.0,0
14,14.14,8.0,13.0,1.0,19.76,6.0,1057.0,92.0,0
15,3.95,60.0,8.0,2.0,7.12,1.0,863.0,245.0,0
16,3.42,65.0,8.0,1.0,5.18,44.0,1162.0,315.0,0
17,2.71,66.0,5.0,1.0,3.21,45.0,1129.0,489.0,0
18,5.06,74.0,9.0,2.0,6.21,1.0,735.0,287.0,0
19,2.6,75.0,6.0,1.0,0.4,52.0,848.0,239.0,0
20,15.23,0.0,5.0,1.0,6.69,0.0,755.0,50.0,0
21,2.79,14.0,9.0,1.0,8.74,12.0,1106.0,111.0,0
22,10.25,165.0,5.0,2.0,11.38,1.85,558.0,225.0,0
23,4.55,114.0,10.0,2.0,32.59,0.0,1372.0,499.0,0
24,14.22,37.0,6.0,1.0,49.06,29.0,878.0,474.0,0
25,11.54,132.0,6.0,2.0,39.84,1.0,1002.0,700.0,0
26,8.85,64.0,6.0,1.0,3.59,60.0,632.0,16.0,0
27,0.33,141.0,2.0,2.0,28.0,1.0,1472.0,0.0,0
28,10.2,152.0,8.0,2.0,10.47,1.0,2241.0,273.0,0
29,0.0,2.0,5.0,1.0,0.0,0.0,949.0,0.0,1
30,0.67,9.0,5.0,1.0,0.0,6.0,819.0,19.0,0
31,0.23,41.0,6.0,1.0,0.38,33.0,908.0,1.0,0
32,7.8,23.0,5.0,1.0,0.0,18.0,759.0,13.0,0
33,2.95,28.0,7.0,2.0,27.95,1.12,839.0,223.0,0
34,5.89,58.0,6.0,1.0,8.06,46.0,833.0,17.0,0
35,3.29,83.0,7.0,1.0,11.39,69.0,1160.0,28.0,0
36,0.47,87.0,5.0,1.0,4.53,73.0,1078.0,6.0,0
37,9.56,54.0,11.0,4.0,0.25,0.33,1596.0,4.0,1
38,13.65,0.0,12.0,3.0,36.7,0.0,1174.0,9.0,1
39,0.3,120.0,5.0,1.0,0.0,4.0,828.0,0.0,0
40,0.39,6.0,2.0,2.0,0.67,0.17,1034.0,8.0,1
41,1.78,11.0,6.0,2.0,11.33,0.6,1682.0,345.0,0
42,2.83,284.0,9.0,3.0,26.33,0.0,1215.0,347.0,0
43,3.0,12.0,4.0,2.0,3.5,0.77,1571.0,1.0,1
44,0.0,22.0,8.0,1.0,0.0,2.0,1623.0,83.0,0
45,3.62,23.0,5.0,1.0,1.69,12.0,668.0,12.0,0
46,2.73,381.0,4.0,2.0,12.8,0.0,1274.0,22.0,0
47,0.0,1.0,5.0,1.0,0.0,0.0,779.0,63.0,0
48,2.87,426.0,8.0,2.0,10.27,0.0,896.0,159.0,0
49,3.52,119.0,9.0,3.0,17.29,0.0,1154.0,240.0,0
50,0.0,0.0,7.0,1.0,0.0,0.0,1338.0,0.0,1
51,6.25,31.0,6.0,1.0,0.0,31.0,880.0,74.0,0
52,7.09,44.0,7.0,1.0,0.0,44.0,1211.0,386.0,0
53,6.41,70.0,5.0,1.0,0.0,70.0,964.0,380.0,0
54,7.8,15.0,7.0,1.0,0.0,15.0,598.0,231.0,0
55,22.29,57.0,5.0,1.0,0.0,57.0,1533.0,269.0,0
56,2.71,3.0,11.0,1.0,0.0,3.0,1133.0,408.0,0
57,7.67,110.0,8.0,1.0,0.0,110.0,652.0,4.0,0
58,1.44,52.0,4.0,2.0,4.11,0.0,988.0,213.0,0
59,2.43,3.0,4.0,1.0,13.57,1.0,915.0,2.0,1
60,3.19,127.0,5.0,2.0,4.31,0.0,663.0,155.0,0
61,5.38,50.0,5.0,2.0,5.69,1.0,733.0,320.0,0
62,8.75,52.0,8.0,1.0,0.0,52.0,1764.0,61.0,0
63,0.0,5.0,2.0,1.0,0.0,5.0,1201.0,0.0,0
64,5.62,171.0,7.0,2.0,4.69,0.0,767.0,461.0,0
65,4.59,158.0,8.0,3.0,7.36,0.0,1587.0,393.0,0
66,5.83,66.0,8.0,2.0,11.25,1.0,543.0,150.0,0
67,6.8,23.0,4.0,3.0,8.3,0.0,918.0,45.0,0
68,3.67,188.0,6.0,3.0,13.08,0.0,689.0,6.0,0
69,5.62,268.0,7.0,2.0,22.19,0.0,2062.0,232.0,0
70,1.1,186.0,4.0,1.0,11.2,9.0,1137.0,43.0,0
71,7.33,57.0,4.0,1.0,7.89,49.0,1164.0,15.0,0
72,14.35,99.0,7.0,3.0,8.41,0.0,686.0,400.0,0
73,7.5,0.0,5.0,1.0,2.2,0.0,1165.0,7.0,1
74,11.14,15.0,5.0,2.0,1.43,1.0,508.0,1.0,1
75,1.94,154.0,4.0,1.0,7.22,30.0,894.0,51.0,0
76,0.87,210.0,8.0,3.0,31.06,0.0,2076.0,46.0,0
77,3.0,161.0,3.0,1.0,0.1,37.0,979.0,101.0,0
78,3.21,8.0,9.0,2.0,2.26,1.0,727.0,272.0,1
79,3.18,163.0,6.0,1.0,8.64,39.0,889.0,298.0,0
80,5.0,20.0,7.0,2.0,10.42,1.0,1211.0,170.0,0
81,6.4,11.0,7.0,2.0,1.5,1.01,730.0,144.0,1
82,0.13,15.0,7.0,1.0,0.0,3.0,789.0,46.0,0
83,9.33,23.0,4.0,2.0,39.5,1.0,1090.0,153.0,0
84,0.08,0.0,4.0,1.0,6.25,0.0,1457.0,0.0,0
85,10.0,31.0,6.0,2.0,4.29,1.0,671.0,89.0,0
86,13.57,79.0,11.0,3.0,32.08,0.02,1076.0,134.0,0
87,3.14,33.0,6.0,2.0,6.07,0.0,1547.0,75.0,0
88,0.92,37.0,4.0,1.0,7.25,4.0,1009.0,7.0,0
89,2.05,80.0,3.0,1.0,23.57,54.0,1218.0,231.0,0
90,0.4,22.0,8.0,1.0,0.0,10.0,1148.0,28.0,0
91,14.22,1.0,4.0,2.0,20.0,1.0,805.0,104.0,0
92,0.39,50.0,8.0,2.0,3.29,0.0,1430.0,132.0,0
93,25.7,112.0,9.0,4.0,8.78,0.0,1055.0,275.0,0
94,13.0,0.0,3.0,2.0,6.6,0.0,806.0,8.0,0
95,1.29,3.0,3.0,1.0,5.29,3.0,1881.0,80.0,0
96,12.33,587.0,7.0,2.0,25.83,0.0,1127.0,232.0,0
97,4.33,262.0,6.0,2.0,7.78,0.0,981.0,3.0,0
98,2.91,34.0,5.0,3.0,20.18,0.0,1057.0,15.0,0
99,1.12,65.0,7.0,1.0,15.38,8.0,760.0,211.0,0
100,4.81,16.0,10.0,1.0,11.56,16.0,840.0,109.0,0
101,4.67,280.0,3.0,1.0,6.5,52.0,1606.0,3.0,0
102,18.13,208.0,10.0,3.0,30.17,0.0,1008.0,283.0,0
103,1.43,116.0,6.0,2.0,0.0,0.0,887.0,413.0,1
104,6.8,1.0,4.0,2.0,0.8,0.0,873.0,2.0,1
105,1.55,159.0,5.0,2.0,9.0,0.0,979.0,45.0,0
106,13.42,164.0,4.0,2.0,29.5,0.06,689.0,62.0,0
107,19.36,7.0,7.0,2.0,9.07,0.01,1104.0,0.0,0
108,11.79,175.0,5.0,2.0,22.84,0.05,1513.0,106.0,0
109,5.38,348.0,6.0,3.0,8.0,0.0,922.0,58.0,0
110,8.76,24.0,8.0,2.0,35.79,0.0,615.0,32.0,0
111,0.27,1.0,5.0,2.0,0.47,0.0,949.0,10.0,0
112,2.44,20.0,6.0,2.0,8.83,0.42,1384.0,388.0,0
113,3.5,1.0,3.0,2.0,12.75,0.5,744.0,89.0,0
114,0.83,11.0,6.0,2.0,1.17,0.7,985.0,0.0,1
115,24.0,271.0,6.0,2.0,40.9,0.0,928.0,399.0,0
116,1.89,148.0,6.0,2.0,10.72,0.0,846.0,61.0,0
117,1.91,40.0,4.0,2.0,13.18,0.0,1076.0,0.0,0
118,0.39,41.0,5.0,2.0,0.0,0.0,1886.0,3.0,1
119,1.28,0.0,8.0,3.0,31.17,0.0,1150.0,58.0,1
120,1.07,76.0,3.0,1.0,13.67,9.0,996.0,27.0,0
121,1.22,52.0,7.0,2.0,0.56,0.0,835.0,19.0,1
122,1.62,54.0,4.0,2.0,0.62,0.0,1098.0,0.0,1
123,1.62,55.0,6.0,2.0,5.85,0.0,852.0,400.0,0
124,6.21,8.0,9.0,2.0,50.18,1.18,762.0,108.0,0
125,0.25,2.0,3.0,1.0,4.25,0.0,1241.0,18.0,0
126,2.81,56.0,5.0,2.0,16.0,0.0,954.0,269.0,0
127,3.77,61.0,7.0,2.0,6.67,0.01,1424.0,115.0,0
128,25.52,277.0,9.0,3.0,18.63,0.0,2062.0,39.0,0
129,27.25,279.0,5.0,3.0,23.5,0.01,975.0,17.0,0
130,6.56,10.0,6.0,2.0,47.39,1.44,1480.0,209.0,0
131,5.17,284.0,4.0,2.0,11.42,0.0,870.0,8.0,0
132,16.38,116.0,7.0,3.0,18.48,0.0,688.0,140.0,0
133,0.4,4.0,4.0,2.0,12.67,0.38,780.0,51.0,0
134,4.05,84.0,10.0,2.0,21.09,0.0,1491.0,108.0,0
135,0.53,0.0,5.0,1.0,6.13,0.0,1832.0,0.0,1
136,2.31,84.0,4.0,1.0,11.88,34.0,1600.0,46.0,0
137,4.7,94.0,10.0,2.0,25.0,0.0,795.0,33.0,0
138,1.02,1.0,8.0,1.0,17.83,1.0,760.0,0.0,1
139,7.94,100.0,4.0,3.0,90.29,0.0,1079.0,54.0,0
140,6.71,101.0,7.0,2.0,23.53,0.0,723.0,106.0,0
141,6.33,309.0,3.0,3.0,4.33,0.0,1007.0,7.0,0
142,6.53,103.0,7.0,2.0,21.21,0.0,654.0,112.0,0
143,0.88,1.0,4.0,1.0,13.88,1.0,1377.0,8.0,0
144,2.6,2.0,9.0,3.0,19.4,0.44,893.0,417.0,1
145,3.5,3.0,7.0,2.0,6.31,0.88,1533.0,129.0,0
146,0.03,2.0,6.0,2.0,1.31,0.0,944.0,491.0,1
147,6.41,341.0,8.0,1.0,11.32,175.0,1450.0,235.0,0
148,23.44,316.0,6.0,3.0,12.0,0.0,839.0,5.0,0
149,8.14,8.0,3.0,1.0,6.14,8.0,1403.0,8.0,0
150,8.32,28.0,9.0,4.0,36.54,0.27,1239.0,133.0,0
151,0.8,112.0,4.0,2.0,8.4,0.0,1518.0,86.0,0
152,0.12,0.0,6.0,2.0,12.0,0.0,964.0,6.0,0
153,16.0,2.0,3.0,2.0,44.5,0.0,698.0,83.0,0
154,8.25,10.0,8.0,2.0,26.75,0.0,1617.0,186.0,0
155,5.67,1.0,5.0,2.0,36.27,0.0,1738.0,104.0,0
156,3.68,38.0,6.0,3.0,62.12,0.0,1534.0,175.0,0
157,0.25,29.0,4.0,2.0,1.08,0.96,1961.0,2.0,1
158,4.31,25.0,6.0,3.0,19.0,0.07,935.0,117.0,0
159,29.31,65.0,5.0,3.0,9.69,0.49,769.0,43.0,0
160,3.92,220.0,5.0,2.0,43.71,0.0,1231.0,95.0,0
