,nuc,arexp,nd,ns,age,la,ld,target
0,11.0,222.0,3.0,1.0,0.6,164.0,0.0,True
1,18.75,227.0,3.0,1.0,0.0,145.0,53.0,True
2,34.8,246.0,3.0,1.0,2.6,106.0,47.0,True
3,22.5,247.0,3.0,1.0,6.67,146.0,35.0,False
4,12.38,256.0,4.0,1.0,15.88,379.0,94.0,False
5,8.33,269.0,2.0,1.0,2.0,165.0,76.0,True
6,38.8,271.0,3.0,1.0,2.0,171.0,87.0,True
7,23.6,272.0,3.0,1.0,1.4,91.0,34.0,True
8,0.75,286.0,2.0,1.0,0.0,348.0,0.0,True
9,11.78,287.0,3.0,1.0,32.33,138.0,10.0,False
10,0.0,293.0,3.0,1.0,0.0,390.0,0.0,True
11,31.6,319.0,3.0,1.0,4.0,67.0,11.0,False
12,26.0,326.0,3.0,1.0,0.0,54.0,57.0,True
13,13.67,333.0,4.0,1.0,8.78,167.0,37.0,False
14,20.33,337.0,3.0,1.0,1.83,132.0,17.0,True
15,15.0,340.0,3.0,1.0,4.5,76.0,4.0,True
16,0.0,365.0,2.0,1.0,0.0,119.0,0.0,True
17,7.0,379.0,3.0,1.0,2.6,64.0,9.0,True
18,2.0,383.0,2.0,1.0,39.25,254.0,111.0,False
19,17.5,412.0,2.0,1.0,0.0,389.0,0.0,True
20,24.17,419.0,3.0,1.0,5.5,81.0,12.0,False
21,5.41,453.0,3.0,1.0,16.97,285.0,73.0,False
22,55.33,457.0,3.0,1.0,0.33,103.0,51.0,True
23,35.4,484.0,3.0,1.0,5.4,109.0,14.0,False
24,14.17,487.0,3.0,1.0,8.33,170.0,18.0,False
25,21.17,547.0,3.0,1.0,2.17,328.0,110.0,True
26,1.5,283.0,2.0,1.0,37.5,172.0,34.0,False
27,13.5,301.5,3.0,1.0,32.75,79.0,65.0,False
28,29.5,329.5,3.0,1.0,3.5,49.0,34.0,True
29,40.5,352.17,3.0,1.0,25.5,105.0,38.0,False
30,13.67,378.83,3.0,1.0,3.67,46.0,34.0,True
31,63.67,314.0,4.0,1.0,13.17,191.0,84.0,False
32,11.5,234.0,3.0,1.0,24.25,127.0,47.0,False
33,50.0,404.83,3.0,1.0,0.33,171.0,0.0,True
34,37.0,413.33,3.0,1.0,16.67,109.0,5.0,False
35,52.17,389.5,3.0,1.0,3.83,126.0,15.0,True
36,6.0,418.67,2.0,1.0,20.0,130.0,14.0,False
37,26.0,422.0,3.0,1.0,17.67,134.0,95.0,False
38,16.25,423.0,3.0,1.0,72.5,400.0,122.0,False
39,30.17,454.0,3.0,1.0,0.0,99.0,22.0,True
40,3.0,455.0,2.0,1.0,30.0,156.0,20.0,False
41,19.0,458.0,2.0,1.0,0.33,281.0,11.0,True
42,0.4,167.5,3.0,1.0,5.2,145.0,64.0,False
43,22.75,182.0,3.0,1.0,0.0,225.0,0.0,True
44,29.25,156.0,3.0,1.0,11.25,194.0,13.0,False
45,1.0,195.5,3.0,1.0,8.75,232.0,6.0,False
46,16.11,201.5,3.0,1.0,82.78,258.0,41.0,False
47,20.75,388.5,2.0,1.0,70.25,309.0,47.0,False
48,49.5,392.0,2.0,1.0,4.0,176.0,87.0,False
49,5.2,198.0,3.0,1.0,59.6,354.0,9.0,False
50,0.33,188.5,3.0,1.0,44.67,153.0,0.0,False
51,27.0,193.5,4.0,1.0,26.5,244.0,2.0,True
52,23.36,378.42,3.0,1.0,37.36,449.0,81.0,False
53,9.67,201.0,3.0,1.0,64.33,337.0,11.0,False
54,6.0,207.5,2.0,1.0,0.0,249.0,97.0,True
55,5.33,208.0,2.0,1.0,44.33,236.0,42.0,False
56,52.33,381.9,3.0,1.0,5.33,71.0,34.0,False
57,1.67,374.98,2.0,1.0,3.33,341.0,136.0,True
58,3.67,375.9,2.0,1.0,51.83,126.0,38.0,True
59,15.67,189.5,3.0,1.0,3.33,126.0,12.0,True
60,59.2,332.12,3.0,1.0,83.4,284.0,128.0,False
61,0.0,311.93,2.0,1.0,0.0,334.0,0.0,True
62,17.0,209.0,3.0,1.0,13.83,218.0,2.0,True
63,6.5,286.7,2.0,1.0,0.0,253.0,16.0,True
64,29.0,314.57,2.0,1.0,18.0,120.0,21.0,False
65,18.4,334.6,3.0,1.0,30.4,128.0,21.0,False
66,23.5,364.98,2.0,1.0,15.0,380.0,48.0,False
67,32.83,369.7,3.0,1.0,32.33,134.0,53.0,False
68,5.4,190.0,3.0,1.0,12.4,163.0,63.0,False
69,8.8,201.0,3.0,1.0,3.2,266.0,26.0,True
70,29.2,222.0,3.0,1.0,10.0,211.0,8.0,False
71,29.2,222.0,3.0,1.0,10.0,212.0,9.0,False
72,22.83,234.0,2.0,1.0,5.17,328.0,6.0,False
73,6.12,269.0,2.0,1.0,11.38,206.0,48.0,False
74,20.12,311.0,2.0,1.0,6.88,193.0,14.0,False
75,7.17,330.0,3.0,1.0,3.67,141.0,5.0,True
76,39.25,354.0,2.0,1.0,1.25,184.0,32.0,True
77,10.5,355.0,2.0,1.0,10.0,182.0,13.0,False
78,24.75,370.0,3.0,1.0,7.38,175.0,26.0,False
79,4.75,381.0,2.0,1.0,7.5,136.0,1.0,True
80,41.4,409.0,2.0,1.0,2.8,140.0,5.0,True
81,7.2,427.0,3.0,1.0,2.0,130.0,5.0,True
82,1.0,468.0,2.0,1.0,3.67,173.0,3.0,True
83,1.33,472.0,2.0,1.0,3.67,256.0,0.0,True
84,24.0,510.0,3.0,1.0,28.89,272.0,18.0,False
85,40.6,512.0,3.0,1.0,20.2,308.0,1.0,False
86,68.75,429.22,3.0,1.0,0.0,163.0,66.0,True
87,14.0,431.31,3.0,1.0,18.75,67.0,14.0,False
88,37.0,437.71,2.0,1.0,45.0,192.0,37.0,False
89,29.98,265.86,3.23,1.0,4.01,119.92,44.72,False
90,21.72,299.86,3.62,1.0,6.42,143.77,40.81,False
91,30.33,264.39,3.21,1.0,3.91,118.89,44.89,True
92,29.53,267.68,3.25,1.0,4.14,121.2,44.51,False
93,33.94,249.52,3.04,1.0,2.85,108.47,46.59,True
94,21.96,298.85,3.61,1.0,6.35,143.06,40.93,False
95,29.16,269.2,3.27,1.0,4.25,122.27,44.33,False
96,17.23,318.35,3.83,1.0,7.74,156.73,38.68,False
97,30.03,265.66,3.23,1.0,4.0,119.78,44.74,False
98,13.9,332.03,3.99,1.0,8.71,166.32,37.11,False
99,31.95,257.74,3.13,1.0,3.43,114.23,45.65,True
100,32.64,254.91,3.1,1.0,3.23,112.25,45.98,True
101,17.95,315.38,3.8,1.0,7.53,154.64,39.03,False
102,28.76,270.86,3.29,1.0,4.37,123.43,44.14,False
103,14.7,328.76,3.95,1.0,8.48,164.03,37.49,False
104,34.74,246.25,3.0,1.0,2.62,106.17,46.97,True
105,21.89,299.14,3.61,1.0,6.37,143.26,40.89,False
106,27.76,274.98,3.33,1.0,4.66,126.32,43.67,False
107,16.05,323.19,3.89,1.0,8.08,160.12,38.13,False
108,22.58,296.32,3.58,1.0,6.17,141.28,41.22,False
109,34.07,249.0,3.03,1.0,2.81,108.1,46.66,True
110,17.31,318.02,3.83,1.0,7.71,156.5,38.72,False
111,27.14,277.55,3.36,1.0,4.84,128.12,43.37,False
112,31.63,259.03,3.15,1.0,3.53,115.14,45.5,True
113,28.68,271.2,3.29,1.0,4.39,123.67,44.1,False
114,13.94,331.87,3.99,1.0,8.7,166.21,37.13,False
115,31.55,259.38,3.15,1.0,3.55,115.38,45.46,True
116,13.74,332.72,4.0,1.0,8.76,166.8,37.03,False
117,18.3,313.94,3.78,1.0,7.42,153.64,39.19,False
118,26.75,279.13,3.38,1.0,4.95,129.23,43.19,False
119,19.18,310.29,3.74,1.0,7.17,151.08,39.61,False
120,14.64,328.98,3.95,1.0,8.49,164.18,37.46,False
121,23.94,290.72,3.51,1.0,5.78,137.35,41.86,False
122,26.72,279.27,3.38,1.0,4.96,129.33,43.18,False
123,19.87,307.48,3.71,1.0,6.97,149.11,39.93,False
124,33.7,250.54,3.05,1.0,2.92,109.18,46.48,True
125,22.79,295.43,3.57,1.0,6.11,140.66,41.32,False
126,34.31,248.0,3.02,1.0,2.74,107.4,46.77,True
127,16.09,323.03,3.89,1.0,8.07,160.01,38.15,False
128,26.25,281.18,3.4,1.0,5.1,130.67,42.96,False
129,15.93,323.68,3.89,1.0,8.12,160.47,38.07,False
130,21.57,300.48,3.63,1.0,6.47,144.2,40.74,False
131,34.67,246.55,3.01,1.0,2.64,106.38,46.94,True
132,18.16,314.49,3.79,1.0,7.46,154.02,39.13,False
133,15.82,324.14,3.9,1.0,8.15,160.79,38.02,False
134,13.84,332.27,3.99,1.0,8.73,166.49,37.08,False
135,21.08,302.48,3.65,1.0,6.61,145.6,40.51,False
136,16.36,321.9,3.87,1.0,7.99,159.21,38.28,False
137,23.88,290.96,3.52,1.0,5.79,137.53,41.83,False
138,33.95,249.48,3.04,1.0,2.85,108.44,46.6,True
139,23.04,294.42,3.56,1.0,6.04,139.95,41.43,False
140,19.71,308.12,3.71,1.0,7.01,149.56,39.86,False
141,33.45,251.55,3.06,1.0,2.99,109.89,46.36,True
142,28.34,272.59,3.31,1.0,4.49,124.64,43.94,False
143,20.32,305.63,3.69,1.0,6.83,147.81,40.15,False
144,17.96,315.31,3.8,1.0,7.52,154.6,39.03,False
145,24.22,289.56,3.5,1.0,5.69,136.54,41.99,False
146,28.87,270.41,3.28,1.0,4.33,123.12,44.19,False
147,27.28,276.94,3.36,1.0,4.8,127.7,43.44,False
148,20.14,306.36,3.69,1.0,6.89,148.32,40.06,False
149,18.31,313.91,3.78,1.0,7.42,153.61,39.19,False
150,17.09,318.92,3.84,1.0,7.78,157.13,38.62,False
151,34.45,247.46,3.02,1.0,2.7,107.02,46.83,True
152,31.6,259.16,3.15,1.0,3.53,115.23,45.49,True
153,16.61,320.87,3.86,1.0,7.92,158.49,38.39,False
154,17.26,318.19,3.83,1.0,7.73,156.62,38.7,False
155,30.02,265.66,3.23,1.0,4.0,119.79,44.74,False
156,25.39,284.72,3.45,1.0,5.35,133.15,42.55,False
157,31.13,261.11,3.17,1.0,3.67,116.59,45.26,True
158,23.43,292.81,3.54,1.0,5.92,138.82,41.62,False
159,32.24,256.54,3.12,1.0,3.35,113.39,45.79,True
160,26.13,281.71,3.41,1.0,5.14,131.04,42.9,False
161,29.78,266.65,3.24,1.0,4.07,120.48,44.63,False
162,32.76,254.39,3.1,1.0,3.2,111.88,46.04,True
163,23.82,291.22,3.52,1.0,5.81,137.7,41.8,False
164,14.94,327.76,3.94,1.0,8.41,163.33,37.6,False
165,29.28,268.72,3.26,1.0,4.21,121.93,44.39,False
166,25.26,285.27,3.45,1.0,5.39,133.54,42.49,False
