,nuc,arexp,nd,ns,age,la,ld,target
0,11.0,30.0,1.0,1.0,0.5,48.0,0.0,True
1,1.0,49.0,1.0,1.0,1.0,9.0,0.0,True
2,9.29,185.0,5.0,1.0,4.71,94.0,12.0,True
3,18.75,65.0,3.0,1.0,2.5,106.0,4.0,True
4,17.0,73.0,2.0,1.0,15.0,17.0,3.0,True
5,3.33,6.0,2.0,1.0,18.67,6.0,3.0,True
6,1.5,262.0,1.0,1.0,0.0,19.0,5.0,True
7,0.6,285.0,1.0,1.0,4.6,317.0,16.0,False
8,5.0,317.0,1.0,1.0,0.0,15.0,2.0,True
9,41.5,18.0,5.0,1.0,3.17,163.0,80.0,True
10,0.09,369.0,3.0,1.0,5.55,19.0,20.0,False
11,17.5,412.0,2.0,1.0,0.0,389.0,0.0,True
12,20.5,496.0,2.0,1.0,1.5,21.0,1.0,True
13,33.67,501.0,4.0,1.0,0.0,99.0,34.0,True
14,30.5,530.0,2.0,1.0,0.0,15.0,7.0,True
15,26.0,541.0,1.0,1.0,6.0,8.0,1.0,True
16,1.0,580.0,1.0,1.0,2.0,98.0,29.0,True
17,8.5,585.0,2.0,1.0,5.5,42.0,12.0,True
18,5.0,594.0,1.0,1.0,14.0,9.0,0.0,True
19,52.0,660.0,1.0,1.0,0.0,12.0,6.0,True
20,47.5,661.0,2.0,1.0,0.0,40.0,22.0,True
21,18.0,671.0,1.0,1.0,0.0,30.0,5.0,True
22,31.5,674.0,4.0,1.0,24.0,81.0,38.0,True
23,39.44,682.0,5.0,1.0,0.22,418.0,370.0,True
24,14.5,8.0,2.0,1.0,0.0,43.0,1.0,True
25,0.0,32.0,1.0,1.0,0.0,65.0,0.0,True
26,21.25,61.0,3.0,1.0,11.0,58.0,52.0,True
27,38.0,59.0,1.0,1.0,55.0,10.0,1.0,True
28,4.0,88.0,1.0,1.0,149.0,4.0,10.0,True
29,31.67,16.0,3.0,1.0,78.83,65.0,65.0,True
30,9.0,19.0,1.0,1.0,1.0,71.0,60.0,True
31,6.0,588.0,1.0,1.0,1.0,1.0,0.0,True
32,10.5,638.5,2.0,1.0,0.0,12.0,1.0,True
33,4.0,32.0,1.0,1.0,1.0,1.0,3.0,True
34,16.14,33.0,3.0,1.0,47.71,341.0,13.0,True
35,7.67,606.5,4.0,1.0,16.33,17.0,14.0,True
36,25.0,609.5,4.0,1.0,64.0,18.0,5.0,True
37,34.0,82.0,1.0,1.0,69.0,25.0,1.0,True
38,53.67,43.0,3.0,1.0,14.67,229.0,2.0,True
39,20.0,104.5,1.0,1.0,3.0,0.0,3.0,False
40,27.5,14.0,2.0,1.0,7.0,22.0,0.0,True
41,17.0,167.0,1.0,1.0,5.0,13.0,0.0,True
42,69.0,86.0,3.0,1.0,6.0,208.0,14.0,True
43,10.2,80.0,4.0,1.0,34.8,671.0,241.0,True
44,32.07,102.0,6.0,1.0,218.29,370.0,19.0,True
45,1.0,215.0,1.0,1.0,49.0,1.0,4.0,True
46,10.0,73.0,1.0,1.0,6.0,0.0,4.0,False
47,28.0,124.0,1.0,1.0,0.0,2.0,1.0,True
48,0.0,220.0,1.0,1.0,0.0,638.0,0.0,True
49,32.0,130.0,2.0,1.0,0.0,29.0,2.0,True
50,7.8,241.5,1.0,1.0,32.0,11.0,11.0,True
51,10.29,78.0,4.0,1.0,146.29,46.0,69.0,True
52,13.0,118.0,1.0,1.0,30.0,0.0,4.0,False
53,6.0,295.0,1.0,1.0,93.0,0.0,2.0,False
54,12.0,300.0,1.0,1.0,12.0,0.0,3.0,False
55,23.0,59.33,1.0,1.0,0.0,28.0,8.0,True
56,5.0,3.0,1.0,1.0,1.0,112.0,53.0,True
57,2.5,5.0,2.0,1.0,0.0,49.0,10.0,True
58,5.0,322.0,1.0,1.0,1.0,0.0,1.0,False
59,37.0,324.0,1.0,1.0,0.0,3.0,0.0,True
60,23.0,320.0,1.0,1.0,87.0,3.0,2.0,True
61,25.5,324.0,2.0,1.0,2.5,26.0,10.0,True
62,3.33,47.0,2.0,1.0,27.0,122.0,179.0,True
