,nuc,aexp,nd,ns,age,la,ld,target
0,0.0,3.0,2.0,1.0,0.0,355.0,0.0,True
1,13.46,29.0,2.0,1.0,0.0,383.0,177.0,True
2,0.0,10.0,1.0,1.0,0.0,311.0,0.0,True
3,1.0,49.0,1.0,1.0,2.0,269.0,0.0,True
4,0.0,50.0,1.0,1.0,0.0,133.0,0.0,True
5,0.0,26.0,1.0,1.0,0.0,964.0,0.0,True
6,0.0,65.0,1.0,1.0,0.0,63.0,0.0,True
7,1.33,43.0,2.0,1.0,1.0,102.0,0.0,True
8,6.0,1.0,2.0,1.0,7.67,158.0,15.0,True
9,5.0,71.0,1.0,1.0,8.25,113.0,72.0,True
10,7.33,3.0,2.0,1.0,3.0,106.0,0.0,True
11,6.0,4.0,1.0,1.0,10.0,45.0,20.0,True
12,8.75,5.0,2.0,1.0,9.0,98.0,10.0,True
13,8.8,49.0,2.0,1.0,7.8,464.0,256.0,True
14,24.0,15.0,2.0,1.0,2.67,97.0,1.0,True
15,13.67,79.0,2.0,1.0,0.5,234.0,115.0,True
16,9.0,88.0,2.0,1.0,9.5,267.0,209.0,True
17,1.0,99.0,2.0,1.0,0.0,426.0,18.0,True
18,12.4,66.0,2.0,1.0,9.6,340.0,230.0,True
19,16.33,22.0,2.0,1.0,0.0,112.0,20.0,True
20,18.8,32.0,2.0,1.0,14.6,158.0,11.0,True
21,76.67,1.0,2.0,1.0,0.0,101.0,2.0,True
22,0.0,12.0,1.0,1.0,0.0,71.0,0.0,True
23,4.5,13.0,1.0,1.0,3.5,133.0,4.0,True
24,67.91,4.0,2.0,1.0,11.36,109.0,65.0,True
25,230.67,6.0,2.0,1.0,3.0,331.0,67.0,True
26,0.0,1.0,1.0,1.0,0.0,423.0,0.0,True
27,0.0,8.0,1.0,1.0,0.0,113.0,0.0,True
28,0.0,49.0,1.0,1.0,0.0,148.0,0.0,True
29,0.0,130.0,1.0,1.0,0.0,527.0,0.0,True
30,5.42,68.0,2.0,1.0,0.17,631.0,2.0,True
31,16.83,13.0,2.0,1.0,0.17,213.0,50.0,True
32,0.0,27.0,1.0,1.0,0.0,131.0,0.0,True
33,0.0,2.0,1.0,1.0,0.0,86.0,0.0,True
34,53.91,2.0,3.0,1.0,6.64,484.0,108.0,True
35,24.8,24.0,2.0,1.0,2.0,465.0,57.0,True
36,18.5,26.0,2.0,1.0,1.0,150.0,189.0,True
37,59.33,64.0,2.0,1.0,3.0,238.0,45.0,True
38,44.67,56.0,2.0,1.0,7.67,120.0,9.0,True
39,37.5,11.0,1.0,1.0,17.5,81.0,7.0,True
40,11.11,23.82,1.59,1.0,8.63,122.4,6.5,True
41,0.58,12.61,1.03,1.0,0.45,73.67,0.34,True
42,14.35,27.26,1.76,1.0,11.14,137.39,8.39,True
43,14.78,27.72,1.79,1.0,11.48,139.39,8.65,True
44,11.57,24.31,1.62,1.0,8.99,124.55,6.77,True
45,8.63,21.18,1.46,1.0,6.7,110.95,5.05,True
46,2.1,14.23,1.11,1.0,1.63,80.71,1.23,True
47,10.34,23.0,1.55,1.0,8.03,118.84,6.05,True
48,1.09,13.16,1.06,1.0,0.85,76.05,0.64,True
49,2.94,15.13,1.16,1.0,2.28,84.61,1.72,True
50,8.96,21.53,1.48,1.0,6.96,112.48,5.24,True
