,nuc,aexp,nd,ns,age,la,ld,target
0,13.0,35.0,13.0,2.0,91.31,561.0,800.0,True
1,36.39,0.0,4.0,2.0,60.48,1503.0,1084.0,True
2,37.94,77.0,7.0,2.0,89.5,774.0,470.0,True
3,41.46,89.0,6.0,2.0,69.25,483.0,540.0,True
4,26.02,149.0,10.0,2.0,8.55,570.0,764.0,True
5,60.63,167.0,8.0,2.0,5.07,1130.0,899.0,True
6,10.33,96.0,5.0,1.0,27.0,649.0,493.0,True
7,11.42,144.0,7.0,1.0,22.77,507.0,466.0,True
8,111.33,221.0,3.0,1.0,96.33,1072.0,1139.0,True
9,40.22,226.0,9.0,2.0,24.89,215.0,604.0,True
10,23.0,124.0,5.0,1.0,129.07,1138.0,1371.0,True
11,34.45,167.0,12.0,1.0,42.13,75.0,1347.0,True
12,38.58,51.0,9.0,2.0,15.37,768.0,777.0,True
13,43.41,20.0,8.0,1.0,3.0,638.0,624.0,True
14,20.75,24.0,7.0,1.0,6.75,1070.0,492.0,True
15,81.76,81.0,11.0,2.0,23.47,1156.0,1025.0,True
16,97.74,89.0,11.0,1.0,14.41,909.0,665.0,True
17,23.38,87.0,10.0,1.0,35.88,324.0,314.0,True
18,97.24,103.0,13.0,1.0,9.59,1363.0,934.0,True
19,143.62,104.0,4.0,1.0,102.0,954.0,471.0,True
20,78.0,105.0,4.0,1.0,43.39,796.0,695.0,True
21,112.43,89.0,11.0,1.0,128.0,313.0,263.0,True
22,160.0,91.0,6.0,1.0,12.5,846.0,582.0,True
23,148.17,180.0,7.0,1.0,45.11,558.0,527.0,True
24,105.0,307.0,10.0,1.0,41.7,2013.0,725.0,True
25,4.8,152.0,4.0,1.0,13.0,435.0,891.0,True
26,89.28,180.0,9.0,2.0,137.28,629.0,547.0,True
27,115.93,46.0,9.0,2.0,65.04,1155.0,710.0,True
28,266.64,69.0,7.0,1.0,40.27,466.0,338.0,True
29,349.4,143.0,3.0,1.0,51.7,743.0,656.0,True
30,102.98,255.0,6.0,1.0,69.83,452.0,436.0,True
31,100.23,245.0,8.0,1.0,53.12,2154.0,717.0,True
32,147.15,151.0,10.0,1.0,85.31,811.0,354.0,True
33,153.04,48.0,7.0,1.0,23.38,930.0,565.0,True
34,90.6,230.0,13.0,1.0,57.2,448.0,401.0,True
35,127.64,152.0,8.0,1.0,62.07,515.0,335.0,True
36,74.48,7.0,6.0,1.0,9.29,363.0,764.0,True
37,59.56,60.0,14.0,1.0,16.77,474.0,727.0,True
38,40.56,360.0,9.0,1.0,8.56,1068.0,938.0,True
39,249.14,376.0,5.0,1.0,56.67,1208.0,845.0,True
40,146.58,93.29,5.67,1.0,17.56,837.81,600.5,True
41,156.32,91.63,5.91,1.0,13.89,843.76,587.07,True
42,139.29,94.54,5.49,1.0,20.3,833.37,610.53,True
43,112.89,99.04,4.85,1.0,30.25,817.27,646.93,True
44,100.59,101.14,4.55,1.0,34.88,809.77,663.87,True
45,106.15,100.19,4.69,1.0,32.79,813.16,656.21,True
46,154.11,92.01,5.86,1.0,14.72,842.41,590.12,True
47,139.45,94.51,5.5,1.0,20.24,833.47,610.31,True
48,106.13,100.2,4.69,1.0,32.8,813.15,656.23,True
49,102.41,100.83,4.6,1.0,34.2,810.89,661.36,True
50,93.69,102.32,4.38,1.0,37.48,805.57,673.38,True
51,144.18,93.7,5.61,1.0,18.46,836.35,603.8,True
52,159.53,91.08,5.99,1.0,12.68,845.71,582.65,True
53,109.7,99.59,4.77,1.0,31.45,815.33,651.31,True
54,158.21,91.31,5.96,1.0,13.18,844.91,584.47,True
55,107.3,100.0,4.71,1.0,32.36,813.87,654.62,True
56,158.34,91.28,5.96,1.0,13.13,844.99,584.29,True
57,100.12,101.22,4.54,1.0,35.06,809.49,664.52,True
58,154.07,92.01,5.86,1.0,14.73,842.38,590.17,True
59,153.95,92.03,5.85,1.0,14.78,842.31,590.34,True
60,142.77,93.94,5.58,1.0,18.99,835.49,605.75,True
61,112.95,99.03,4.85,1.0,30.23,817.31,646.84,True
62,125.83,96.83,5.17,1.0,25.37,825.17,629.08,True
63,124.96,96.98,5.15,1.0,25.7,824.63,630.29,True
64,106.57,100.12,4.7,1.0,32.63,813.42,655.63,True
65,155.22,91.82,5.88,1.0,14.3,843.08,588.59,True
66,147.13,93.2,5.69,1.0,17.35,838.15,599.74,True
67,129.51,96.21,5.26,1.0,23.99,827.41,624.01,True
68,149.05,92.87,5.73,1.0,16.62,839.32,597.09,True
69,97.17,101.73,4.47,1.0,36.17,807.69,668.58,True
70,132.92,95.62,5.34,1.0,22.7,829.49,619.31,True
71,141.8,94.11,5.56,1.0,19.36,834.9,607.08,True
72,130.48,96.04,5.28,1.0,23.62,828.0,622.68,True
73,150.8,92.57,5.78,1.0,15.97,840.39,594.67,True
74,81.86,104.34,4.09,1.0,41.94,798.35,689.68,True
75,94.99,102.1,4.41,1.0,36.99,806.36,671.59,True
76,91.36,102.72,4.33,1.0,38.36,804.15,676.59,True
77,153.26,92.15,5.84,1.0,15.04,841.89,591.29,True
78,109.35,99.65,4.76,1.0,31.58,815.11,651.8,True
79,88.41,103.22,4.25,1.0,39.47,802.35,680.65,True
80,157.69,91.39,5.94,1.0,13.37,844.59,585.18,True
81,91.01,102.78,4.32,1.0,38.49,803.93,677.07,True
82,133.6,95.51,5.36,1.0,22.44,829.91,618.37,True
83,150.32,92.65,5.76,1.0,16.15,840.1,595.33,True
84,98.99,101.42,4.51,1.0,35.49,808.8,666.07,True
85,145.45,93.48,5.65,1.0,17.98,837.13,602.04,True
86,89.55,103.03,4.28,1.0,39.04,803.04,679.08,True
87,139.34,94.53,5.5,1.0,20.28,833.4,610.47,True
88,92.59,102.51,4.36,1.0,37.9,804.9,674.89,True
89,97.19,101.72,4.47,1.0,36.16,807.7,668.55,True
90,83.05,104.14,4.12,1.0,41.49,799.08,688.05,True
91,138.07,94.74,5.47,1.0,20.76,832.63,612.22,True
92,123.15,97.29,5.1,1.0,26.38,823.53,632.78,True
93,101.64,100.96,4.58,1.0,34.49,810.42,662.42,True
94,117.16,98.31,4.96,1.0,28.64,819.88,641.03,True
95,84.58,103.88,4.16,1.0,40.92,800.01,685.94,True
96,152.39,92.3,5.81,1.0,15.37,841.36,592.49,True
97,91.24,102.74,4.32,1.0,38.41,804.07,676.76,True
98,88.66,103.18,4.26,1.0,39.38,802.5,680.3,True
99,94.91,102.11,4.41,1.0,37.02,806.31,671.7,True
100,101.69,100.96,4.58,1.0,34.47,810.44,662.36,True
101,85.33,103.75,4.18,1.0,40.63,800.47,684.9,True
102,157.45,91.44,5.94,1.0,13.46,844.44,585.52,True
103,115.16,98.66,4.91,1.0,29.39,818.66,643.79,True
104,125.09,96.96,5.15,1.0,25.65,824.71,630.11,True
105,143.73,93.78,5.6,1.0,18.63,836.08,604.42,True
106,124.0,97.15,5.12,1.0,26.06,824.05,631.61,True
107,152.09,92.35,5.81,1.0,15.48,841.18,592.9,True
108,139.72,94.46,5.51,1.0,20.14,833.63,609.95,True
109,87.53,103.37,4.23,1.0,39.8,801.81,681.86,True
110,108.84,99.74,4.75,1.0,31.78,814.8,652.5,True
111,126.28,96.76,5.18,1.0,25.2,825.44,628.47,True
112,156.65,91.57,5.92,1.0,13.76,843.96,586.61,True
113,122.67,97.37,5.09,1.0,26.56,823.24,633.44,True
114,137.86,94.78,5.46,1.0,20.84,832.5,612.52,True
115,80.87,104.51,4.07,1.0,42.31,797.75,691.04,True
116,96.02,101.92,4.44,1.0,36.6,806.99,670.17,True
117,131.66,95.84,5.31,1.0,23.18,828.72,621.05,True
118,96.54,101.83,4.45,1.0,36.41,807.31,669.45,True
119,94.58,102.17,4.4,1.0,37.15,806.11,672.15,True
120,128.08,96.45,5.22,1.0,24.52,826.54,625.98,True
121,110.8,99.4,4.8,1.0,31.04,816.0,649.8,True
122,131.39,95.88,5.3,1.0,23.28,828.56,621.43,True
123,146.37,93.33,5.67,1.0,17.64,837.69,600.79,True
124,122.95,97.33,5.1,1.0,26.46,823.41,633.06,True
125,82.27,104.27,4.1,1.0,41.79,798.6,689.12,True
126,92.59,102.51,4.36,1.0,37.9,804.89,674.9,True
127,142.75,93.94,5.58,1.0,19.0,835.48,605.77,True
128,82.71,104.2,4.11,1.0,41.62,798.87,688.51,True
129,130.08,96.11,5.27,1.0,23.77,827.76,623.23,True
