,nuc,aexp,nd,ns,age,la,ld,target
0,157.67,266.0,2.0,1.0,115.33,28.0,6.0,True
1,175.33,344.0,2.0,1.0,57.0,18.0,1.0,True
2,77.75,364.0,4.0,1.0,80.88,99.0,26.0,True
3,110.0,259.0,2.0,1.0,72.0,166.0,46.0,True
4,48.25,297.0,4.0,2.0,42.88,675.0,120.0,True
5,158.75,303.0,2.0,1.0,64.25,44.0,6.0,True
6,114.17,379.0,5.0,2.0,48.0,30.0,37.0,True
7,123.6,384.0,4.0,2.0,40.0,97.0,13.0,True
8,86.44,398.0,4.0,2.0,39.89,185.0,25.0,True
9,95.55,382.0,3.0,1.0,57.27,85.0,71.0,True
10,17.33,458.0,3.0,2.0,22.67,21.0,7.0,True
11,81.07,334.0,3.0,1.0,62.29,42.0,37.0,True
12,103.55,266.0,5.0,2.0,99.91,74.0,60.0,True
13,310.67,416.0,3.0,2.0,29.33,35.0,3.0,True
14,187.25,479.0,2.0,1.0,112.0,127.0,30.0,True
15,126.0,402.0,4.0,1.0,85.44,36.0,143.0,True
16,149.75,429.0,5.0,1.0,86.5,13.0,23.0,True
17,254.0,303.0,4.0,1.0,108.0,23.0,12.0,True
18,18.5,446.0,3.0,1.0,97.0,245.0,57.0,True
19,144.4,341.0,6.0,2.0,167.6,151.0,17.0,True
20,100.92,342.0,4.0,1.0,158.83,247.0,111.0,True
21,365.33,388.0,2.0,1.0,96.67,24.0,24.0,True
22,284.5,514.0,3.0,1.0,97.75,46.0,0.0,True
23,116.11,518.0,5.0,2.0,56.33,172.0,12.0,True
24,437.67,401.0,3.0,1.0,89.33,134.0,147.0,True
25,169.57,423.0,2.0,1.0,137.0,57.0,3.0,True
26,306.5,546.0,2.0,1.0,101.75,352.0,5.0,True
27,181.86,382.0,3.0,2.0,139.43,127.0,23.0,True
28,321.67,320.0,2.0,1.0,102.67,33.0,5.0,True
29,258.2,385.0,4.0,1.0,104.2,152.0,21.0,True
30,377.0,466.0,3.0,1.0,95.0,94.0,78.0,True
31,340.5,467.0,4.0,2.0,127.0,10.0,4.0,True
32,170.89,471.0,5.0,2.0,139.44,78.0,23.0,True
33,180.12,165.0,4.0,2.0,117.38,40.0,20.0,True
34,177.92,411.0,7.0,2.0,69.42,223.0,37.0,True
35,234.5,425.0,7.0,2.0,105.2,89.0,15.0,True
36,370.75,287.0,3.0,2.0,101.75,238.0,38.0,True
37,212.82,556.0,6.0,2.0,69.09,108.0,72.0,True
38,60.58,270.0,3.0,1.0,113.21,220.0,182.0,True
39,318.08,358.0,3.0,1.0,84.42,166.0,48.0,True
40,247.58,479.41,3.2,1.0,110.03,86.42,22.32,True
41,249.22,480.94,3.19,1.0,109.49,84.63,21.33,True
42,247.14,479.0,3.2,1.0,110.18,86.9,22.59,True
43,161.25,398.52,3.67,1.0,138.76,180.95,74.52,True
44,281.5,511.19,3.02,1.0,98.75,49.28,1.81,True
45,278.75,508.62,3.03,1.0,99.66,52.29,3.47,True
46,236.81,469.32,3.26,1.0,113.62,98.21,28.83,True
47,193.76,428.99,3.49,1.0,127.94,145.34,54.86,True
48,233.05,465.8,3.28,1.0,114.87,102.33,31.11,True
49,200.34,435.15,3.46,1.0,125.75,138.15,50.89,True
50,266.45,497.09,3.1,1.0,103.76,65.76,10.91,True
51,169.29,406.06,3.63,1.0,136.08,172.14,69.66,True
52,170.92,407.59,3.62,1.0,135.54,170.35,68.67,True
53,230.12,463.05,3.3,1.0,115.85,105.54,32.88,True
54,269.29,499.75,3.08,1.0,102.81,62.65,9.2,True
55,149.93,387.92,3.73,1.0,142.52,193.34,81.36,True
56,221.2,454.7,3.34,1.0,118.81,115.3,38.27,True
57,277.21,507.17,3.04,1.0,100.18,53.98,4.41,True
58,219.11,452.73,3.36,1.0,119.51,117.6,39.54,True
59,249.27,480.99,3.19,1.0,109.47,84.58,21.3,True
60,257.97,489.15,3.14,1.0,106.58,75.04,16.04,True
61,148.01,386.13,3.74,1.0,143.16,195.43,82.52,True
62,231.3,464.15,3.29,1.0,115.45,104.25,32.17,True
63,183.7,419.56,3.55,1.0,131.29,156.36,60.94,True
64,182.66,418.59,3.55,1.0,131.63,157.5,61.58,True
65,165.68,402.68,3.65,1.0,137.29,176.09,71.84,True
66,202.26,436.95,3.45,1.0,125.11,136.04,49.73,True
67,120.92,360.75,3.89,1.0,152.18,225.09,98.9,True
68,106.14,346.89,3.97,1.0,157.1,241.28,107.84,True
69,167.05,403.96,3.64,1.0,136.83,174.6,71.02,True
70,122.49,362.21,3.88,1.0,151.66,223.38,97.96,True
71,281.9,511.57,3.01,1.0,98.61,48.84,1.57,True
72,217.44,451.18,3.37,1.0,120.06,119.42,40.54,True
73,149.65,387.66,3.73,1.0,142.62,193.64,81.53,True
74,200.58,435.38,3.46,1.0,125.67,137.88,50.74,True
75,234.62,467.27,3.27,1.0,114.35,100.61,30.16,True
76,276.31,506.33,3.04,1.0,100.47,54.96,4.95,True
77,167.95,404.8,3.63,1.0,136.53,173.61,70.47,True
78,170.95,407.62,3.62,1.0,135.53,170.32,68.65,True
