,nuc,aexp,nd,ns,age,la,ld,target
0,77.0,149.0,2.0,1.0,38.5,4.0,1.0,1
1,82.67,215.0,3.0,1.0,72.67,50.0,83.0,1
2,84.33,219.0,2.0,1.0,13.0,37.0,11.0,1
3,102.0,199.0,2.0,1.0,24.67,50.0,4.0,1
4,21.43,200.0,3.0,1.0,47.64,65.0,61.0,1
5,15.38,203.0,2.0,1.0,47.38,374.0,292.0,1
6,144.0,205.0,2.0,1.0,29.5,6.0,3.0,1
7,164.5,152.0,2.0,1.0,46.0,6.0,0.0,1
8,89.75,220.0,2.0,1.0,13.25,171.0,16.0,1
9,126.0,279.0,2.0,1.0,13.33,41.0,0.0,1
10,122.0,174.0,2.0,1.0,89.0,57.0,32.0,1
11,129.33,176.0,2.0,1.0,54.67,264.0,1.0,1
12,141.33,316.0,2.0,1.0,36.0,88.0,20.0,1
13,98.2,187.0,2.0,1.0,32.2,80.0,5.0,1
14,166.33,258.0,2.0,1.0,28.67,146.0,46.0,1
15,163.33,270.0,3.0,1.0,38.0,41.0,14.0,1
16,79.57,341.0,3.0,1.0,25.0,134.0,74.0,1
17,175.33,344.0,2.0,1.0,57.0,18.0,1.0,1
18,132.25,233.0,3.0,1.0,63.5,106.0,3.0,1
19,195.67,283.0,3.0,1.0,26.0,59.0,16.0,1
20,200.0,289.0,3.0,1.0,29.0,48.0,13.0,1
21,110.0,259.0,2.0,1.0,72.0,166.0,46.0,1
22,186.67,209.0,2.0,1.0,34.67,126.0,27.0,1
23,279.0,266.0,2.0,1.0,36.0,19.0,0.0,1
24,285.0,270.0,2.0,1.0,69.5,5.0,0.0,1
25,96.83,277.0,2.0,1.0,50.0,153.0,60.0,1
26,158.75,303.0,2.0,1.0,64.25,44.0,6.0,1
27,128.0,304.0,2.0,1.0,31.6,167.0,55.0,1
28,108.62,251.0,2.0,1.0,28.12,136.0,27.0,1
29,134.29,255.0,2.0,1.0,14.57,105.0,3.0,1
30,95.55,382.0,3.0,1.0,57.27,85.0,71.0,1
31,81.07,334.0,3.0,1.0,62.29,42.0,37.0,1
32,296.0,207.0,2.0,1.0,50.33,21.0,21.0,1
33,224.75,214.0,2.0,1.0,47.75,122.0,21.0,1
34,98.09,349.0,3.0,1.0,50.64,181.0,128.0,1
35,169.83,251.0,2.0,1.0,18.5,236.0,16.0,1
36,187.8,286.0,3.0,1.0,54.6,250.0,9.0,1
37,43.5,304.0,2.0,1.0,18.75,64.0,26.0,1
38,136.0,186.0,1.0,1.0,39.5,38.0,6.0,1
39,20.9,356.0,2.0,1.0,15.1,130.0,63.0,1
40,191.37,237.25,2.35,1.0,32.67,98.46,22.06,1
41,196.49,267.94,2.74,1.0,30.49,68.53,16.69,1
42,192.32,242.89,2.42,1.0,32.27,92.96,21.07,1
43,193.09,247.54,2.48,1.0,31.94,88.42,20.26,1
44,189.38,225.28,2.2,1.0,33.51,110.12,24.15,1
45,198.82,281.89,2.91,1.0,29.5,54.93,14.24,1
46,199.36,285.15,2.95,1.0,29.27,51.75,13.67,1
47,199.07,283.41,2.93,1.0,29.4,53.45,13.98,1
48,190.37,231.19,2.28,1.0,33.09,104.36,23.12,1
49,196.44,267.63,2.73,1.0,30.51,68.84,16.74,1
50,188.76,221.56,2.16,1.0,33.78,113.75,24.8,1
51,186.94,210.66,2.02,1.0,34.55,124.38,26.71,1
52,189.52,226.12,2.21,1.0,33.45,109.31,24.0,1
53,198.73,281.39,2.9,1.0,29.54,55.42,14.33,1
54,191.62,238.72,2.37,1.0,32.56,97.03,21.8,1
55,193.64,250.84,2.52,1.0,31.7,85.2,19.68,1
56,193.43,249.57,2.51,1.0,31.79,86.44,19.9,1
57,198.05,277.3,2.85,1.0,29.83,59.41,15.05,1
58,196.71,269.24,2.75,1.0,30.4,67.27,16.46,1
59,193.09,247.56,2.48,1.0,31.94,88.41,20.25,1
60,195.51,262.06,2.66,1.0,30.91,74.26,17.71,1
61,198.75,281.52,2.91,1.0,29.53,55.3,14.31,1
62,194.28,254.68,2.57,1.0,31.43,81.46,19.01,1
63,191.37,237.22,2.35,1.0,32.67,98.48,22.06,1
64,193.17,248.01,2.49,1.0,31.9,87.96,20.17,1
65,191.96,240.79,2.4,1.0,32.41,95.01,21.44,1
66,194.62,256.71,2.6,1.0,31.29,79.48,18.65,1
67,193.25,248.5,2.49,1.0,31.87,87.49,20.09,1
68,191.16,235.96,2.34,1.0,32.76,99.72,22.28,1
69,189.62,226.71,2.22,1.0,33.41,108.74,23.9,1
70,190.45,231.71,2.28,1.0,33.06,103.86,23.03,1
71,194.72,257.3,2.6,1.0,31.25,78.9,18.55,1
72,198.69,281.13,2.9,1.0,29.56,55.68,14.38,1
73,188.33,218.97,2.12,1.0,33.96,116.28,25.26,1
74,187.93,216.6,2.1,1.0,34.13,118.59,25.67,1
75,195.28,260.68,2.65,1.0,31.01,75.61,17.96,1
76,195.39,261.35,2.65,1.0,30.96,74.96,17.84,1
77,188.6,220.6,2.15,1.0,33.84,114.69,24.97,1
78,189.37,225.24,2.2,1.0,33.52,110.16,24.16,1
79,192.0,240.98,2.4,1.0,32.4,94.82,21.4,1
80,189.45,225.71,2.21,1.0,33.48,109.71,24.08,1
81,188.47,219.84,2.14,1.0,33.9,115.43,25.1,1
82,198.1,277.61,2.86,1.0,29.81,59.11,14.99,1
83,198.14,277.82,2.86,1.0,29.79,58.9,14.96,1
84,199.68,287.05,2.98,1.0,29.14,49.9,13.34,1
85,193.93,252.6,2.55,1.0,31.58,83.49,19.37,1
86,190.29,230.76,2.27,1.0,33.13,104.78,23.19,1
87,187.95,216.67,2.1,1.0,34.12,118.52,25.66,1
88,188.54,220.26,2.14,1.0,33.87,115.03,25.03,1
89,199.12,283.75,2.93,1.0,29.37,53.12,13.92,1
90,191.43,237.58,2.36,1.0,32.64,98.13,22.0,1
91,187.34,213.03,2.05,1.0,34.38,122.07,26.29,1
92,194.76,257.55,2.61,1.0,31.23,78.67,18.5,1
93,191.67,239.02,2.38,1.0,32.54,96.73,21.75,1
94,187.93,216.55,2.09,1.0,34.13,118.63,25.68,1
95,195.92,264.5,2.69,1.0,30.74,71.88,17.29,1
96,196.65,268.93,2.75,1.0,30.42,67.57,16.51,1
97,198.42,279.52,2.88,1.0,29.67,57.24,14.66,1
98,191.61,238.66,2.37,1.0,32.57,97.09,21.81,1
99,186.88,210.25,2.02,1.0,34.58,124.78,26.78,1
100,190.18,230.08,2.26,1.0,33.17,105.44,23.31,1
101,187.92,216.53,2.09,1.0,34.13,118.66,25.68,1
102,192.51,244.05,2.44,1.0,32.18,91.82,20.87,1
103,188.57,220.43,2.14,1.0,33.86,114.86,25.0,1
104,197.57,274.44,2.82,1.0,30.03,62.2,15.55,1
105,190.21,230.23,2.27,1.0,33.16,105.3,23.28,1
106,189.44,225.65,2.21,1.0,33.49,109.77,24.09,1
107,199.3,284.77,2.95,1.0,29.3,52.12,13.74,1
108,188.56,220.37,2.14,1.0,33.86,114.91,25.01,1
109,196.02,265.09,2.7,1.0,30.69,71.31,17.18,1
110,197.02,271.1,2.78,1.0,30.27,65.45,16.13,1
111,187.59,214.52,2.07,1.0,34.28,120.62,26.03,1
112,196.16,265.96,2.71,1.0,30.63,70.47,17.03,1
113,192.54,244.26,2.44,1.0,32.17,91.62,20.83,1
114,189.4,225.43,2.21,1.0,33.5,109.98,24.12,1
115,192.02,241.14,2.4,1.0,32.39,94.66,21.38,1
116,193.73,251.37,2.53,1.0,31.67,84.69,19.59,1
117,196.88,270.3,2.77,1.0,30.32,66.24,16.27,1
118,197.97,276.85,2.85,1.0,29.86,59.85,15.13,1
119,195.03,259.17,2.63,1.0,31.11,77.08,18.22,1
120,194.46,255.77,2.58,1.0,31.35,80.4,18.82,1
121,188.55,220.33,2.14,1.0,33.86,114.96,25.02,1
122,199.66,286.94,2.97,1.0,29.15,50.01,13.36,1
123,191.71,239.25,2.38,1.0,32.52,96.51,21.71,1
124,195.9,264.42,2.69,1.0,30.74,71.96,17.3,1
125,190.66,232.96,2.3,1.0,32.97,102.63,22.81,1
126,193.09,247.56,2.48,1.0,31.94,88.4,20.25,1
127,193.95,252.67,2.55,1.0,31.57,83.42,19.36,1
128,193.06,247.38,2.48,1.0,31.95,88.58,20.28,1
129,194.37,255.2,2.58,1.0,31.39,80.95,18.91,1
130,197.91,276.43,2.84,1.0,29.89,60.25,15.2,1
131,192.83,245.97,2.46,1.0,32.05,89.95,20.53,1
132,188.76,221.57,2.16,1.0,33.78,113.74,24.8,1
133,193.52,250.13,2.51,1.0,31.75,85.9,19.8,1
134,193.08,247.51,2.48,1.0,31.94,88.46,20.26,1
135,186.74,209.44,2.01,1.0,34.64,125.57,26.92,1
136,194.72,257.32,2.6,1.0,31.24,78.89,18.54,1
137,195.72,263.32,2.68,1.0,30.82,73.04,17.49,1
138,187.96,216.73,2.1,1.0,34.12,118.46,25.65,1
139,186.97,210.83,2.02,1.0,34.54,124.22,26.68,1
140,189.22,224.34,2.19,1.0,33.58,111.04,24.31,1
141,190.04,229.24,2.25,1.0,33.23,106.26,23.46,1
142,199.87,288.19,2.99,1.0,29.06,48.79,13.14,1
143,187.59,214.57,2.07,1.0,34.27,120.57,26.03,1
144,197.95,276.7,2.85,1.0,29.87,59.99,15.15,1
145,195.62,262.71,2.67,1.0,30.86,73.63,17.6,1
146,191.12,235.73,2.33,1.0,32.77,99.94,22.32,1
147,188.66,220.93,2.15,1.0,33.82,114.36,24.91,1
148,194.06,253.39,2.55,1.0,31.52,82.72,19.23,1
149,192.19,242.13,2.41,1.0,32.32,93.7,21.2,1
150,194.25,254.51,2.57,1.0,31.44,81.63,19.04,1
151,193.71,251.29,2.53,1.0,31.67,84.77,19.6,1
152,195.96,264.78,2.7,1.0,30.72,71.61,17.24,1
153,197.04,271.27,2.78,1.0,30.26,65.29,16.1,1
154,191.45,237.73,2.36,1.0,32.63,97.99,21.97,1
155,187.79,215.75,2.08,1.0,34.19,119.42,25.82,1
156,189.23,224.37,2.19,1.0,33.58,111.02,24.31,1
157,188.69,221.15,2.15,1.0,33.81,114.15,24.87,1
158,197.59,274.52,2.82,1.0,30.03,62.12,15.53,1
159,190.04,229.23,2.25,1.0,33.23,106.28,23.46,1
160,187.87,216.21,2.09,1.0,34.16,118.97,25.74,1
161,192.1,241.63,2.41,1.0,32.36,94.19,21.29,1
162,192.81,245.84,2.46,1.0,32.06,90.08,20.55,1
163,193.85,252.07,2.54,1.0,31.62,84.01,19.46,1
164,197.74,275.42,2.83,1.0,29.96,61.24,15.38,1
165,192.83,246.0,2.46,1.0,32.05,89.93,20.53,1
166,188.84,222.05,2.16,1.0,33.74,113.28,24.72,1
167,190.19,230.13,2.26,1.0,33.17,105.4,23.3,1
168,192.94,246.61,2.47,1.0,32.0,89.33,20.42,1
