,nuc,aexp,nd,ns,age,la,ld,target
0,217.5,114.0,2.0,1.0,3.5,21.0,14.0,True
1,186.33,148.0,2.0,1.0,0.0,43.0,5.0,True
2,269.0,152.0,2.0,1.0,7.0,12.0,8.0,True
3,184.67,149.0,2.0,1.0,0.0,59.0,4.0,True
4,190.67,64.0,2.0,1.0,13.67,8.0,3.0,True
5,307.5,22.0,2.0,1.0,0.5,7.0,1.0,True
6,198.0,71.0,2.0,1.0,0.0,34.0,2.0,True
7,324.5,33.0,2.0,1.0,7.5,4.0,0.0,True
8,208.33,75.0,2.0,1.0,24.67,82.0,27.0,True
9,222.67,39.0,2.0,1.0,11.67,39.0,4.0,True
10,224.67,62.0,2.0,1.0,22.67,61.0,0.0,True
11,242.67,77.0,2.0,1.0,5.67,81.0,5.0,True
12,356.0,87.0,2.0,1.0,4.5,6.0,1.0,True
13,242.0,93.0,2.0,1.0,54.33,71.0,73.0,True
14,380.0,120.0,2.0,1.0,30.5,4.0,1.0,True
15,271.33,124.0,3.0,1.0,9.33,61.0,36.0,True
16,202.5,127.0,3.0,1.0,0.5,16.0,70.0,True
17,201.75,132.0,2.0,1.0,40.75,87.0,5.0,True
18,395.5,54.0,2.0,1.0,0.0,23.0,15.0,True
19,411.0,55.0,2.0,1.0,4.0,10.0,0.0,True
20,275.0,135.0,2.0,1.0,45.33,50.0,4.0,True
21,284.33,143.0,3.0,1.0,7.33,70.0,6.0,True
22,280.33,61.0,2.0,1.0,2.0,239.0,28.0,True
23,210.5,63.0,2.0,1.0,24.5,299.0,26.0,True
24,231.25,66.0,2.0,1.0,27.75,74.0,2.0,True
25,213.25,46.0,2.0,1.0,1.75,202.0,15.0,True
26,427.0,155.0,2.0,1.0,12.0,4.0,0.0,True
27,288.33,69.0,3.0,1.0,53.0,31.0,1.0,True
28,295.33,51.0,2.0,1.0,15.0,417.0,179.0,True
29,445.5,97.0,2.0,1.0,0.0,22.0,6.0,True
30,307.33,61.0,2.0,1.0,6.67,65.0,6.0,True
31,324.0,64.0,2.0,1.0,20.0,110.0,0.0,True
32,309.0,189.0,2.0,1.0,27.0,39.0,2.0,True
33,333.67,20.0,2.0,1.0,26.0,85.0,1.0,True
34,350.0,36.0,2.0,1.0,34.0,55.0,13.0,True
35,353.0,16.0,2.0,1.0,3.0,77.0,8.0,True
36,304.0,105.0,3.0,1.0,4.75,26.0,12.0,True
37,290.0,50.0,2.0,1.0,14.5,237.0,3.0,True
38,394.67,57.0,2.0,1.0,0.33,123.0,19.0,True
39,301.5,48.0,2.0,1.0,27.0,337.0,220.0,True
40,279.37,74.37,2.0,1.0,9.83,204.85,23.66,True
41,279.95,66.32,2.0,1.0,5.12,225.41,26.27,True
42,277.2,104.44,2.0,1.0,27.44,128.04,13.91,True
43,278.65,84.37,2.0,1.0,15.68,179.31,20.42,True
44,276.25,117.59,2.0,1.0,35.14,94.46,9.65,True
45,278.32,88.93,2.0,1.0,18.35,167.67,18.94,True
46,277.53,99.95,2.0,1.0,24.81,139.52,15.37,True
47,278.11,91.81,2.0,1.0,20.04,160.3,18.01,True
48,278.23,90.16,2.0,1.0,19.08,164.52,18.54,True
49,279.96,66.15,2.0,1.0,5.01,225.85,26.33,True
50,279.14,77.6,2.0,1.0,11.72,196.61,22.62,True
51,276.44,115.0,2.0,1.0,33.62,101.09,10.49,True
52,277.6,98.94,2.0,1.0,24.22,142.09,15.69,True
53,279.2,76.71,2.0,1.0,11.2,198.88,22.91,True
54,279.29,75.53,2.0,1.0,10.51,201.89,23.29,True
55,277.11,105.75,2.0,1.0,28.21,124.7,13.49,True
56,275.64,126.18,2.0,1.0,40.17,72.52,6.86,True
57,275.33,130.41,2.0,1.0,42.65,61.72,5.49,True
58,279.71,69.71,2.0,1.0,7.1,216.76,25.18,True
59,276.67,111.81,2.0,1.0,31.75,109.24,11.52,True
60,280.04,65.09,2.0,1.0,4.4,228.55,26.67,True
61,275.19,132.37,2.0,1.0,43.79,56.71,4.85,True
62,279.11,78.02,2.0,1.0,11.96,195.54,22.48,True
63,275.24,131.69,2.0,1.0,43.39,58.46,5.07,True
64,279.74,69.18,2.0,1.0,6.79,218.1,25.35,True
65,276.53,113.71,2.0,1.0,32.87,104.37,10.9,True
66,275.26,131.37,2.0,1.0,43.21,59.28,5.18,True
67,276.59,112.93,2.0,1.0,32.41,106.38,11.16,True
68,275.82,123.64,2.0,1.0,38.68,79.0,7.68,True
69,277.72,97.26,2.0,1.0,23.24,146.38,16.24,True
70,275.79,124.03,2.0,1.0,38.91,78.02,7.56,True
71,276.16,118.89,2.0,1.0,35.9,91.16,9.23,True
72,278.66,84.18,2.0,1.0,15.57,179.8,20.48,True
73,277.81,96.0,2.0,1.0,22.5,149.61,16.65,True
74,275.93,122.09,2.0,1.0,37.77,82.97,8.19,True
75,280.26,62.07,2.0,1.0,2.62,236.28,27.65,True
76,279.33,74.9,2.0,1.0,10.14,203.51,23.49,True
77,279.25,76.06,2.0,1.0,10.82,200.53,23.11,True
78,276.94,108.09,2.0,1.0,29.57,118.74,12.73,True
79,278.43,87.36,2.0,1.0,17.44,171.67,19.45,True
80,275.29,130.95,2.0,1.0,42.96,60.34,5.31,True
81,276.45,114.81,2.0,1.0,33.51,101.56,10.55,True
82,276.74,110.9,2.0,1.0,31.22,111.55,11.82,True
83,275.55,127.38,2.0,1.0,40.87,69.47,6.47,True
84,278.0,93.34,2.0,1.0,20.94,156.4,17.51,True
85,275.78,124.23,2.0,1.0,39.02,77.52,7.49,True
86,275.99,121.24,2.0,1.0,37.28,85.14,8.46,True
87,279.99,65.75,2.0,1.0,4.78,226.88,26.46,True
88,275.44,128.92,2.0,1.0,41.77,65.52,5.97,True
89,276.29,117.07,2.0,1.0,34.83,95.81,9.82,True
90,278.66,84.16,2.0,1.0,15.56,179.86,20.49,True
91,280.21,62.71,2.0,1.0,3.0,234.63,27.44,True
92,278.84,81.71,2.0,1.0,14.13,186.11,21.28,True
93,275.48,128.29,2.0,1.0,41.4,67.13,6.18,True
94,277.36,102.25,2.0,1.0,26.15,133.66,14.62,True
95,279.84,67.79,2.0,1.0,5.97,221.66,25.8,True
96,275.64,126.13,2.0,1.0,40.14,72.67,6.88,True
97,275.38,129.71,2.0,1.0,42.24,63.5,5.71,True
98,275.56,127.29,2.0,1.0,40.82,69.7,6.5,True
99,279.02,79.27,2.0,1.0,12.7,192.33,22.07,True
100,276.79,110.21,2.0,1.0,30.82,113.32,12.04,True
101,276.57,113.24,2.0,1.0,32.59,105.59,11.06,True
102,278.07,92.36,2.0,1.0,20.36,158.9,17.83,True
103,279.15,77.47,2.0,1.0,11.65,196.93,22.66,True
104,279.83,67.92,2.0,1.0,6.05,221.34,25.76,True
105,279.97,66.03,2.0,1.0,4.95,226.16,26.37,True
106,278.65,84.41,2.0,1.0,15.71,179.2,20.41,True
107,278.81,82.14,2.0,1.0,14.38,185.02,21.14,True
108,278.05,92.66,2.0,1.0,20.54,158.15,17.73,True
109,278.85,81.58,2.0,1.0,14.05,186.43,21.32,True
110,278.22,90.38,2.0,1.0,19.21,163.96,18.47,True
111,277.02,106.92,2.0,1.0,28.89,121.71,13.11,True
112,275.53,127.65,2.0,1.0,41.03,68.76,6.38,True
113,280.15,63.61,2.0,1.0,3.53,232.33,27.15,True
114,275.37,129.87,2.0,1.0,42.33,63.11,5.66,True
115,278.9,80.94,2.0,1.0,13.68,188.07,21.53,True
116,279.35,74.58,2.0,1.0,9.95,204.31,23.59,True
117,279.28,75.66,2.0,1.0,10.58,201.56,23.25,True
118,279.47,72.96,2.0,1.0,9.0,208.46,24.12,True
119,278.68,83.96,2.0,1.0,15.45,180.36,20.55,True
120,279.78,68.65,2.0,1.0,6.48,219.46,25.52,True
121,278.16,91.11,2.0,1.0,19.63,162.09,18.23,True
122,275.39,129.53,2.0,1.0,42.13,63.97,5.77,True
123,276.27,117.41,2.0,1.0,35.03,94.92,9.7,True
124,276.38,115.79,2.0,1.0,34.09,99.06,10.23,True
125,278.85,81.65,2.0,1.0,14.09,186.26,21.3,True
126,279.81,68.32,2.0,1.0,6.29,220.31,25.63,True
127,278.99,79.6,2.0,1.0,12.89,191.5,21.97,True
128,276.52,113.93,2.0,1.0,32.99,103.82,10.83,True
129,275.4,129.44,2.0,1.0,42.08,64.19,5.8,True
130,279.48,72.83,2.0,1.0,8.93,208.78,24.16,True
131,276.8,110.02,2.0,1.0,30.7,113.81,12.1,True
132,279.46,73.06,2.0,1.0,9.06,208.21,24.09,True
133,275.2,132.16,2.0,1.0,43.67,57.26,4.92,True
134,279.84,67.86,2.0,1.0,6.02,221.48,25.78,True
135,279.62,70.92,2.0,1.0,7.81,213.67,24.78,True
136,276.4,115.52,2.0,1.0,33.93,99.74,10.32,True
137,279.67,70.22,2.0,1.0,7.4,215.46,25.01,True
138,275.2,132.2,2.0,1.0,43.69,57.16,4.91,True
139,276.85,109.34,2.0,1.0,30.31,115.54,12.32,True
140,277.41,101.53,2.0,1.0,25.73,135.49,14.86,True
141,277.84,95.62,2.0,1.0,22.27,150.59,16.77,True
142,279.83,68.05,2.0,1.0,6.13,220.99,25.71,True
143,278.85,81.63,2.0,1.0,14.08,186.32,21.31,True
144,278.53,86.01,2.0,1.0,16.64,175.13,19.89,True
145,279.78,68.64,2.0,1.0,6.47,219.48,25.52,True
146,279.9,67.04,2.0,1.0,5.54,223.58,26.04,True
147,275.49,128.17,2.0,1.0,41.33,67.45,6.22,True
148,278.11,91.91,2.0,1.0,20.1,160.06,17.98,True
149,278.78,82.58,2.0,1.0,14.64,183.89,21.0,True
150,280.24,62.35,2.0,1.0,2.79,235.55,27.56,True
151,279.77,68.8,2.0,1.0,6.56,219.09,25.47,True
152,279.3,75.38,2.0,1.0,10.42,202.26,23.33,True
153,280.32,61.25,2.0,1.0,2.15,238.37,27.92,True
154,279.05,78.82,2.0,1.0,12.43,193.49,22.22,True
155,275.69,125.44,2.0,1.0,39.74,74.41,7.1,True
156,279.05,78.86,2.0,1.0,12.46,193.38,22.21,True
