,nuc,aexp,nd,ns,age,la,ld,target
0,375.5,12.0,2.0,2.0,68.5,10.0,0.0,True
1,380.5,27.0,2.0,2.0,35.5,5.0,1.0,True
2,401.5,107.0,2.0,2.0,17.0,4.0,1.0,True
3,388.0,28.0,2.0,2.0,11.5,11.0,3.0,True
4,395.5,20.0,2.0,2.0,101.5,4.0,1.0,True
5,390.5,22.0,2.0,2.0,23.0,43.0,1.0,True
6,397.5,30.0,2.0,2.0,16.0,7.0,2.0,True
7,420.0,40.0,2.0,2.0,35.5,11.0,0.0,True
8,423.5,42.0,2.0,2.0,5.5,4.0,1.0,True
9,465.5,122.0,2.0,2.0,0.5,7.0,4.0,True
10,422.5,15.0,2.0,2.0,85.5,182.0,155.0,True
11,472.0,153.0,2.0,2.0,0.5,9.0,2.0,True
12,429.0,8.0,2.0,2.0,0.0,197.0,0.0,True
13,356.0,87.0,2.0,1.0,4.5,6.0,1.0,True
14,380.0,120.0,2.0,1.0,30.5,4.0,1.0,True
15,395.5,54.0,2.0,1.0,0.0,23.0,15.0,True
16,411.0,55.0,2.0,1.0,4.0,10.0,0.0,True
17,427.0,155.0,2.0,1.0,12.0,4.0,0.0,True
18,425.5,162.0,2.0,1.0,81.0,8.0,0.0,True
19,445.5,97.0,2.0,1.0,0.0,22.0,6.0,True
20,448.5,1.0,2.0,1.0,10.5,38.0,19.0,True
21,457.0,199.0,2.0,1.0,18.0,5.0,0.0,True
22,456.5,203.0,2.0,1.0,18.5,193.0,190.0,True
23,479.5,87.0,2.0,1.0,7.0,72.0,24.0,True
24,496.5,253.0,2.0,1.0,7.5,4.0,0.0,True
25,517.5,25.0,2.0,1.0,3.0,10.0,3.0,True
26,495.0,71.0,2.0,1.0,0.0,4.0,0.0,True
27,354.0,9.0,2.0,1.0,4.0,25.0,0.0,True
28,512.0,210.0,2.0,1.0,111.0,56.0,0.0,True
29,350.0,36.0,2.0,1.0,34.0,55.0,13.0,True
30,353.0,16.0,2.0,1.0,3.0,77.0,8.0,True
31,535.5,65.0,2.0,1.0,0.0,9.0,0.0,True
32,539.0,66.0,2.0,1.0,87.0,4.0,0.0,True
33,566.0,298.0,2.0,1.0,4.0,22.0,0.0,True
34,575.0,330.0,2.0,1.0,99.0,20.0,0.0,True
35,582.0,276.0,2.0,1.0,197.5,2.0,4.0,True
36,390.67,56.0,2.0,1.0,74.33,95.0,2.0,True
37,585.0,1.0,2.0,1.0,4.5,10.0,3.0,True
38,394.67,57.0,2.0,1.0,0.33,123.0,19.0,True
39,593.0,305.0,2.0,1.0,45.0,5.0,0.0,True
40,451.81,84.57,2.0,1.0,13.81,102.12,89.74,True
41,449.66,30.31,2.0,1.0,11.66,60.49,43.82,True
42,452.7,106.98,2.0,1.0,14.7,119.32,108.71,True
43,452.15,93.07,2.0,1.0,14.15,108.65,96.94,True
44,451.35,72.88,2.0,1.0,13.35,93.15,79.85,True
45,449.96,37.92,2.0,1.0,11.96,66.33,50.25,True
46,453.37,124.02,2.0,1.0,15.37,132.4,123.14,True
47,453.17,118.96,2.0,1.0,15.17,128.51,118.86,True
48,454.68,156.96,2.0,1.0,16.68,157.67,151.03,True
49,451.37,73.45,2.0,1.0,13.37,93.59,80.33,True
50,448.5,1.06,2.0,1.0,10.5,38.05,19.05,True
51,454.9,162.62,2.0,1.0,16.9,162.02,155.82,True
52,455.64,181.41,2.0,1.0,17.64,176.43,171.72,True
53,455.15,169.0,2.0,1.0,17.15,166.91,161.21,True
54,454.99,164.95,2.0,1.0,16.99,163.81,157.79,True
55,454.98,164.68,2.0,1.0,16.98,163.59,157.56,True
56,450.86,60.7,2.0,1.0,12.86,83.81,69.54,True
57,455.43,175.98,2.0,1.0,17.43,172.27,167.13,True
58,455.06,166.66,2.0,1.0,17.06,165.12,159.24,True
59,453.0,114.58,2.0,1.0,15.0,125.16,115.15,True
60,454.65,156.3,2.0,1.0,16.65,157.16,150.46,True
61,448.67,5.4,2.0,1.0,10.67,41.38,22.72,True
62,448.69,5.89,2.0,1.0,10.69,41.76,23.14,True
63,453.56,128.67,2.0,1.0,15.56,135.96,127.08,True
64,452.3,97.04,2.0,1.0,14.3,111.7,100.3,True
65,450.65,55.17,2.0,1.0,12.65,79.57,64.86,True
66,454.23,145.68,2.0,1.0,16.23,149.02,141.48,True
67,454.87,161.76,2.0,1.0,16.87,161.35,155.09,True
68,449.89,35.97,2.0,1.0,11.89,64.84,48.61,True
69,455.29,172.39,2.0,1.0,17.29,169.51,164.09,True
70,455.75,184.16,2.0,1.0,17.75,178.54,174.05,True
71,452.1,91.9,2.0,1.0,14.1,107.75,95.95,True
72,452.99,114.42,2.0,1.0,14.99,125.03,115.01,True
73,452.76,108.65,2.0,1.0,14.76,120.6,110.13,True
74,450.92,62.12,2.0,1.0,12.92,84.9,70.74,True
75,450.62,54.5,2.0,1.0,12.62,79.05,64.29,True
76,451.07,65.89,2.0,1.0,13.07,87.79,73.93,True
77,454.57,154.27,2.0,1.0,16.57,155.61,148.75,True
78,449.5,26.17,2.0,1.0,11.5,57.31,40.3,True
79,450.72,57.16,2.0,1.0,12.72,81.1,66.55,True
80,450.1,41.43,2.0,1.0,12.1,69.02,53.23,True
81,449.78,33.36,2.0,1.0,11.78,62.83,46.39,True
82,451.85,85.61,2.0,1.0,13.85,102.92,90.62,True
83,449.36,22.76,2.0,1.0,11.36,54.7,37.42,True
84,450.14,42.36,2.0,1.0,12.14,69.74,54.01,True
85,449.09,15.99,2.0,1.0,11.09,49.5,31.69,True
86,449.11,16.31,2.0,1.0,11.11,49.75,31.96,True
87,454.98,164.65,2.0,1.0,16.98,163.58,157.54,True
88,449.79,33.65,2.0,1.0,11.79,63.06,46.64,True
89,453.89,137.03,2.0,1.0,15.89,142.38,134.15,True
90,451.72,82.28,2.0,1.0,13.72,100.37,87.81,True
91,453.22,120.12,2.0,1.0,15.22,129.4,119.84,True
92,456.49,202.75,2.0,1.0,18.49,192.81,189.79,True
93,452.36,98.52,2.0,1.0,14.36,112.83,101.55,True
94,453.28,121.73,2.0,1.0,15.28,130.64,121.2,True
95,455.49,177.4,2.0,1.0,17.49,173.36,168.33,True
96,452.25,95.8,2.0,1.0,14.25,110.74,99.25,True
97,456.02,190.88,2.0,1.0,18.02,183.7,179.74,True
98,453.62,130.19,2.0,1.0,15.62,137.13,128.36,True
99,451.61,79.5,2.0,1.0,13.61,98.23,85.45,True
100,452.63,105.29,2.0,1.0,14.63,118.03,107.29,True
101,455.39,174.9,2.0,1.0,17.39,171.44,166.21,True
102,448.64,4.65,2.0,1.0,10.64,40.8,22.09,True
103,452.78,109.13,2.0,1.0,14.78,120.97,110.54,True
104,453.74,133.37,2.0,1.0,15.74,139.57,131.06,True
105,456.36,199.37,2.0,1.0,18.36,190.22,186.93,True
106,448.54,2.02,2.0,1.0,10.54,38.78,19.86,True
107,451.76,83.21,2.0,1.0,13.76,101.09,88.6,True
108,451.47,75.97,2.0,1.0,13.47,95.53,82.47,True
109,449.43,24.6,2.0,1.0,11.43,56.11,38.98,True
110,454.8,160.01,2.0,1.0,16.8,160.01,153.61,True
111,449.24,19.58,2.0,1.0,11.24,52.26,34.73,True
112,455.97,189.63,2.0,1.0,17.97,182.74,178.68,True
113,454.63,155.85,2.0,1.0,16.63,156.82,150.08,True
114,453.39,124.47,2.0,1.0,15.39,132.74,123.52,True
115,449.54,27.25,2.0,1.0,11.54,58.14,41.22,True
116,452.67,106.21,2.0,1.0,14.67,118.73,108.06,True
117,455.53,178.46,2.0,1.0,17.53,174.17,169.23,True
118,451.15,67.85,2.0,1.0,13.15,89.3,75.59,True
119,449.86,35.23,2.0,1.0,11.86,64.27,47.98,True
120,454.73,158.42,2.0,1.0,16.73,158.79,152.26,True
121,448.89,10.97,2.0,1.0,10.89,45.65,27.44,True
122,449.95,37.7,2.0,1.0,11.95,66.16,50.07,True
123,452.09,91.64,2.0,1.0,14.09,107.55,95.73,True
124,451.83,85.08,2.0,1.0,13.83,102.52,90.18,True
125,448.89,10.78,2.0,1.0,10.89,45.51,27.28,True
126,451.57,78.4,2.0,1.0,13.57,97.39,84.52,True
127,450.35,47.64,2.0,1.0,12.35,73.79,58.49,True
128,451.45,75.61,2.0,1.0,13.45,95.25,82.16,True
129,451.91,87.19,2.0,1.0,13.91,104.13,91.96,True
130,453.7,132.18,2.0,1.0,15.7,138.66,130.05,True
131,453.88,136.85,2.0,1.0,15.88,142.25,134.01,True
132,450.57,53.38,2.0,1.0,12.57,78.19,63.34,True
