,nuc,aexp,nd,ns,age,la,ld,target
0,157.5,73.0,2.0,1.0,12.5,42.0,10.0,True
1,164.0,87.0,2.0,1.0,14.0,7.0,0.0,True
2,144.0,116.0,3.0,1.0,34.67,17.0,5.0,True
3,148.0,125.0,2.0,1.0,24.67,48.0,0.0,True
4,151.33,126.0,3.0,1.0,5.67,338.0,4.0,True
5,217.5,114.0,2.0,1.0,3.5,21.0,14.0,True
6,186.33,148.0,2.0,1.0,0.0,43.0,5.0,True
7,269.0,152.0,2.0,1.0,7.0,12.0,8.0,True
8,184.67,149.0,2.0,1.0,0.0,59.0,4.0,True
9,190.67,64.0,2.0,1.0,13.67,8.0,3.0,True
10,198.0,71.0,2.0,1.0,0.0,34.0,2.0,True
11,324.5,33.0,2.0,1.0,7.5,4.0,0.0,True
12,208.33,75.0,2.0,1.0,24.67,82.0,27.0,True
13,222.67,39.0,2.0,1.0,11.67,39.0,4.0,True
14,224.67,62.0,2.0,1.0,22.67,61.0,0.0,True
15,242.67,77.0,2.0,1.0,5.67,81.0,5.0,True
16,356.0,87.0,2.0,1.0,4.5,6.0,1.0,True
17,242.0,93.0,2.0,1.0,54.33,71.0,73.0,True
18,244.33,112.0,3.0,1.0,68.0,49.0,6.0,True
19,380.0,120.0,2.0,1.0,30.5,4.0,1.0,True
20,271.33,124.0,3.0,1.0,9.33,61.0,36.0,True
21,202.5,127.0,3.0,1.0,0.5,16.0,70.0,True
22,201.75,132.0,2.0,1.0,40.75,87.0,5.0,True
23,275.0,135.0,2.0,1.0,45.33,50.0,4.0,True
24,284.33,143.0,3.0,1.0,7.33,70.0,6.0,True
25,280.33,61.0,2.0,1.0,2.0,239.0,28.0,True
26,210.5,63.0,2.0,1.0,24.5,299.0,26.0,True
27,231.25,66.0,2.0,1.0,27.75,74.0,2.0,True
28,213.25,46.0,2.0,1.0,1.75,202.0,15.0,True
29,288.33,69.0,3.0,1.0,53.0,31.0,1.0,True
30,177.67,162.0,2.0,1.0,3.67,20.0,3.0,True
31,185.4,169.0,4.0,1.0,13.2,68.0,21.0,True
32,295.33,51.0,2.0,1.0,15.0,417.0,179.0,True
33,307.33,61.0,2.0,1.0,6.67,65.0,6.0,True
34,324.0,64.0,2.0,1.0,20.0,110.0,0.0,True
35,309.0,189.0,2.0,1.0,27.0,39.0,2.0,True
36,265.5,33.0,4.0,1.0,26.75,192.0,3.0,True
37,304.0,105.0,3.0,1.0,4.75,26.0,12.0,True
38,290.0,50.0,2.0,1.0,14.5,237.0,3.0,True
39,301.5,48.0,2.0,1.0,27.0,337.0,220.0,True
40,207.69,131.32,2.09,1.0,38.07,84.78,7.65,True
41,267.46,124.44,2.94,1.0,11.08,62.45,34.28,True
42,257.66,125.57,2.8,1.0,15.51,66.11,29.91,True
43,260.26,125.27,2.84,1.0,14.33,65.14,31.06,True
44,270.76,124.07,2.99,1.0,9.59,61.22,35.74,True
45,243.22,127.23,2.6,1.0,22.03,71.51,23.47,True
46,232.38,128.48,2.44,1.0,26.92,75.55,18.65,True
47,207.99,131.28,2.09,1.0,37.93,84.67,7.78,True
48,245.0,127.03,2.62,1.0,21.22,70.84,24.27,True
49,230.98,128.64,2.42,1.0,27.55,76.08,18.02,True
50,242.02,127.37,2.58,1.0,22.57,71.95,22.94,True
51,216.21,130.34,2.21,1.0,34.22,81.6,11.44,True
52,258.02,125.53,2.81,1.0,15.35,65.98,30.07,True
53,266.37,124.57,2.93,1.0,11.57,62.85,33.79,True
54,260.81,125.21,2.85,1.0,14.08,64.93,31.31,True
55,221.9,129.68,2.29,1.0,31.65,79.47,13.98,True
56,204.62,131.67,2.04,1.0,39.45,85.93,6.28,True
57,264.88,124.74,2.91,1.0,12.24,63.41,33.13,True
58,206.54,131.45,2.07,1.0,38.59,85.21,7.14,True
59,241.26,127.46,2.57,1.0,22.91,72.24,22.6,True
60,231.5,128.58,2.43,1.0,27.32,75.89,18.25,True
61,224.25,129.41,2.32,1.0,30.59,78.59,15.02,True
62,207.09,131.39,2.08,1.0,38.34,85.0,7.38,True
63,266.41,124.57,2.93,1.0,11.55,62.84,33.81,True
64,227.69,129.02,2.37,1.0,29.04,77.31,16.56,True
65,223.65,129.48,2.31,1.0,30.86,78.82,14.76,True
66,232.44,128.47,2.44,1.0,26.89,75.53,18.67,True
67,214.91,130.49,2.19,1.0,34.81,82.08,10.86,True
68,247.99,126.68,2.66,1.0,19.87,69.72,25.6,True
69,232.37,128.48,2.44,1.0,26.92,75.56,18.64,True
70,219.14,130.0,2.25,1.0,32.9,80.5,12.75,True
71,250.87,126.35,2.71,1.0,18.57,68.64,26.89,True
72,261.38,125.14,2.86,1.0,13.83,64.72,31.57,True
73,223.0,129.56,2.31,1.0,31.16,79.06,14.47,True
74,212.13,130.81,2.15,1.0,36.06,83.12,9.62,True
75,259.48,125.36,2.83,1.0,14.69,65.43,30.72,True
76,244.09,127.13,2.61,1.0,21.63,71.18,23.86,True
77,256.42,125.71,2.79,1.0,16.07,66.57,29.36,True
78,244.51,127.08,2.61,1.0,21.45,71.02,24.05,True
79,235.35,128.14,2.48,1.0,25.58,74.45,19.97,True
80,259.47,125.36,2.83,1.0,14.69,65.43,30.71,True
81,261.48,125.13,2.86,1.0,13.78,64.68,31.61,True
82,218.92,130.03,2.25,1.0,33.0,80.58,12.65,True
83,221.05,129.78,2.28,1.0,32.04,79.79,13.6,True
84,258.78,125.44,2.82,1.0,15.0,65.69,30.41,True
85,209.41,131.12,2.11,1.0,37.29,84.14,8.41,True
86,255.76,125.79,2.78,1.0,16.37,66.82,29.06,True
87,230.15,128.73,2.41,1.0,27.93,76.39,17.65,True
88,266.01,124.61,2.92,1.0,11.74,62.99,33.63,True
89,237.36,127.91,2.51,1.0,24.67,73.69,20.86,True
90,203.15,131.84,2.02,1.0,40.12,86.48,5.62,True
91,266.69,124.53,2.93,1.0,11.43,62.73,33.93,True
92,245.43,126.98,2.63,1.0,21.03,70.68,24.46,True
93,229.99,128.75,2.41,1.0,28.0,76.45,17.58,True
94,209.68,131.09,2.11,1.0,37.17,84.04,8.53,True
95,241.47,127.43,2.57,1.0,22.82,72.16,22.7,True
96,203.6,131.79,2.03,1.0,39.92,86.31,5.82,True
97,260.37,125.26,2.84,1.0,14.28,65.1,31.11,True
98,261.0,125.19,2.85,1.0,14.0,64.86,31.39,True
99,216.87,130.26,2.22,1.0,33.92,81.35,11.74,True
100,262.76,124.99,2.88,1.0,13.2,64.2,32.18,True
