,nuc,aexp,nd,ns,age,la,ld,target
0,5.0,5.0,2.0,2.0,10.83,60.0,22.0,1
1,6.33,3.0,3.0,2.0,6.0,36.0,0.0,1
2,7.2,0.0,2.0,2.0,2.4,279.0,90.0,0
3,10.0,0.0,2.0,2.0,0.0,34.0,3.0,1
4,7.0,7.0,2.0,2.0,2.5,248.0,180.0,1
5,11.25,1.0,2.0,2.0,18.75,205.0,152.0,1
6,19.0,16.0,2.0,2.0,26.67,8.0,68.0,1
7,26.0,4.0,2.0,2.0,16.33,35.0,91.0,1
8,21.5,9.0,2.0,2.0,0.0,67.0,8.0,1
9,17.75,8.0,3.0,2.0,33.75,267.0,117.0,1
10,13.17,10.0,2.0,2.0,22.67,25.0,17.0,1
11,29.67,10.0,2.0,2.0,1.67,244.0,3.0,1
12,16.0,12.0,2.0,2.0,3.14,210.0,32.0,1
13,31.67,1.0,2.0,2.0,48.0,117.0,14.0,1
14,36.67,19.0,2.0,2.0,55.33,33.0,5.0,1
15,18.56,23.0,5.0,2.0,12.67,349.0,45.0,1
16,78.5,0.0,2.0,2.0,18.0,8.0,3.0,1
17,82.5,31.0,2.0,2.0,47.0,7.0,1.0,1
18,56.67,1.0,2.0,2.0,24.0,164.0,1.0,1
19,20.25,5.0,3.0,2.0,1.75,592.0,11.0,1
20,31.67,26.0,3.0,2.0,7.5,412.0,1.0,1
21,60.67,27.0,2.0,2.0,42.33,69.0,28.0,1
22,96.5,0.0,2.0,2.0,28.5,12.0,3.0,1
23,67.67,10.0,2.0,2.0,25.67,76.0,21.0,1
24,108.0,35.0,2.0,2.0,0.0,137.0,43.0,1
25,39.14,39.0,5.0,2.0,0.14,69.0,57.0,1
26,121.5,43.0,2.0,2.0,12.5,9.0,5.0,1
27,20.36,38.0,7.0,2.0,18.14,133.0,71.0,1
28,33.91,45.0,7.0,2.0,2.55,48.0,344.0,1
29,69.0,39.0,3.0,2.0,8.75,162.0,7.0,1
30,70.5,60.0,4.0,2.0,51.75,108.0,2.0,1
31,145.5,54.0,2.0,2.0,28.0,8.0,3.0,1
32,26.57,39.0,3.0,2.0,42.86,527.0,388.0,1
33,92.75,55.0,2.0,2.0,18.0,60.0,53.0,1
34,41.38,41.0,5.0,2.0,29.12,158.0,34.0,1
35,106.67,11.0,2.0,2.0,49.0,104.0,6.0,1
36,111.0,46.0,2.0,2.0,10.33,54.0,2.0,1
37,54.67,74.0,4.0,2.0,16.5,200.0,5.0,1
38,168.0,46.0,2.0,2.0,3.5,5.0,1.0,1
39,46.44,49.0,5.0,2.0,20.44,176.0,20.0,1
40,115.33,50.0,3.0,2.0,17.0,46.0,16.0,1
41,97.25,48.0,2.0,2.0,29.5,107.0,12.0,1
42,184.0,78.0,2.0,2.0,3.5,4.0,2.0,1
43,121.67,53.0,2.0,2.0,38.0,103.0,4.0,1
44,41.56,55.0,4.0,2.0,99.22,92.0,9.0,1
45,44.46,53.0,3.0,2.0,51.54,405.0,76.0,1
46,188.0,7.0,2.0,2.0,68.0,25.0,6.0,1
47,46.67,84.0,6.0,2.0,50.67,343.0,19.0,1
48,106.0,60.0,3.0,2.0,1.0,612.0,65.0,1
49,40.5,49.0,5.0,2.0,2.62,181.0,384.0,1
50,202.5,52.0,2.0,2.0,2.5,9.0,2.0,1
51,208.0,13.0,2.0,2.0,6.5,62.0,12.0,1
52,206.0,63.0,2.0,2.0,7.5,6.0,0.0,1
53,146.33,97.0,2.0,2.0,10.33,28.0,23.0,1
54,70.5,45.0,5.0,2.0,7.88,69.0,47.0,1
55,147.33,17.0,2.0,2.0,103.33,132.0,1.0,1
56,25.25,104.0,4.0,2.0,71.25,96.0,105.0,1
57,33.0,106.0,2.0,2.0,34.86,1486.0,348.0,1
