,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,148.0,11.0,17.0,1.0,0.0,10.0,6.0,0.0,True
1,142.0,16.0,17.0,1.0,0.0,12.0,1.0,0.0,True
2,191.0,234.0,18.0,1.0,3.0,127.0,6.0,2.0,True
3,192.0,68.0,18.0,1.0,1.0,52.0,6.0,1.0,True
4,192.0,45.0,22.0,1.0,2.0,32.0,17.0,1.0,False
5,176.0,148.0,19.0,1.0,5.0,99.0,3.0,3.0,True
6,233.0,1.0,23.0,1.0,8.0,0.0,16.0,8.0,False
7,231.0,3.0,21.0,1.0,9.0,2.0,67.0,139.0,False
8,87.0,189.0,18.0,1.0,0.0,129.0,6.0,5.0,True
9,105.0,31.0,21.0,1.0,1.0,19.0,2.0,0.0,False
10,215.0,22.0,19.5,2.0,35.0,0.7,102.0,114.0,False
11,111.0,70.0,20.0,1.0,14.0,48.0,5.0,0.0,False
12,95.0,47.0,21.0,1.0,1.0,32.0,1.0,1.0,True
13,240.0,199.0,21.5,2.0,8.0,0.03,10.0,10.0,False
14,78.0,3.0,17.0,1.0,0.0,2.0,2.0,19.0,True
15,79.0,37.0,20.0,1.0,2.0,24.0,1.0,1.0,True
16,181.0,4.0,21.5,1.0,1.0,3.0,7.0,7.0,False
17,83.0,28.0,22.0,1.0,9.0,15.0,2.0,1.0,True
18,59.0,55.0,18.0,1.0,5.0,18.0,20.0,5.0,True
19,159.5,13.0,20.0,2.0,17.5,6.0,180.0,94.0,False
20,67.0,150.0,17.5,2.0,4.0,1.0,9.0,0.0,False
21,48.0,68.0,22.0,1.0,10.0,35.0,2.0,2.0,True
22,107.0,27.0,21.5,2.0,8.5,5.0,2.0,12.0,False
23,108.0,28.0,21.5,2.0,0.0,6.0,12.0,2.0,True
24,131.5,54.0,18.5,2.0,32.0,0.62,76.0,46.0,False
25,192.0,4.0,21.5,1.0,2.0,4.0,2.0,2.0,True
26,178.0,0.0,21.0,2.0,10.0,0.0,78.0,27.0,False
27,45.0,1.0,21.0,1.0,13.0,0.0,7.0,5.0,False
28,86.0,73.0,23.0,1.0,0.0,62.0,3.0,1.0,True
29,160.0,134.0,21.0,1.0,0.0,91.0,1.0,0.0,True
30,42.0,81.0,20.0,1.0,1.0,69.0,13.0,0.0,False
31,137.5,119.0,23.0,1.0,1.0,70.0,14.0,10.0,True
32,120.0,313.0,20.5,1.0,5.0,209.0,11.0,3.0,True
33,135.67,87.0,16.33,2.0,7.0,1.21,190.0,50.0,False
34,46.0,150.0,20.0,1.0,29.0,106.0,1.0,1.0,True
35,61.0,53.0,17.0,1.0,3.0,0.13,9.0,4.0,False
36,184.0,56.0,20.67,3.0,27.0,0.38,23.0,8.0,False
37,113.0,328.0,21.0,1.0,7.5,75.0,30.0,37.0,True
38,66.0,14.0,22.0,1.0,0.0,8.0,0.0,4.0,True
39,203.33,117.0,21.67,3.0,4.33,0.48,203.0,79.0,False
40,203.33,117.0,21.67,3.0,4.33,0.48,202.0,66.0,False
41,205.33,125.0,21.67,3.0,5.0,0.48,66.0,202.0,False
42,94.0,10.0,23.0,1.0,21.0,9.0,5.0,4.0,True
43,72.0,154.0,22.0,1.0,1.0,102.0,1.0,2.0,True
44,74.0,160.0,22.0,1.0,14.0,108.0,5.0,0.0,False
45,67.0,331.0,22.0,1.0,3.0,63.0,8.0,8.0,True
46,51.0,1.0,19.0,1.0,20.0,1.0,8.0,5.0,False
