,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,True
1,7.4,8.0,0.4,2.0,0.2,1.24,180.0,78.0,False
2,5.19,23.0,0.12,4.0,4.12,0.35,376.0,134.0,False
3,13.52,58.0,0.15,5.0,17.59,1.25,235.0,101.0,False
4,35.45,81.0,0.27,2.0,1.0,1.25,114.0,89.0,False
5,77.33,138.0,1.0,2.0,5.0,1.97,272.0,62.0,False
6,34.25,149.0,0.38,2.0,86.62,1.97,37.0,145.0,False
7,68.33,120.0,0.5,3.0,21.17,1.25,79.0,3.0,False
8,89.67,169.0,1.0,3.0,8.33,1.97,27.0,25.0,False
9,10.15,2.0,0.15,6.0,16.0,0.5,796.0,243.0,False
10,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,True
11,92.8,166.0,0.8,4.0,14.6,1.25,80.0,487.0,False
12,30.44,174.0,0.28,5.0,33.89,1.25,164.0,223.0,False
13,11.8,269.0,0.4,6.0,51.9,0.99,234.0,58.0,False
14,13.0,280.0,3.0,1.0,0.0,236.0,3.0,2.0,False
15,8.0,336.0,3.0,1.0,13.0,281.0,9.0,8.0,False
16,163.0,34.0,1.33,2.0,11.0,1.79,240.0,150.0,False
17,7.2,391.0,0.6,3.0,48.0,319.0,68.0,276.0,False
18,18.0,396.0,1.0,2.0,25.33,0.99,13.0,11.0,False
19,266.0,440.0,2.5,2.0,44.5,1.97,27.0,8.0,False
20,54.87,215.0,0.33,8.0,23.87,1.25,374.0,53.0,False
21,159.25,219.0,1.25,2.0,18.0,1.25,143.0,69.0,False
22,93.62,478.0,0.62,4.0,13.12,1.97,258.0,71.0,False
23,201.67,487.0,1.67,3.0,0.67,1.97,31.0,0.0,False
24,211.67,236.0,1.67,3.0,25.33,1.25,23.0,10.0,False
25,337.0,523.0,2.5,2.0,10.5,1.97,5.0,2.0,False
26,166.6,9.0,1.2,4.0,3.2,1.45,35.0,7.0,False
27,130.5,243.0,1.17,3.0,4.17,0.56,98.0,114.0,False
28,23.0,247.0,3.0,1.0,3.0,220.0,10.0,21.0,False
29,221.0,543.0,2.0,2.0,23.33,1.97,53.0,23.0,False
30,162.4,256.0,1.2,4.0,19.4,1.25,36.0,14.0,False
31,84.0,258.0,5.0,1.0,0.0,231.0,2.0,0.0,False
32,264.33,666.0,2.0,3.0,0.0,1.97,3.0,6.0,False
33,327.33,35.0,2.0,3.0,2.67,1.68,78.0,17.0,False
34,292.0,732.0,2.0,3.0,61.33,1.97,5.0,2.0,False
35,240.25,46.0,1.5,3.0,4.5,1.68,32.0,1.0,False
36,316.0,801.0,2.0,2.0,11.0,1.97,7.0,16.0,False
37,467.5,51.0,3.0,2.0,57.5,1.68,3.0,2.0,False
38,77.19,940.0,0.56,7.0,28.12,1.97,68.0,94.0,False
39,97.86,7.0,0.71,7.0,18.93,0.58,288.0,171.0,False
40,410.33,8.0,3.0,2.0,10.0,1.32,46.0,11.0,False
41,4.0,108.0,2.0,1.0,23.0,102.0,4.0,11.0,False
42,147.36,1086.0,0.82,5.0,15.64,1.97,307.0,93.0,False
43,162.18,1115.0,0.82,4.0,45.27,1.97,112.0,100.0,False
44,175.0,58.0,7.0,1.0,0.0,51.0,1.0,1.0,False
45,288.8,65.0,1.8,3.0,0.2,1.45,85.0,50.0,False
46,8.33,27.0,1.0,1.0,0.0,6.0,7.0,12.0,False
47,234.86,18.0,1.57,3.0,5.86,0.62,319.0,35.0,False
48,281.5,30.0,1.83,3.0,4.17,0.62,184.0,74.0,False
