,nuc,aexp,ndev,nd,age,asexp,la,ld,target
0,152.0,1.0,12.0,1.0,0.0,0.0,5.0,2.0,1
1,165.0,55.0,13.0,1.0,0.0,47.0,77.0,23.0,1
2,108.0,14.0,13.0,1.0,11.0,12.0,1.0,0.0,1
3,187.0,82.0,12.0,1.0,3.0,73.0,1.0,0.0,1
4,193.0,89.0,14.0,1.0,0.0,80.0,42.0,16.0,1
5,79.0,396.0,6.33,3.0,11.0,0.5,372.0,18.0,0
6,96.5,325.0,8.0,2.0,0.0,18.0,16.0,7.0,1
7,115.0,65.0,15.0,1.0,2.0,27.0,1.0,1.0,0
8,120.0,190.0,15.0,1.0,0.0,90.0,4.0,3.0,1
9,57.0,177.0,12.0,1.0,12.0,117.0,4.0,1.0,0
10,78.5,112.0,9.5,2.0,32.0,98.0,14.0,5.0,0
11,148.0,11.0,17.0,1.0,0.0,10.0,6.0,0.0,1
12,70.0,398.0,8.5,2.0,6.0,68.0,9.0,1.0,0
13,57.0,188.0,14.0,1.0,0.0,8.0,5.0,0.0,1
14,142.0,16.0,17.0,1.0,0.0,12.0,1.0,0.0,1
15,47.0,103.0,15.0,1.0,1.0,8.0,8.0,8.0,0
16,60.0,75.0,12.0,1.0,15.0,67.0,4.0,0.0,1
17,96.5,157.0,10.0,2.0,11.5,0.5,4.0,3.0,0
18,88.0,3.0,10.0,1.0,0.0,2.0,133.0,2.0,1
19,62.0,211.0,13.0,1.0,19.0,137.0,16.0,2.0,1
20,128.5,23.0,10.0,2.0,0.5,0.35,3.0,2.0,0
21,57.0,40.0,15.0,1.0,1.0,8.0,15.0,0.0,0
22,50.0,121.0,13.0,1.0,15.0,72.0,1.0,1.0,0
23,145.0,87.0,10.5,1.0,4.5,46.0,18.0,3.0,0
24,68.0,38.0,16.0,1.0,0.0,27.0,123.0,2.0,1
25,112.5,48.0,10.0,2.0,24.5,34.0,59.0,2.0,0
26,133.0,176.0,10.0,2.0,8.5,146.0,47.0,0.0,0
27,94.0,149.0,16.0,1.0,31.0,86.0,4.0,0.0,1
28,72.0,222.0,16.0,1.0,0.0,142.0,88.0,21.0,1
29,52.5,32.0,9.0,2.0,6.0,20.0,19.0,12.0,0
30,109.5,187.0,11.0,2.0,7.0,155.0,19.0,5.0,0
31,62.0,16.0,16.0,1.0,10.0,0.0,10.0,1.0,0
32,108.0,190.0,13.0,1.0,15.0,158.0,1.0,0.0,1
33,92.5,489.0,9.5,2.0,5.0,134.0,15.0,0.0,0
34,94.0,6.0,16.0,1.0,4.0,2.0,4.0,0.0,0
35,148.0,153.0,10.0,1.0,11.0,103.0,69.0,4.0,0
36,110.0,53.0,13.0,1.0,12.0,38.0,21.0,0.0,0
37,78.0,52.0,7.33,3.0,0.67,37.0,2.0,10.0,0
38,38.0,48.0,12.0,1.0,0.0,33.0,25.0,3.0,1
39,40.0,50.0,12.0,1.0,0.0,35.0,34.0,3.0,1
40,43.0,51.0,13.0,1.0,0.0,36.0,2.0,0.0,1
41,63.0,3.0,9.5,2.0,46.5,3.0,20.0,5.0,0
42,29.0,2.0,12.0,1.0,3.0,0.0,24.0,5.0,0
43,94.0,8.0,8.33,2.0,8.0,8.0,15.0,11.0,0
44,122.0,10.0,15.0,1.0,2.0,10.0,5.0,2.0,0
45,40.0,8.0,12.0,1.0,6.0,2.0,4.0,4.0,0
46,46.0,10.0,14.0,1.0,4.0,5.0,50.0,33.0,0
47,63.0,7.0,14.0,1.0,24.0,2.0,64.0,0.0,0
48,48.0,13.0,16.0,1.0,14.0,8.0,30.0,12.0,0
49,44.0,14.0,12.0,1.0,16.0,9.0,2.0,1.0,0
50,64.0,20.0,15.0,1.0,13.0,9.0,2.0,2.0,1
51,129.0,45.0,16.0,1.0,0.0,40.0,0.0,1.0,1
52,38.0,21.0,12.0,1.0,28.0,1.0,1.0,0.0,0
53,57.0,42.0,14.0,1.0,3.0,27.0,23.0,3.0,0
54,58.0,44.0,15.0,1.0,0.0,28.0,17.0,4.0,1
55,52.0,18.0,16.0,1.0,16.0,13.0,23.0,3.0,0
