,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,10.12,82.0,4.43,0.12,19.09,0.47,346.0,287.0,True
1,2.0,89.0,0.0,1.0,37.0,12.0,0.0,111.0,False
2,21.71,0.0,1.84,0.71,1.14,0.0,648.0,19.0,False
3,60.0,34.0,1.39,2.5,41.25,1.0,14.0,33.0,True
4,59.25,42.0,1.53,2.0,36.75,1.96,36.0,10.0,True
5,34.0,44.0,2.94,1.0,85.44,0.5,122.0,51.0,True
6,103.5,214.0,1.43,2.0,25.5,0.8,85.0,36.0,True
7,161.75,8.0,1.55,2.5,11.75,0.67,33.0,18.0,True
8,43.13,216.0,2.12,0.73,99.13,2.0,924.0,2.0,True
9,80.67,235.0,2.08,1.33,19.33,0.67,459.0,3.0,True
10,334.5,241.5,0.97,5.0,4.0,0.93,4.0,1.0,True
11,173.75,237.5,1.42,2.75,144.25,1.0,61.0,8.0,True
12,80.0,262.5,3.4,0.8,122.27,2.0,99.0,73.0,True
13,455.5,273.0,0.72,6.0,7.0,2.0,13.0,2.0,True
14,178.0,280.0,1.62,2.0,32.33,2.0,90.0,49.0,True
15,99.1,65.0,2.44,1.3,72.8,0.94,248.0,19.0,True
16,486.0,58.5,0.76,6.5,2.5,1.98,5.0,4.0,True
17,95.54,297.0,2.45,1.0,32.15,1.0,506.0,123.0,True
18,479.5,299.0,0.26,6.5,6.5,1.0,68.0,0.0,True
19,338.33,1.0,0.97,4.67,6.33,0.5,55.0,0.0,False
20,24.87,24.0,3.49,1.0,4.73,0.12,672.0,3.0,True
21,2.0,70.5,0.91,1.0,13.5,60.0,328.0,60.0,True
22,14.0,29.0,0.99,4.5,54.0,1.0,205.0,37.0,True
23,24.33,86.0,0.24,1.44,207.89,43.0,1151.0,9.0,True
24,21.71,35.0,2.76,1.0,73.43,0.17,516.0,64.0,True
25,24.0,37.0,0.0,5.0,39.0,17.0,48.0,21.0,True
26,16.17,18.0,2.54,0.61,33.39,10.0,4745.0,1828.0,True
27,72.33,77.0,1.82,2.67,23.5,0.49,168.0,61.0,True
28,12.57,57.0,2.25,1.71,98.43,0.73,255.0,25.0,True
29,5.38,111.0,3.47,0.56,164.44,0.44,422.0,38.0,True
30,45.5,115.5,0.99,7.5,74.0,80.0,16.0,2.0,True
31,69.17,252.33,1.53,2.67,11.67,0.0,263.0,94.0,True
32,55.29,253.17,1.37,2.29,11.71,386.0,444.0,6.0,True
33,20.27,4.0,3.26,0.65,27.35,0.81,2754.0,240.0,True
34,32.67,17.0,0.55,4.67,82.67,5.0,654.0,1193.0,True
35,2.38,68.0,0.87,0.54,1.85,1.04,20.0,4.0,True
36,25.4,80.0,2.09,3.0,81.8,0.24,161.0,61.0,True
37,0.29,28.0,3.31,0.12,0.24,0.49,1412.0,11.0,True
38,35.5,279.83,2.94,2.25,2.75,463.0,47.0,1.0,True
39,21.71,296.58,1.09,2.71,17.57,1.0,1502.0,13.0,True
40,1.31,60.0,2.79,0.31,16.38,46.0,1742.0,95.0,True
41,3.33,163.0,1.19,1.67,574.33,82.0,56.0,29.0,True
42,49.42,318.83,0.91,1.5,1.33,0.5,1320.0,0.0,True
43,62.75,350.67,1.37,4.0,49.0,84.0,75.0,8.0,True
44,12.83,360.83,2.52,1.17,214.0,571.0,328.0,4.0,True
45,1.33,0.0,1.33,1.0,12.33,0.0,190.0,10.0,False
46,186.5,365.7,0.62,9.0,15.5,582.0,52.0,0.0,True
47,1.0,278.0,0.0,1.0,45.0,13.0,35.0,10.0,True
48,3.33,318.5,2.62,0.22,4.56,222.0,1330.0,347.0,True
49,0.0,14.0,1.24,0.0,0.0,14.0,15.0,0.0,True
50,1.0,18.5,1.29,0.33,341.0,18.0,56.0,26.0,True
51,18.0,423.0,0.0,2.0,27.0,301.0,3.0,3.0,True
52,42.45,26.0,1.03,1.73,58.0,24.0,789.0,37.0,True
53,2.33,446.5,2.8,0.56,205.22,0.72,205.0,217.0,True
54,16.38,11.0,2.6,1.88,76.75,6.0,43.0,19.0,True
55,1.0,452.0,0.0,1.0,94.0,329.0,0.0,51.0,False
56,53.08,465.5,2.95,1.83,45.67,0.53,178.0,24.0,True
57,9.67,478.0,0.49,2.67,0.0,349.0,262.0,5.0,True
58,113.0,480.0,1.19,6.67,144.67,351.0,15.0,126.0,True
59,2.0,504.5,1.58,0.4,33.6,369.0,54.0,66.0,True
60,8.0,508.5,2.25,1.57,25.43,372.0,113.0,444.0,True
