,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,1.0,0.0,1.39,0.25,6.0,0.0,38.0,11.0,True
1,9.0,34.0,1.18,0.5,0.75,0.93,273.0,1.0,True
2,5.6,27.0,2.8,0.2,1.8,0.31,8022.0,4.0,True
3,30.0,7.0,1.26,1.0,9.33,1.95,24.0,8.0,True
4,29.75,21.0,0.27,1.0,5.25,1.96,509.0,1.0,False
5,28.6,1.0,1.97,1.2,26.0,1.0,28.0,1.0,False
6,105.5,27.0,0.54,4.0,7.5,1.0,13.0,3.0,True
7,22.64,12.0,3.41,0.82,30.55,1.1,36.0,4.0,True
8,40.12,44.0,2.48,1.25,25.38,0.54,153.0,9.0,True
9,23.89,166.0,4.23,0.16,7.62,0.93,2218.0,495.0,True
10,33.67,52.0,2.26,0.75,15.5,1.0,490.0,81.0,True
11,25.43,54.0,4.7,0.2,10.39,1.0,1648.0,843.0,True
12,39.0,60.0,1.31,1.0,13.38,2.0,191.0,520.0,True
13,30.45,66.0,2.74,0.73,0.0,2.0,531.0,0.0,True
14,132.33,104.0,1.19,3.0,92.0,2.0,4.0,137.0,True
15,31.64,110.0,3.37,0.64,41.86,0.67,96.0,11.0,True
16,121.75,152.0,1.14,2.25,19.0,2.0,133.0,62.0,True
17,42.88,155.0,5.04,0.2,16.9,1.0,1959.0,3245.0,True
18,104.71,231.5,1.9,1.57,5.43,0.93,367.0,142.0,True
19,157.5,15.0,0.74,2.5,4.5,1.44,611.0,10.0,True
20,84.89,220.0,1.88,1.33,12.0,1.0,1007.0,159.0,True
21,122.44,46.0,2.79,1.44,40.56,1.98,232.0,36.0,True
22,137.62,56.5,2.44,1.62,20.5,1.0,146.0,120.0,True
23,92.15,294.0,2.51,1.0,97.15,0.5,417.0,23.0,True
24,55.0,9.0,0.0,9.0,0.0,10.0,1.0,1.0,True
25,341.67,304.0,1.14,4.33,24.0,1.0,27.0,8.0,True
26,3.5,76.0,0.99,2.0,108.0,86.0,7.0,2.0,True
27,22.69,85.0,1.53,0.94,125.12,0.33,2136.0,2.0,True
28,69.17,252.33,1.53,2.67,11.67,0.0,263.0,94.0,True
29,2.86,1.0,2.2,1.0,13.86,1.0,1050.0,34.0,False
30,1.0,248.83,0.98,0.67,129.0,379.0,73.0,39.0,True
31,65.67,246.0,1.32,5.33,65.67,0.0,11.0,0.0,True
32,217.0,11.0,0.0,16.0,3.0,7.0,8.0,0.0,True
33,8.0,90.5,0.0,5.0,342.0,3.0,3.0,6.0,True
34,15.0,37.0,0.0,7.0,136.0,1.0,18.0,0.0,True
35,23.33,253.5,1.49,4.33,207.33,11.0,28.0,0.0,True
36,17.96,254.42,3.94,0.4,67.85,1.0,4983.0,2123.0,True
37,50.0,4.0,0.0,14.0,22.0,0.0,1.0,0.0,True
38,7.21,270.75,3.02,0.84,252.26,447.0,81.0,37.0,True
39,1.67,32.0,1.95,0.67,65.5,0.49,156.0,0.0,True
40,8.94,118.0,2.36,0.89,177.06,1.25,1442.0,52.0,True
41,34.0,132.0,1.99,4.0,17.5,27.0,41.0,8.0,True
42,42.25,358.83,2.19,2.25,15.12,569.0,1675.0,610.0,True
