,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,4.73,16.0,4.27,0.13,2.23,0.25,1993.0,1.0,True
1,8.15,109.0,4.35,0.18,100.45,0.93,422.0,256.0,False
2,9.46,113.0,4.12,0.27,15.35,0.93,864.0,439.0,False
3,7.78,2.0,3.51,0.18,52.76,0.22,815.0,148.0,True
4,18.54,5.0,3.29,0.36,37.54,0.68,1147.0,349.0,False
5,17.31,4.0,3.91,0.34,47.03,0.21,555.0,177.0,False
6,24.05,162.0,3.49,0.45,7.15,0.32,1101.0,719.0,False
7,17.75,6.0,4.94,0.15,44.38,0.41,1594.0,924.0,False
8,23.89,166.0,4.23,0.16,7.62,0.93,2218.0,495.0,False
9,25.43,54.0,4.7,0.2,10.39,1.0,1648.0,843.0,False
10,11.1,57.0,4.05,0.29,22.74,1.0,1123.0,270.0,False
11,25.62,177.0,3.56,0.43,17.57,0.93,527.0,590.0,False
12,19.79,180.0,3.38,0.32,40.25,0.57,2026.0,532.0,False
13,28.44,181.0,3.98,0.22,8.88,0.93,1144.0,481.0,False
14,30.07,81.0,3.3,0.6,39.33,2.0,902.0,54.0,False
15,30.28,119.0,3.1,0.34,28.41,2.0,2374.0,108.0,False
16,21.42,162.0,3.21,0.31,21.06,1.0,1324.0,176.0,False
17,45.13,185.0,5.37,0.19,25.53,0.67,1946.0,570.0,False
18,67.26,219.5,4.11,0.48,24.87,2.0,1206.0,600.0,False
19,39.95,19.0,3.05,0.55,21.65,1.44,1372.0,1039.0,True
20,33.08,3.0,4.08,0.46,0.0,0.75,1270.0,0.0,True
21,48.53,9.0,3.14,0.71,100.0,0.04,726.0,762.0,False
22,49.37,28.0,2.42,0.63,83.84,1.0,1106.0,275.0,True
23,63.75,17.0,2.94,0.92,72.67,0.5,697.0,599.0,True
24,66.86,55.0,3.19,0.55,54.86,0.16,488.0,262.0,True
25,33.62,50.0,4.3,0.33,30.03,1.98,735.0,414.0,False
26,64.91,64.0,3.17,0.61,28.61,0.33,2174.0,32.0,True
27,67.52,4.0,2.62,0.67,2.14,0.99,2100.0,332.0,True
28,10.95,65.0,3.39,0.63,51.11,0.25,1509.0,94.0,False
29,17.49,5.0,3.77,0.36,41.97,0.5,1060.0,79.0,False
30,17.85,91.0,3.32,0.59,7.07,0.44,919.0,168.0,False
31,6.89,70.5,3.5,0.67,174.5,0.98,969.0,471.0,False
32,32.82,58.0,4.25,0.22,51.69,0.73,1536.0,1321.0,False
33,51.26,99.5,4.36,0.43,23.39,67.0,679.0,377.0,False
34,25.61,11.0,3.99,0.47,41.58,0.5,1985.0,571.0,False
35,14.71,259.17,4.51,0.33,28.22,1.0,2142.0,251.0,False
36,24.13,84.83,3.43,0.7,118.87,0.5,1654.0,118.0,False
37,20.27,4.0,3.26,0.65,27.35,0.81,2754.0,240.0,True
38,17.28,45.0,2.83,0.94,66.5,0.73,1540.0,333.0,True
39,29.75,25.0,4.18,0.68,72.21,0.54,807.0,24.0,False
40,24.71,5.0,3.15,0.68,67.75,0.72,1062.0,377.0,True
41,24.5,19.5,3.44,0.81,56.88,14.0,1453.0,15.0,False
42,1.35,28.0,4.55,0.02,8.24,2.0,688.0,525.0,True
43,60.85,35.5,3.32,1.05,30.25,0.93,605.0,262.0,False
44,2.71,26.0,3.98,0.22,85.78,0.02,2555.0,825.0,False
45,9.76,65.0,4.96,0.26,82.67,0.25,1832.0,706.0,False
46,28.03,69.0,3.91,0.84,139.81,0.14,317.0,334.0,False
47,14.77,100.0,4.09,0.85,24.0,48.0,1734.0,561.0,False
48,4.43,0.0,2.76,0.48,25.48,0.0,1714.0,193.0,True
49,4.38,86.0,3.82,0.32,62.44,0.02,872.0,332.0,False
50,19.35,47.0,3.38,1.0,166.48,0.73,783.0,845.0,False
51,0.5,13.0,3.79,0.15,9.75,1.0,1854.0,4.0,True
52,57.62,55.0,3.07,1.29,76.33,0.73,842.0,101.0,True
53,30.52,111.0,4.1,0.7,20.85,0.0,1217.0,954.0,False
54,12.61,115.0,5.05,0.42,25.48,0.0,2342.0,319.0,False
55,9.18,200.0,3.11,0.75,17.32,0.23,1838.0,295.0,False
56,27.23,0.0,2.82,1.0,97.65,0.0,872.0,244.0,True
57,24.17,1.0,3.46,1.17,92.04,1.0,554.0,211.0,True
58,28.06,15.0,3.68,0.81,42.25,13.0,1017.0,722.0,False
59,30.24,18.0,3.89,1.12,81.08,15.0,778.0,11.0,False
60,23.98,36.0,4.38,0.45,56.33,28.0,822.0,923.0,False
61,23.5,60.0,3.73,0.63,141.98,0.27,636.0,132.0,False
