,nuc,arexp,ent,ndev,age,asexp,la,ld,target
0,1.0,2.0,0.0,1.0,9.0,0.0,7.0,1.0,False
1,9.6,25.0,1.81,0.6,0.0,0.93,14.0,0.0,False
2,6.83,27.0,1.48,0.5,16.0,0.95,24.0,16.0,False
3,12.75,38.0,0.96,0.75,11.0,0.34,130.0,1.0,False
4,0.0,55.0,1.73,0.0,0.0,37.0,451.0,0.0,False
5,7.0,71.0,0.0,3.0,21.0,49.0,1.0,1.0,False
6,28.0,32.0,1.32,1.0,9.67,0.56,17.0,8.0,False
7,13.62,80.0,1.26,0.38,44.12,0.93,238.0,23.0,False
8,66.0,100.0,0.99,2.5,3.0,0.93,6.0,1.0,False
9,30.0,6.0,1.63,1.0,3.4,1.97,143.0,29.0,False
10,59.67,13.0,0.99,2.67,0.33,2.0,137.0,61.0,False
11,0.0,14.0,1.01,0.0,0.0,13.0,63.0,0.0,False
12,11.0,11.0,1.0,3.0,7.0,0.0,8.0,0.0,False
13,40.0,22.0,0.75,2.6,64.2,12.0,209.0,139.0,False
14,2.0,70.5,0.91,1.0,13.5,60.0,328.0,60.0,False
15,3.0,2.0,0.0,2.0,39.0,1.0,1.0,1.0,False
16,22.5,14.0,1.46,2.0,37.67,6.0,159.0,30.0,False
17,35.8,69.5,1.72,2.8,23.2,76.0,340.0,24.0,False
18,4.0,36.0,1.53,1.0,7.0,4.0,338.0,49.0,False
19,2.0,44.0,1.17,1.33,103.0,1.22,123.0,3.0,False
20,1.67,49.0,0.86,0.33,28.33,7.0,63.0,5.0,False
21,39.67,26.0,1.52,3.0,2.33,0.54,211.0,7.0,False
22,18.5,98.0,1.0,5.5,2.0,9.0,22.0,2.0,False
23,11.67,106.5,1.03,2.67,17.33,71.0,151.0,0.0,False
24,1.33,0.0,1.33,1.0,12.33,0.0,190.0,10.0,False
25,0.0,8.0,0.0,0.0,0.0,6.0,203.0,0.0,False
26,2.8,24.6,1.52,0.8,44.2,21.0,478.0,82.0,False
27,1.0,3.0,2.0,0.2,0.0,3.0,0.0,8.0,True
28,0.14,19.0,1.52,0.14,15.43,19.0,286.0,32.0,False
29,0.0,13.0,0.88,0.0,0.0,8.0,606.0,0.0,False
30,20.75,15.0,1.76,3.0,62.5,1.03,70.0,8.0,False
31,19.29,16.0,1.01,2.29,4.0,0.23,448.0,18.0,False
32,6.0,27.0,0.0,1.0,0.0,20.0,3.0,0.0,False
33,1.0,28.0,0.0,1.0,8.0,21.0,9.0,0.0,False
34,7.0,29.0,0.0,1.0,1.0,22.0,7.0,7.0,False
35,0.5,25.0,0.98,0.5,1.5,0.0,17.0,0.0,False
36,0.0,8.0,0.0,0.0,0.0,8.0,2.0,0.0,False
37,9.5,6.0,0.73,2.0,58.0,0.0,101.0,2.0,False
38,1.67,18.0,1.03,0.67,4.67,11.0,110.0,6.0,False
39,7.67,24.0,1.02,2.33,34.0,3.0,95.0,43.0,False
40,2.8,32.0,1.86,1.0,40.2,1.0,109.0,16.0,False
