,nuc,arexp,nd,ns,age,la,ld,target
0,1.17,0.0,5.0,1.0,2.83,33.0,9.0,True
1,0.0,27.0,1.0,1.0,0.0,40.0,64.0,True
2,3.0,28.0,2.0,1.0,3.0,56.0,28.0,True
3,2.0,12.0,4.0,1.0,2.0,13.0,4.0,True
4,3.0,29.0,2.0,1.0,0.0,17.0,3.0,True
5,7.67,25.0,2.0,1.0,0.0,18.0,1.0,True
6,5.67,27.0,2.0,1.0,0.67,433.0,528.0,True
7,7.33,42.0,2.0,1.0,2.0,33.0,17.0,True
8,20.0,116.0,1.0,1.0,0.0,40.0,32.0,True
9,6.37,69.0,9.0,1.0,4.42,301.0,54.0,True
10,12.0,110.0,1.0,1.0,5.0,25.0,42.0,True
11,9.75,135.0,4.0,1.0,0.0,57.0,47.0,True
12,11.14,138.0,3.0,1.0,0.86,9.0,12.0,True
13,19.0,90.0,1.0,1.0,0.0,0.0,1.0,True
14,13.0,12.0,1.0,1.0,0.0,17.0,2.0,True
15,7.5,116.0,2.0,1.0,5.0,0.0,5.0,False
16,13.0,68.0,1.0,1.0,0.0,22.0,42.0,True
17,1.0,100.0,1.0,1.0,22.0,0.0,8.0,False
18,3.58,192.0,2.0,1.0,8.75,1263.0,1.0,True
19,13.0,128.0,2.0,1.0,2.5,0.0,81.0,False
20,1.25,23.0,6.0,1.0,0.44,96.0,73.0,True
21,5.0,111.0,4.0,1.0,0.6,140.0,12.0,True
22,0.22,275.0,3.0,1.0,0.0,69.0,1.0,True
23,6.0,130.0,3.0,1.0,0.8,38.0,2.0,True
24,4.0,148.0,2.0,1.0,0.0,183.0,0.0,True
25,5.0,65.0,2.0,1.0,0.0,37.0,0.0,True
26,2.33,4.0,2.0,1.0,0.0,55.0,61.0,True
27,5.5,206.0,2.0,1.0,4.5,8.0,32.0,True
28,1.5,218.0,1.0,1.0,35.5,7.0,2.0,True
29,13.25,156.0,3.0,1.0,0.0,104.0,14.0,True
30,4.0,236.0,1.0,1.0,13.0,1.0,1.0,True
31,0.43,24.0,2.0,1.0,0.0,239.0,78.0,True
32,5.0,19.0,1.0,1.0,0.0,56.0,11.0,True
33,2.83,209.0,6.0,1.0,1.33,181.0,31.0,True
34,2.83,217.0,4.0,1.0,0.0,181.0,17.0,True
35,2.18,37.0,5.0,1.0,0.0,54.0,82.0,True
36,13.5,281.0,3.0,1.0,5.5,22.0,72.0,True
37,4.0,150.0,1.0,1.0,38.0,4.0,4.0,True
38,0.0,53.0,1.0,1.0,0.0,43.0,0.0,True
39,21.0,199.0,1.0,1.0,0.0,0.0,7.0,False
40,2.14,317.0,4.0,1.0,3.86,228.0,230.0,True
41,5.0,338.0,2.0,1.0,1.0,45.0,196.0,True
42,4.8,424.0,4.0,1.0,0.6,38.0,33.0,True
43,2.67,110.0,6.0,1.0,8.13,1002.0,571.0,True
44,1.64,117.0,7.0,1.0,0.5,549.0,478.0,True
45,8.0,147.0,1.0,1.0,0.0,18.0,9.0,True
46,2.5,214.0,2.0,1.0,0.0,18.0,21.0,True
47,19.0,47.0,1.0,1.0,0.0,0.0,12.0,False
48,4.5,444.0,3.0,1.0,8.5,37.0,3.0,True
49,10.67,231.0,1.0,1.0,0.0,12.0,5.0,True
50,24.0,57.0,1.0,1.0,0.0,26.0,16.0,True
51,1.33,61.0,2.0,1.0,0.0,62.0,15.0,True
